Sr2,5p1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
302.86000,-143.82,2.75,0.00,0.00
302.88000,-143.94,2.75,0.00,0.00
302.90000,-144.06,2.75,0.00,0.00
302.92000,-144.18,2.75,0.00,0.00
302.94000,-144.30,2.75,0.00,0.00
302.96000,-144.42,2.76,0.00,0.00
302.98000,-144.54,2.76,0.00,0.00
303.00000,-144.66,2.76,0.00,0.00
303.02000,-144.78,2.76,0.00,0.00
303.04000,-144.90,2.76,0.00,0.00
303.06000,-145.02,2.77,0.00,0.00
303.08000,-145.14,2.77,0.00,0.00
303.10000,-145.26,2.77,0.00,0.00
303.12000,-145.39,2.77,0.00,0.00
303.14000,-145.51,2.77,0.00,0.00
303.16000,-145.63,2.77,0.00,0.00
303.18000,-145.75,2.78,0.00,0.00
303.20000,-145.87,2.78,0.00,0.00
303.22000,-146.00,2.78,0.00,0.00
303.24000,-146.12,2.78,0.00,0.00
303.26000,-146.24,2.78,0.00,0.00
303.28000,-146.36,2.78,0.00,0.00
303.30000,-146.49,2.79,0.00,0.00
303.32000,-146.61,2.79,0.00,0.00
303.34000,-146.73,2.79,0.00,0.00
303.36000,-146.85,2.79,0.00,0.00
303.38000,-146.98,2.79,0.00,0.00
303.40000,-147.10,2.80,0.00,0.00
303.42000,-147.22,2.80,0.00,0.00
303.44000,-147.35,2.80,0.00,0.00
303.46000,-147.47,2.80,0.00,0.00
303.48000,-147.60,2.80,0.00,0.00
303.50000,-147.72,2.80,0.00,0.00
303.52000,-147.84,2.81,0.00,0.00
303.54000,-147.97,2.81,0.00,0.00
303.56000,-148.09,2.81,0.00,0.00
303.58000,-148.22,2.81,0.00,0.00
303.60000,-148.34,2.81,0.00,0.00
303.62000,-148.47,2.82,0.00,0.00
303.64000,-148.59,2.82,0.00,0.00
303.66000,-148.72,2.82,0.00,0.00
303.68000,-148.84,2.82,0.00,0.00
303.70000,-148.97,2.82,0.00,0.00
303.72000,-149.10,2.82,0.00,0.00
303.74000,-149.22,2.83,0.00,0.00
303.76000,-149.35,2.83,0.00,0.00
303.78000,-149.47,2.83,0.00,0.00
303.80000,-149.60,2.83,0.00,0.00
303.82000,-149.73,2.83,0.00,0.00
303.84000,-149.85,2.84,0.00,0.00
303.86000,-149.98,2.84,0.00,0.00
303.88000,-150.11,2.84,0.00,0.00
303.90000,-150.23,2.84,0.00,0.00
303.92000,-150.36,2.84,0.00,0.00
303.94000,-150.49,2.84,0.00,0.00
303.96000,-150.62,2.85,0.00,0.00
303.98000,-150.74,2.85,0.00,0.00
304.00000,-150.87,2.85,0.00,0.00
304.02000,-151.00,2.85,0.00,0.00
304.04000,-151.13,2.85,0.00,0.00
304.06000,-151.26,2.86,0.00,0.00
304.08000,-151.38,2.86,0.00,0.00
304.10000,-151.51,2.86,0.00,0.00
304.12000,-151.64,2.86,0.00,0.00
304.14000,-151.77,2.86,0.00,0.00
304.16000,-151.90,2.87,0.00,0.00
304.18000,-152.03,2.87,0.00,0.00
304.20000,-152.16,2.87,0.00,0.00
304.22000,-152.29,2.87,0.00,0.00
304.24000,-152.42,2.87,0.00,0.00
304.26000,-152.55,2.87,0.00,0.00
304.28000,-152.68,2.88,0.00,0.00
304.30000,-152.81,2.88,0.00,0.00
304.32000,-152.94,2.88,0.00,0.00
304.34000,-153.07,2.88,0.00,0.00
304.36000,-153.20,2.88,0.00,0.00
304.38000,-153.33,2.89,0.00,0.00
304.40000,-153.46,2.89,0.00,0.00
304.42000,-153.59,2.89,0.00,0.00
304.44000,-153.72,2.89,0.00,0.00
304.46000,-153.85,2.89,0.00,0.00
304.48000,-153.98,2.90,0.00,0.00
304.50000,-154.12,2.90,0.00,0.00
304.52000,-154.25,2.90,0.00,0.00
304.54000,-154.38,2.90,0.00,0.00
304.56000,-154.51,2.90,0.00,0.00
304.58000,-154.64,2.91,0.00,0.00
304.60000,-154.78,2.91,0.00,0.00
304.62000,-154.91,2.91,0.00,0.00
304.64000,-155.04,2.91,0.00,0.00
304.66000,-155.18,2.91,0.00,0.00
304.68000,-155.31,2.91,0.00,0.00
304.70000,-155.44,2.92,0.00,0.00
304.72000,-155.58,2.92,0.00,0.00
304.74000,-155.71,2.92,0.00,0.00
304.76000,-155.84,2.92,0.00,0.00
304.78000,-155.98,2.92,0.00,0.00
304.80000,-156.11,2.93,0.00,0.00
304.82000,-156.24,2.93,0.00,0.00
304.84000,-156.38,2.93,0.00,0.00
304.86000,-156.51,2.93,0.00,0.00
304.88000,-156.65,2.93,0.00,0.00
304.90000,-156.78,2.94,0.00,0.00
304.92000,-156.92,2.94,0.00,0.00
304.94000,-157.05,2.94,0.00,0.00
304.96000,-157.19,2.94,0.00,0.00
304.98000,-157.32,2.94,0.00,0.00
305.00000,-157.46,2.95,0.00,0.00
305.02000,-157.60,2.95,0.00,0.00
305.04000,-157.73,2.95,0.00,0.00
305.06000,-157.87,2.95,0.00,0.00
305.08000,-158.00,2.95,0.00,0.00
305.10000,-158.14,2.96,0.00,0.00
305.12000,-158.28,2.96,0.00,0.00
305.14000,-158.41,2.96,0.00,0.00
305.16000,-158.55,2.96,0.00,0.00
305.18000,-158.69,2.96,0.00,0.00
305.20000,-158.83,2.97,0.00,0.00
305.22000,-158.96,2.97,0.00,0.00
305.24000,-159.10,2.97,0.00,0.00
305.26000,-159.24,2.97,0.00,0.00
305.28000,-159.38,2.97,0.00,0.00
305.30000,-159.52,2.98,0.00,0.00
305.32000,-159.65,2.98,0.00,0.00
305.34000,-159.79,2.98,0.00,0.00
305.36000,-159.93,2.98,0.00,0.00
305.38000,-160.07,2.98,0.00,0.00
305.40000,-160.21,2.99,0.00,0.00
305.42000,-160.35,2.99,0.00,0.00
305.44000,-160.49,2.99,0.00,0.00
305.46000,-160.63,2.99,0.00,0.00
305.48000,-160.77,2.99,0.00,0.00
305.50000,-160.91,3.00,0.00,0.00
305.52000,-161.05,3.00,0.00,0.00
305.54000,-161.19,3.00,0.00,0.00
305.56000,-161.33,3.00,0.00,0.00
305.58000,-161.47,3.00,0.00,0.00
305.60000,-161.61,3.01,0.00,0.00
305.62000,-161.75,3.01,0.00,0.00
305.64000,-161.89,3.01,0.00,0.00
