Sr2,5s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
445.43100,636.98,5.03,0.00,0.00
445.45100,636.60,5.03,0.00,0.00
445.47100,636.22,5.03,0.00,0.00
445.49100,635.84,5.02,0.00,0.00
445.51100,635.46,5.02,0.00,0.00
445.53100,635.08,5.02,0.00,0.00
445.55100,634.70,5.02,0.00,0.00
445.57100,634.33,5.01,0.00,0.00
445.59100,633.95,5.01,0.00,0.00
445.61100,633.57,5.01,0.00,0.00
445.63100,633.20,5.00,0.00,0.00
445.65100,632.82,5.00,0.00,0.00
445.67100,632.45,5.00,0.00,0.00
445.69100,632.07,4.99,0.00,0.00
445.71100,631.70,4.99,0.00,0.00
445.73100,631.32,4.99,0.00,0.00
445.75100,630.95,4.99,0.00,0.00
445.77100,630.58,4.98,0.00,0.00
445.79100,630.21,4.98,0.00,0.00
445.81100,629.83,4.98,0.00,0.00
445.83100,629.46,4.97,0.00,0.00
445.85100,629.09,4.97,0.00,0.00
445.87100,628.72,4.97,0.00,0.00
445.89100,628.35,4.97,0.00,0.00
445.91100,627.98,4.96,0.00,0.00
445.93100,627.62,4.96,0.00,0.00
445.95100,627.25,4.96,0.00,0.00
445.97100,626.88,4.95,0.00,0.00
445.99100,626.51,4.95,0.00,0.00
446.01100,626.15,4.95,0.00,0.00
446.03100,625.78,4.95,0.00,0.00
446.05100,625.42,4.94,0.00,0.00
446.07100,625.05,4.94,0.00,0.00
446.09100,624.69,4.94,0.00,0.00
446.11100,624.32,4.93,0.00,0.00
446.13100,623.96,4.93,0.00,0.00
446.15100,623.60,4.93,0.00,0.00
446.17100,623.23,4.93,0.00,0.00
446.19100,622.87,4.92,0.00,0.00
446.21100,622.51,4.92,0.00,0.00
446.23100,622.15,4.92,0.00,0.00
446.25100,621.79,4.92,0.00,0.00
446.27100,621.43,4.91,0.00,0.00
446.29100,621.07,4.91,0.00,0.00
446.31100,620.71,4.91,0.00,0.00
446.33100,620.35,4.90,0.00,0.00
446.35100,620.00,4.90,0.00,0.00
446.37100,619.64,4.90,0.00,0.00
446.39100,619.28,4.90,0.00,0.00
446.41100,618.93,4.89,0.00,0.00
446.43100,618.57,4.89,0.00,0.00
446.45100,618.21,4.89,0.00,0.00
446.47100,617.86,4.88,0.00,0.00
446.49100,617.50,4.88,0.00,0.00
446.51100,617.15,4.88,0.00,0.00
446.53100,616.80,4.88,0.00,0.00
446.55100,616.44,4.87,0.00,0.00
446.57100,616.09,4.87,0.00,0.00
446.59100,615.74,4.87,0.00,0.00
446.61100,615.39,4.87,0.00,0.00
446.63100,615.04,4.86,0.00,0.00
446.65100,614.69,4.86,0.00,0.00
446.67100,614.34,4.86,0.00,0.00
446.69100,613.99,4.85,0.00,0.00
446.71100,613.64,4.85,0.00,0.00
446.73100,613.29,4.85,0.00,0.00
446.75100,612.94,4.85,0.00,0.00
446.77100,612.59,4.84,0.00,0.00
446.79100,612.24,4.84,0.00,0.00
446.81100,611.90,4.84,0.00,0.00
446.83100,611.55,4.84,0.00,0.00
446.85100,611.21,4.83,0.00,0.00
446.87100,610.86,4.83,0.00,0.00
446.89100,610.51,4.83,0.00,0.00
446.91100,610.17,4.83,0.00,0.00
446.93100,609.83,4.82,0.00,0.00
446.95100,609.48,4.82,0.00,0.00
446.97100,609.14,4.82,0.00,0.00
446.99100,608.80,4.81,0.00,0.00
447.01100,608.45,4.81,0.00,0.00
447.03100,608.11,4.81,0.00,0.00
447.05100,607.77,4.81,0.00,0.00
447.07100,607.43,4.80,0.00,0.00
447.09100,607.09,4.80,0.00,0.00
447.11100,606.75,4.80,0.00,0.00
447.13100,606.41,4.80,0.00,0.00
447.15100,606.07,4.79,0.00,0.00
447.17100,605.73,4.79,0.00,0.00
447.19100,605.39,4.79,0.00,0.00
447.21100,605.06,4.79,0.00,0.00
447.23100,604.72,4.78,0.00,0.00
447.25100,604.38,4.78,0.00,0.00
447.27100,604.05,4.78,0.00,0.00
447.29100,603.71,4.78,0.00,0.00
447.31100,603.38,4.77,0.00,0.00
447.33100,603.04,4.77,0.00,0.00
447.35100,602.71,4.77,0.00,0.00
447.37100,602.37,4.76,0.00,0.00
447.39100,602.04,4.76,0.00,0.00
447.41100,601.70,4.76,0.00,0.00
447.43100,601.37,4.76,0.00,0.00
447.45100,601.04,4.75,0.00,0.00
447.47100,600.71,4.75,0.00,0.00
447.49100,600.38,4.75,0.00,0.00
447.51100,600.04,4.75,0.00,0.00
447.53100,599.71,4.74,0.00,0.00
447.55100,599.38,4.74,0.00,0.00
447.57100,599.05,4.74,0.00,0.00
447.59100,598.72,4.74,0.00,0.00
447.61100,598.40,4.73,0.00,0.00
447.63100,598.07,4.73,0.00,0.00
447.65100,597.74,4.73,0.00,0.00
447.67100,597.41,4.73,0.00,0.00
447.69100,597.08,4.72,0.00,0.00
447.71100,596.76,4.72,0.00,0.00
447.73100,596.43,4.72,0.00,0.00
447.75100,596.10,4.72,0.00,0.00
447.77100,595.78,4.71,0.00,0.00
447.79100,595.45,4.71,0.00,0.00
447.81100,595.13,4.71,0.00,0.00
447.83100,594.81,4.71,0.00,0.00
447.85100,594.48,4.70,0.00,0.00
447.87100,594.16,4.70,0.00,0.00
447.89100,593.83,4.70,0.00,0.00
447.91100,593.51,4.70,0.00,0.00
447.93100,593.19,4.69,0.00,0.00
447.95100,592.87,4.69,0.00,0.00
447.97100,592.55,4.69,0.00,0.00
447.99100,592.23,4.69,0.00,0.00
448.01100,591.91,4.68,0.00,0.00
448.03100,591.59,4.68,0.00,0.00
448.05100,591.27,4.68,0.00,0.00
448.07100,590.95,4.68,0.00,0.00
448.09100,590.63,4.67,0.00,0.00
448.11100,590.31,4.67,0.00,0.00
448.13100,589.99,4.67,0.00,0.00
448.15100,589.67,4.67,0.00,0.00
448.17100,589.36,4.66,0.00,0.00
448.19100,589.04,4.66,0.00,0.00
448.21100,588.72,4.66,0.00,0.00
448.23100,588.41,4.66,0.00,0.00
448.25100,588.09,4.65,0.00,0.00
448.27100,587.78,4.65,0.00,0.00
448.29100,587.46,4.65,0.00,0.00
448.31100,587.15,4.65,0.00,0.00
448.33100,586.83,4.64,0.00,0.00
448.35100,586.52,4.64,0.00,0.00
448.37100,586.21,4.64,0.00,0.00
448.39100,585.89,4.64,0.00,0.00
448.41100,585.58,4.63,0.00,0.00
448.43100,585.27,4.63,0.00,0.00
448.45100,584.96,4.63,0.00,0.00
448.47100,584.65,4.63,0.00,0.00
448.49100,584.33,4.63,0.00,0.00
448.51100,584.02,4.62,0.00,0.00
448.53100,583.71,4.62,0.00,0.00
448.55100,583.40,4.62,0.00,0.00
448.57100,583.10,4.62,0.00,0.00
448.59100,582.79,4.61,0.00,0.00
448.61100,582.48,4.61,0.00,0.00
448.63100,582.17,4.61,0.00,0.00
448.65100,581.86,4.61,0.00,0.00
448.67100,581.55,4.60,0.00,0.00
448.69100,581.25,4.60,0.00,0.00
448.71100,580.94,4.60,0.00,0.00
448.73100,580.64,4.60,0.00,0.00
448.75100,580.33,4.59,0.00,0.00
448.77100,580.02,4.59,0.00,0.00
448.79100,579.72,4.59,0.00,0.00
448.81100,579.41,4.59,0.00,0.00
448.83100,579.11,4.58,0.00,0.00
448.85100,578.81,4.58,0.00,0.00
448.87100,578.50,4.58,0.00,0.00
448.89100,578.20,4.58,0.00,0.00
448.91100,577.90,4.58,0.00,0.00
448.93100,577.59,4.57,0.00,0.00
448.95100,577.29,4.57,0.00,0.00
448.97100,576.99,4.57,0.00,0.00
448.99100,576.69,4.57,0.00,0.00
449.01100,576.39,4.56,0.00,0.00
449.03100,576.09,4.56,0.00,0.00
449.05100,575.79,4.56,0.00,0.00
449.07100,575.49,4.56,0.00,0.00
449.09100,575.19,4.55,0.00,0.00
449.11100,574.89,4.55,0.00,0.00
449.13100,574.59,4.55,0.00,0.00
449.15100,574.29,4.55,0.00,0.00
449.17100,574.00,4.55,0.00,0.00
449.19100,573.70,4.54,0.00,0.00
449.21100,573.40,4.54,0.00,0.00
449.23100,573.10,4.54,0.00,0.00
449.25100,572.81,4.54,0.00,0.00
449.27100,572.51,4.53,0.00,0.00
449.29100,572.22,4.53,0.00,0.00
449.31100,571.92,4.53,0.00,0.00
449.33100,571.63,4.53,0.00,0.00
449.35100,571.33,4.52,0.00,0.00
449.37100,571.04,4.52,0.00,0.00
449.39100,570.74,4.52,0.00,0.00
449.41100,570.45,4.52,0.00,0.00
449.43100,570.16,4.52,0.00,0.00
449.45100,569.86,4.51,0.00,0.00
449.47100,569.57,4.51,0.00,0.00
449.49100,569.28,4.51,0.00,0.00
449.51100,568.99,4.51,0.00,0.00
449.53100,568.70,4.50,0.00,0.00
449.55100,568.40,4.50,0.00,0.00
449.57100,568.11,4.50,0.00,0.00
449.59100,567.82,4.50,0.00,0.00
449.61100,567.53,4.50,0.00,0.00
449.63100,567.24,4.49,0.00,0.00
449.65100,566.95,4.49,0.00,0.00
449.67100,566.67,4.49,0.00,0.00
449.69100,566.38,4.49,0.00,0.00
449.71100,566.09,4.48,0.00,0.00
449.73100,565.80,4.48,0.00,0.00
449.75100,565.51,4.48,0.00,0.00
449.77100,565.23,4.48,0.00,0.00
449.79100,564.94,4.48,0.00,0.00
449.81100,564.65,4.47,0.00,0.00
449.83100,564.37,4.47,0.00,0.00
449.85100,564.08,4.47,0.00,0.00
449.87100,563.80,4.47,0.00,0.00
449.89100,563.51,4.46,0.00,0.00
449.91100,563.23,4.46,0.00,0.00
449.93100,562.94,4.46,0.00,0.00
449.95100,562.66,4.46,0.00,0.00
449.97100,562.37,4.46,0.00,0.00
449.99100,562.09,4.45,0.00,0.00
450.01100,561.81,4.45,0.00,0.00
450.03100,561.52,4.45,0.00,0.00
450.05100,561.24,4.45,0.00,0.00
450.07100,560.96,4.44,0.00,0.00
450.09100,560.68,4.44,0.00,0.00
450.11100,560.40,4.44,0.00,0.00
450.13100,560.12,4.44,0.00,0.00
450.15100,559.84,4.44,0.00,0.00
450.17100,559.56,4.43,0.00,0.00
450.19100,559.28,4.43,0.00,0.00
450.21100,559.00,4.43,0.00,0.00
450.23100,558.72,4.43,0.00,0.00
450.25100,558.44,4.42,0.00,0.00
450.27100,558.16,4.42,0.00,0.00
450.29100,557.88,4.42,0.00,0.00
450.31100,557.60,4.42,0.00,0.00
450.33100,557.32,4.42,0.00,0.00
450.35100,557.05,4.41,0.00,0.00
450.37100,556.77,4.41,0.00,0.00
450.39100,556.49,4.41,0.00,0.00
450.41100,556.22,4.41,0.00,0.00
450.43100,555.94,4.41,0.00,0.00
450.45100,555.67,4.40,0.00,0.00
450.47100,555.39,4.40,0.00,0.00
450.49100,555.12,4.40,0.00,0.00
450.51100,554.84,4.40,0.00,0.00
450.53100,554.57,4.39,0.00,0.00
450.55100,554.29,4.39,0.00,0.00
450.57100,554.02,4.39,0.00,0.00
450.59100,553.74,4.39,0.00,0.00
450.61100,553.47,4.39,0.00,0.00
450.63100,553.20,4.38,0.00,0.00
450.65100,552.93,4.38,0.00,0.00
450.67100,552.65,4.38,0.00,0.00
450.69100,552.38,4.38,0.00,0.00
450.71100,552.11,4.38,0.00,0.00
450.73100,551.84,4.37,0.00,0.00
450.75100,551.57,4.37,0.00,0.00
450.77100,551.30,4.37,0.00,0.00
450.79100,551.03,4.37,0.00,0.00
450.81100,550.76,4.37,0.00,0.00
450.83100,550.49,4.36,0.00,0.00
450.85100,550.22,4.36,0.00,0.00
450.87100,549.95,4.36,0.00,0.00
450.89100,549.68,4.36,0.00,0.00
450.91100,549.41,4.35,0.00,0.00
450.93100,549.15,4.35,0.00,0.00
450.95100,548.88,4.35,0.00,0.00
450.97100,548.61,4.35,0.00,0.00
450.99100,548.34,4.35,0.00,0.00
451.01100,548.08,4.34,0.00,0.00
451.03100,547.81,4.34,0.00,0.00
451.05100,547.54,4.34,0.00,0.00
451.07100,547.28,4.34,0.00,0.00
451.09100,547.01,4.34,0.00,0.00
451.11100,546.75,4.33,0.00,0.00
451.13100,546.48,4.33,0.00,0.00
451.15100,546.22,4.33,0.00,0.00
451.17100,545.95,4.33,0.00,0.00
451.19100,545.69,4.33,0.00,0.00
451.21100,545.43,4.32,0.00,0.00
451.23100,545.16,4.32,0.00,0.00
451.25100,544.90,4.32,0.00,0.00
451.27100,544.64,4.32,0.00,0.00
451.29100,544.37,4.32,0.00,0.00
451.31100,544.11,4.31,0.00,0.00
451.33100,543.85,4.31,0.00,0.00
451.35100,543.59,4.31,0.00,0.00
451.37100,543.33,4.31,0.00,0.00
451.39100,543.07,4.31,0.00,0.00
451.41100,542.81,4.30,0.00,0.00
451.43100,542.55,4.30,0.00,0.00
451.45100,542.29,4.30,0.00,0.00
451.47100,542.03,4.30,0.00,0.00
451.49100,541.77,4.30,0.00,0.00
451.51100,541.51,4.29,0.00,0.00
451.53100,541.25,4.29,0.00,0.00
451.55100,540.99,4.29,0.00,0.00
451.57100,540.73,4.29,0.00,0.00
451.59100,540.47,4.29,0.00,0.00
451.61100,540.22,4.28,0.00,0.00
451.63100,539.96,4.28,0.00,0.00
451.65100,539.70,4.28,0.00,0.00
451.67100,539.44,4.28,0.00,0.00
451.69100,539.19,4.28,0.00,0.00
451.71100,538.93,4.27,0.00,0.00
451.73100,538.67,4.27,0.00,0.00
451.75100,538.42,4.27,0.00,0.00
451.77100,538.16,4.27,0.00,0.00
451.79100,537.91,4.27,0.00,0.00
451.81100,537.65,4.26,0.00,0.00
451.83100,537.40,4.26,0.00,0.00
451.85100,537.15,4.26,0.00,0.00
451.87100,536.89,4.26,0.00,0.00
451.89100,536.64,4.26,0.00,0.00
451.91100,536.38,4.25,0.00,0.00
451.93100,536.13,4.25,0.00,0.00
451.95100,535.88,4.25,0.00,0.00
451.97100,535.63,4.25,0.00,0.00
451.99100,535.37,4.25,0.00,0.00
452.01100,535.12,4.24,0.00,0.00
452.03100,534.87,4.24,0.00,0.00
452.05100,534.62,4.24,0.00,0.00
452.07100,534.37,4.24,0.00,0.00
452.09100,534.12,4.24,0.00,0.00
452.11100,533.87,4.23,0.00,0.00
452.13100,533.62,4.23,0.00,0.00
452.15100,533.37,4.23,0.00,0.00
452.17100,533.12,4.23,0.00,0.00
452.19100,532.87,4.23,0.00,0.00
452.21100,532.62,4.22,0.00,0.00
452.23100,532.37,4.22,0.00,0.00
452.25100,532.12,4.22,0.00,0.00
452.27100,531.87,4.22,0.00,0.00
452.29100,531.62,4.22,0.00,0.00
452.31100,531.38,4.21,0.00,0.00
452.33100,531.13,4.21,0.00,0.00
452.35100,530.88,4.21,0.00,0.00
452.37100,530.64,4.21,0.00,0.00
452.39100,530.39,4.21,0.00,0.00
452.41100,530.14,4.21,0.00,0.00
452.43100,529.90,4.20,0.00,0.00
452.45100,529.65,4.20,0.00,0.00
452.47100,529.40,4.20,0.00,0.00
452.49100,529.16,4.20,0.00,0.00
452.51100,528.91,4.20,0.00,0.00
452.53100,528.67,4.19,0.00,0.00
452.55100,528.43,4.19,0.00,0.00
452.57100,528.18,4.19,0.00,0.00
452.59100,527.94,4.19,0.00,0.00
452.61100,527.69,4.19,0.00,0.00
452.63100,527.45,4.18,0.00,0.00
452.65100,527.21,4.18,0.00,0.00
452.67100,526.96,4.18,0.00,0.00
452.69100,526.72,4.18,0.00,0.00
452.71100,526.48,4.18,0.00,0.00
452.73100,526.24,4.18,0.00,0.00
452.75100,526.00,4.17,0.00,0.00
452.77100,525.75,4.17,0.00,0.00
452.79100,525.51,4.17,0.00,0.00
452.81100,525.27,4.17,0.00,0.00
452.83100,525.03,4.17,0.00,0.00
452.85100,524.79,4.16,0.00,0.00
452.87100,524.55,4.16,0.00,0.00
452.89100,524.31,4.16,0.00,0.00
452.91100,524.07,4.16,0.00,0.00
452.93100,523.83,4.16,0.00,0.00
452.95100,523.59,4.15,0.00,0.00
452.97100,523.35,4.15,0.00,0.00
452.99100,523.12,4.15,0.00,0.00
453.01100,522.88,4.15,0.00,0.00
453.03100,522.64,4.15,0.00,0.00
453.05100,522.40,4.15,0.00,0.00
453.07100,522.16,4.14,0.00,0.00
453.09100,521.93,4.14,0.00,0.00
453.11100,521.69,4.14,0.00,0.00
453.13100,521.45,4.14,0.00,0.00
453.15100,521.22,4.14,0.00,0.00
453.17100,520.98,4.13,0.00,0.00
453.19100,520.74,4.13,0.00,0.00
453.21100,520.51,4.13,0.00,0.00
453.23100,520.27,4.13,0.00,0.00
453.25100,520.04,4.13,0.00,0.00
453.27100,519.80,4.13,0.00,0.00
453.29100,519.57,4.12,0.00,0.00
453.31100,519.33,4.12,0.00,0.00
453.33100,519.10,4.12,0.00,0.00
453.35100,518.87,4.12,0.00,0.00
453.37100,518.63,4.12,0.00,0.00
453.39100,518.40,4.11,0.00,0.00
453.41100,518.17,4.11,0.00,0.00
453.43100,517.93,4.11,0.00,0.00
453.45100,517.70,4.11,0.00,0.00
453.47100,517.47,4.11,0.00,0.00
453.49100,517.23,4.11,0.00,0.00
453.51100,517.00,4.10,0.00,0.00
453.53100,516.77,4.10,0.00,0.00
453.55100,516.54,4.10,0.00,0.00
453.57100,516.31,4.10,0.00,0.00
453.59100,516.08,4.10,0.00,0.00
453.61100,515.85,4.09,0.00,0.00
453.63100,515.62,4.09,0.00,0.00
453.65100,515.39,4.09,0.00,0.00
453.67100,515.16,4.09,0.00,0.00
453.69100,514.93,4.09,0.00,0.00
453.71100,514.70,4.09,0.00,0.00
453.73100,514.47,4.08,0.00,0.00
453.75100,514.24,4.08,0.00,0.00
453.77100,514.01,4.08,0.00,0.00
453.79100,513.78,4.08,0.00,0.00
453.81100,513.55,4.08,0.00,0.00
453.83100,513.33,4.07,0.00,0.00
453.85100,513.10,4.07,0.00,0.00
453.87100,512.87,4.07,0.00,0.00
453.89100,512.64,4.07,0.00,0.00
453.91100,512.42,4.07,0.00,0.00
453.93100,512.19,4.07,0.00,0.00
453.95100,511.96,4.06,0.00,0.00
453.97100,511.74,4.06,0.00,0.00
453.99100,511.51,4.06,0.00,0.00
454.01100,511.28,4.06,0.00,0.00
454.03100,511.06,4.06,0.00,0.00
454.05100,510.83,4.06,0.00,0.00
454.07100,510.61,4.05,0.00,0.00
454.09100,510.38,4.05,0.00,0.00
454.11100,510.16,4.05,0.00,0.00
454.13100,509.93,4.05,0.00,0.00
454.15100,509.71,4.05,0.00,0.00
454.17100,509.49,4.05,0.00,0.00
454.19100,509.26,4.04,0.00,0.00
454.21100,509.04,4.04,0.00,0.00
454.23100,508.82,4.04,0.00,0.00
454.25100,508.59,4.04,0.00,0.00
454.27100,508.37,4.04,0.00,0.00
454.29100,508.15,4.03,0.00,0.00
454.31100,507.93,4.03,0.00,0.00
454.33100,507.70,4.03,0.00,0.00
454.35100,507.48,4.03,0.00,0.00
454.37100,507.26,4.03,0.00,0.00
454.39100,507.04,4.03,0.00,0.00
454.41100,506.82,4.02,0.00,0.00
454.43100,506.60,4.02,0.00,0.00
454.45100,506.38,4.02,0.00,0.00
454.47100,506.16,4.02,0.00,0.00
454.49100,505.94,4.02,0.00,0.00
454.51100,505.72,4.02,0.00,0.00
454.53100,505.50,4.01,0.00,0.00
454.55100,505.28,4.01,0.00,0.00
454.57100,505.06,4.01,0.00,0.00
454.59100,504.84,4.01,0.00,0.00
454.61100,504.62,4.01,0.00,0.00
454.63100,504.40,4.01,0.00,0.00
454.65100,504.18,4.00,0.00,0.00
454.67100,503.96,4.00,0.00,0.00
454.69100,503.75,4.00,0.00,0.00
454.71100,503.53,4.00,0.00,0.00
454.73100,503.31,4.00,0.00,0.00
454.75100,503.09,4.00,0.00,0.00
454.77100,502.88,3.99,0.00,0.00
454.79100,502.66,3.99,0.00,0.00
454.81100,502.44,3.99,0.00,0.00
454.83100,502.23,3.99,0.00,0.00
454.85100,502.01,3.99,0.00,0.00
454.87100,501.80,3.99,0.00,0.00
454.89100,501.58,3.98,0.00,0.00
454.91100,501.37,3.98,0.00,0.00
454.93100,501.15,3.98,0.00,0.00
454.95100,500.93,3.98,0.00,0.00
454.97100,500.72,3.98,0.00,0.00
454.99100,500.51,3.98,0.00,0.00
455.01100,500.29,3.97,0.00,0.00
455.03100,500.08,3.97,0.00,0.00
455.05100,499.86,3.97,0.00,0.00
455.07100,499.65,3.97,0.00,0.00
455.09100,499.44,3.97,0.00,0.00
455.11100,499.22,3.97,0.00,0.00
455.13100,499.01,3.96,0.00,0.00
455.15100,498.80,3.96,0.00,0.00
455.17100,498.58,3.96,0.00,0.00
455.19100,498.37,3.96,0.00,0.00
455.21100,498.16,3.96,0.00,0.00
455.23100,497.95,3.96,0.00,0.00
455.25100,497.74,3.95,0.00,0.00
455.27100,497.53,3.95,0.00,0.00
455.29100,497.31,3.95,0.00,0.00
455.31100,497.10,3.95,0.00,0.00
455.33100,496.89,3.95,0.00,0.00
455.35100,496.68,3.95,0.00,0.00
455.37100,496.47,3.94,0.00,0.00
455.39100,496.26,3.94,0.00,0.00
455.41100,496.05,3.94,0.00,0.00
455.43100,495.84,3.94,0.00,0.00
455.45100,495.63,3.94,0.00,0.00
455.47100,495.42,3.94,0.00,0.00
455.49100,495.21,3.93,0.00,0.00
455.51100,495.00,3.93,0.00,0.00
455.53100,494.80,3.93,0.00,0.00
455.55100,494.59,3.93,0.00,0.00
455.57100,494.38,3.93,0.00,0.00
455.59100,494.17,3.93,0.00,0.00
455.61100,493.96,3.92,0.00,0.00
455.63100,493.76,3.92,0.00,0.00
455.65100,493.55,3.92,0.00,0.00
455.67100,493.34,3.92,0.00,0.00
455.69100,493.13,3.92,0.00,0.00
455.71100,492.93,3.92,0.00,0.00
455.73100,492.72,3.91,0.00,0.00
455.75100,492.51,3.91,0.00,0.00
455.77100,492.31,3.91,0.00,0.00
455.79100,492.10,3.91,0.00,0.00
455.81100,491.90,3.91,0.00,0.00
455.83100,491.69,3.91,0.00,0.00
455.85100,491.49,3.91,0.00,0.00
455.87100,491.28,3.90,0.00,0.00
455.89100,491.08,3.90,0.00,0.00
455.91100,490.87,3.90,0.00,0.00
455.93100,490.67,3.90,0.00,0.00
455.95100,490.46,3.90,0.00,0.00
455.97100,490.26,3.90,0.00,0.00
455.99100,490.05,3.89,0.00,0.00
456.01100,489.85,3.89,0.00,0.00
456.03100,489.65,3.89,0.00,0.00
456.05100,489.44,3.89,0.00,0.00
456.07100,489.24,3.89,0.00,0.00
456.09100,489.04,3.89,0.00,0.00
456.11100,488.84,3.88,0.00,0.00
456.13100,488.63,3.88,0.00,0.00
456.15100,488.43,3.88,0.00,0.00
456.17100,488.23,3.88,0.00,0.00
456.19100,488.03,3.88,0.00,0.00
456.21100,487.83,3.88,0.00,0.00
456.23100,487.62,3.88,0.00,0.00
456.25100,487.42,3.87,0.00,0.00
456.27100,487.22,3.87,0.00,0.00
456.29100,487.02,3.87,0.00,0.00
456.31100,486.82,3.87,0.00,0.00
456.33100,486.62,3.87,0.00,0.00
456.35100,486.42,3.87,0.00,0.00
456.37100,486.22,3.86,0.00,0.00
456.39100,486.02,3.86,0.00,0.00
456.41100,485.82,3.86,0.00,0.00
456.43100,485.62,3.86,0.00,0.00
456.45100,485.42,3.86,0.00,0.00
456.47100,485.22,3.86,0.00,0.00
456.49100,485.02,3.85,0.00,0.00
456.51100,484.83,3.85,0.00,0.00
456.53100,484.63,3.85,0.00,0.00
456.55100,484.43,3.85,0.00,0.00
456.57100,484.23,3.85,0.00,0.00
456.59100,484.03,3.85,0.00,0.00
456.61100,483.84,3.85,0.00,0.00
456.63100,483.64,3.84,0.00,0.00
456.65100,483.44,3.84,0.00,0.00
456.67100,483.24,3.84,0.00,0.00
456.69100,483.05,3.84,0.00,0.00
456.71100,482.85,3.84,0.00,0.00
456.73100,482.65,3.84,0.00,0.00
456.75100,482.46,3.84,0.00,0.00
456.77100,482.26,3.83,0.00,0.00
456.79100,482.07,3.83,0.00,0.00
456.81100,481.87,3.83,0.00,0.00
456.83100,481.67,3.83,0.00,0.00
456.85100,481.48,3.83,0.00,0.00
456.87100,481.28,3.83,0.00,0.00
456.89100,481.09,3.82,0.00,0.00
456.91100,480.89,3.82,0.00,0.00
456.93100,480.70,3.82,0.00,0.00
456.95100,480.50,3.82,0.00,0.00
456.97100,480.31,3.82,0.00,0.00
456.99100,480.12,3.82,0.00,0.00
457.01100,479.92,3.82,0.00,0.00
457.03100,479.73,3.81,0.00,0.00
457.05100,479.54,3.81,0.00,0.00
457.07100,479.34,3.81,0.00,0.00
457.09100,479.15,3.81,0.00,0.00
457.11100,478.96,3.81,0.00,0.00
457.13100,478.76,3.81,0.00,0.00
457.15100,478.57,3.80,0.00,0.00
457.17100,478.38,3.80,0.00,0.00
457.19100,478.19,3.80,0.00,0.00
457.21100,477.99,3.80,0.00,0.00
457.23100,477.80,3.80,0.00,0.00
457.25100,477.61,3.80,0.00,0.00
457.27100,477.42,3.80,0.00,0.00
457.29100,477.23,3.79,0.00,0.00
457.31100,477.04,3.79,0.00,0.00
457.33100,476.85,3.79,0.00,0.00
457.35100,476.66,3.79,0.00,0.00
457.37100,476.47,3.79,0.00,0.00
457.39100,476.28,3.79,0.00,0.00
457.41100,476.09,3.79,0.00,0.00
457.43100,475.90,3.78,0.00,0.00
457.45100,475.71,3.78,0.00,0.00
457.47100,475.52,3.78,0.00,0.00
457.49100,475.33,3.78,0.00,0.00
457.51100,475.14,3.78,0.00,0.00
457.53100,474.95,3.78,0.00,0.00
457.55100,474.76,3.78,0.00,0.00
457.57100,474.57,3.77,0.00,0.00
457.59100,474.38,3.77,0.00,0.00
457.61100,474.20,3.77,0.00,0.00
457.63100,474.01,3.77,0.00,0.00
457.65100,473.82,3.77,0.00,0.00
457.67100,473.63,3.77,0.00,0.00
457.69100,473.44,3.76,0.00,0.00
457.71100,473.26,3.76,0.00,0.00
457.73100,473.07,3.76,0.00,0.00
457.75100,472.88,3.76,0.00,0.00
457.77100,472.70,3.76,0.00,0.00
457.79100,472.51,3.76,0.00,0.00
457.81100,472.32,3.76,0.00,0.00
457.83100,472.14,3.75,0.00,0.00
457.85100,471.95,3.75,0.00,0.00
457.87100,471.76,3.75,0.00,0.00
457.89100,471.58,3.75,0.00,0.00
457.91100,471.39,3.75,0.00,0.00
457.93100,471.21,3.75,0.00,0.00
457.95100,471.02,3.75,0.00,0.00
457.97100,470.84,3.74,0.00,0.00
457.99100,470.65,3.74,0.00,0.00
458.01100,470.47,3.74,0.00,0.00
458.03100,470.28,3.74,0.00,0.00
458.05100,470.10,3.74,0.00,0.00
458.07100,469.91,3.74,0.00,0.00
458.09100,469.73,3.74,0.00,0.00
458.11100,469.55,3.73,0.00,0.00
458.13100,469.36,3.73,0.00,0.00
458.15100,469.18,3.73,0.00,0.00
458.17100,469.00,3.73,0.00,0.00
458.19100,468.81,3.73,0.00,0.00
458.21100,468.63,3.73,0.00,0.00
458.23100,468.45,3.73,0.00,0.00
458.25100,468.27,3.72,0.00,0.00
458.27100,468.08,3.72,0.00,0.00
458.29100,467.90,3.72,0.00,0.00
458.31100,467.72,3.72,0.00,0.00
458.33100,467.54,3.72,0.00,0.00
458.35100,467.36,3.72,0.00,0.00
458.37100,467.17,3.72,0.00,0.00
458.39100,466.99,3.71,0.00,0.00
458.41100,466.81,3.71,0.00,0.00
458.43100,466.63,3.71,0.00,0.00
458.45100,466.45,3.71,0.00,0.00
458.47100,466.27,3.71,0.00,0.00
458.49100,466.09,3.71,0.00,0.00
458.51100,465.91,3.71,0.00,0.00
458.53100,465.73,3.70,0.00,0.00
458.55100,465.55,3.70,0.00,0.00
458.57100,465.37,3.70,0.00,0.00
458.59100,465.19,3.70,0.00,0.00
458.61100,465.01,3.70,0.00,0.00
458.63100,464.83,3.70,0.00,0.00
458.65100,464.65,3.70,0.00,0.00
458.67100,464.47,3.70,0.00,0.00
458.69100,464.29,3.69,0.00,0.00
