Sr2,5s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
302.86000,-94.95,0.86,0.00,0.00
302.88000,-94.98,0.86,0.00,0.00
302.90000,-95.01,0.86,0.00,0.00
302.92000,-95.04,0.86,0.00,0.00
302.94000,-95.07,0.86,0.00,0.00
302.96000,-95.10,0.86,0.00,0.00
302.98000,-95.13,0.86,0.00,0.00
303.00000,-95.16,0.86,0.00,0.00
303.02000,-95.18,0.86,0.00,0.00
303.04000,-95.21,0.86,0.00,0.00
303.06000,-95.24,0.86,0.00,0.00
303.08000,-95.27,0.86,0.00,0.00
303.10000,-95.30,0.86,0.00,0.00
303.12000,-95.33,0.86,0.00,0.00
303.14000,-95.36,0.86,0.00,0.00
303.16000,-95.39,0.86,0.00,0.00
303.18000,-95.42,0.86,0.00,0.00
303.20000,-95.45,0.86,0.00,0.00
303.22000,-95.48,0.86,0.00,0.00
303.24000,-95.50,0.86,0.00,0.00
303.26000,-95.53,0.86,0.00,0.00
303.28000,-95.56,0.86,0.00,0.00
303.30000,-95.59,0.86,0.00,0.00
303.32000,-95.62,0.86,0.00,0.00
303.34000,-95.65,0.86,0.00,0.00
303.36000,-95.68,0.86,0.00,0.00
303.38000,-95.71,0.86,0.00,0.00
303.40000,-95.74,0.86,0.00,0.00
303.42000,-95.77,0.86,0.00,0.00
303.44000,-95.80,0.86,0.00,0.00
303.46000,-95.83,0.86,0.00,0.00
303.48000,-95.86,0.86,0.00,0.00
303.50000,-95.88,0.86,0.00,0.00
303.52000,-95.91,0.86,0.00,0.00
303.54000,-95.94,0.86,0.00,0.00
303.56000,-95.97,0.87,0.00,0.00
303.58000,-96.00,0.87,0.00,0.00
303.60000,-96.03,0.87,0.00,0.00
303.62000,-96.06,0.87,0.00,0.00
303.64000,-96.09,0.87,0.00,0.00
303.66000,-96.12,0.87,0.00,0.00
303.68000,-96.15,0.87,0.00,0.00
303.70000,-96.18,0.87,0.00,0.00
303.72000,-96.21,0.87,0.00,0.00
303.74000,-96.24,0.87,0.00,0.00
303.76000,-96.27,0.87,0.00,0.00
303.78000,-96.30,0.87,0.00,0.00
303.80000,-96.32,0.87,0.00,0.00
303.82000,-96.35,0.87,0.00,0.00
303.84000,-96.38,0.87,0.00,0.00
303.86000,-96.41,0.87,0.00,0.00
303.88000,-96.44,0.87,0.00,0.00
303.90000,-96.47,0.87,0.00,0.00
303.92000,-96.50,0.87,0.00,0.00
303.94000,-96.53,0.87,0.00,0.00
303.96000,-96.56,0.87,0.00,0.00
303.98000,-96.59,0.87,0.00,0.00
304.00000,-96.62,0.87,0.00,0.00
304.02000,-96.65,0.87,0.00,0.00
304.04000,-96.68,0.87,0.00,0.00
304.06000,-96.71,0.87,0.00,0.00
304.08000,-96.74,0.87,0.00,0.00
304.10000,-96.77,0.87,0.00,0.00
304.12000,-96.80,0.87,0.00,0.00
304.14000,-96.83,0.87,0.00,0.00
304.16000,-96.86,0.87,0.00,0.00
304.18000,-96.89,0.87,0.00,0.00
304.20000,-96.92,0.87,0.00,0.00
304.22000,-96.95,0.87,0.00,0.00
304.24000,-96.98,0.87,0.00,0.00
304.26000,-97.01,0.87,0.00,0.00
304.28000,-97.03,0.87,0.00,0.00
304.30000,-97.06,0.87,0.00,0.00
304.32000,-97.09,0.87,0.00,0.00
304.34000,-97.12,0.87,0.00,0.00
304.36000,-97.15,0.88,0.00,0.00
304.38000,-97.18,0.88,0.00,0.00
304.40000,-97.21,0.88,0.00,0.00
304.42000,-97.24,0.88,0.00,0.00
304.44000,-97.27,0.88,0.00,0.00
304.46000,-97.30,0.88,0.00,0.00
304.48000,-97.33,0.88,0.00,0.00
304.50000,-97.36,0.88,0.00,0.00
304.52000,-97.39,0.88,0.00,0.00
304.54000,-97.42,0.88,0.00,0.00
304.56000,-97.45,0.88,0.00,0.00
304.58000,-97.48,0.88,0.00,0.00
304.60000,-97.51,0.88,0.00,0.00
304.62000,-97.54,0.88,0.00,0.00
304.64000,-97.57,0.88,0.00,0.00
304.66000,-97.60,0.88,0.00,0.00
304.68000,-97.63,0.88,0.00,0.00
