Sr2,5p3/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
300.00000,-101.46,1.94,-6.26,0.58
300.02000,-101.54,1.94,-6.26,0.58
300.04000,-101.61,1.94,-6.25,0.58
300.06000,-101.68,1.94,-6.25,0.58
300.08000,-101.76,1.94,-6.25,0.58
300.10000,-101.83,1.95,-6.24,0.58
300.12000,-101.90,1.95,-6.24,0.58
300.14000,-101.98,1.95,-6.24,0.58
300.16000,-102.05,1.95,-6.23,0.58
300.18000,-102.13,1.95,-6.23,0.58
300.20000,-102.20,1.95,-6.22,0.58
300.22000,-102.28,1.95,-6.22,0.58
300.24000,-102.35,1.95,-6.22,0.58
300.26000,-102.42,1.95,-6.21,0.58
300.28000,-102.50,1.95,-6.21,0.58
300.30000,-102.57,1.95,-6.21,0.58
300.32000,-102.65,1.96,-6.20,0.59
300.34000,-102.72,1.96,-6.20,0.59
300.36000,-102.80,1.96,-6.19,0.59
300.38000,-102.87,1.96,-6.19,0.59
300.40000,-102.95,1.96,-6.19,0.59
300.42000,-103.02,1.96,-6.18,0.59
300.44000,-103.10,1.96,-6.18,0.59
300.46000,-103.17,1.96,-6.18,0.59
300.48000,-103.25,1.96,-6.17,0.59
300.50000,-103.32,1.96,-6.17,0.59
300.52000,-103.40,1.97,-6.17,0.59
300.54000,-103.47,1.97,-6.16,0.59
300.56000,-103.55,1.97,-6.16,0.59
300.58000,-103.62,1.97,-6.15,0.59
300.60000,-103.70,1.97,-6.15,0.59
300.62000,-103.77,1.97,-6.15,0.59
300.64000,-103.85,1.97,-6.14,0.59
300.66000,-103.92,1.97,-6.14,0.59
300.68000,-104.00,1.97,-6.14,0.59
300.70000,-104.08,1.97,-6.13,0.59
300.72000,-104.15,1.97,-6.13,0.59
300.74000,-104.23,1.98,-6.12,0.59
300.76000,-104.30,1.98,-6.12,0.59
300.78000,-104.38,1.98,-6.12,0.59
300.80000,-104.46,1.98,-6.11,0.59
300.82000,-104.53,1.98,-6.11,0.59
300.84000,-104.61,1.98,-6.11,0.59
300.86000,-104.68,1.98,-6.10,0.59
300.88000,-104.76,1.98,-6.10,0.59
300.90000,-104.84,1.98,-6.09,0.59
300.92000,-104.91,1.98,-6.09,0.59
300.94000,-104.99,1.99,-6.09,0.59
300.96000,-105.07,1.99,-6.08,0.59
300.98000,-105.14,1.99,-6.08,0.59
301.00000,-105.22,1.99,-6.07,0.59
301.02000,-105.30,1.99,-6.07,0.59
301.04000,-105.37,1.99,-6.07,0.59
301.06000,-105.45,1.99,-6.06,0.59
301.08000,-105.53,1.99,-6.06,0.59
301.10000,-105.61,1.99,-6.06,0.59
301.12000,-105.68,1.99,-6.05,0.59
301.14000,-105.76,2.00,-6.05,0.59
301.16000,-105.84,2.00,-6.04,0.59
301.18000,-105.91,2.00,-6.04,0.60
301.20000,-105.99,2.00,-6.04,0.60
301.22000,-106.07,2.00,-6.03,0.60
301.24000,-106.15,2.00,-6.03,0.60
301.26000,-106.22,2.00,-6.02,0.60
301.28000,-106.30,2.00,-6.02,0.60
301.30000,-106.38,2.00,-6.02,0.60
