Sr2,5p3/2,,,
301.32000,-106.46,2.00,-6.01,0.60
301.34000,-106.54,2.01,-6.01,0.60
301.36000,-106.61,2.01,-6.01,0.60
301.38000,-106.69,2.01,-6.00,0.60
301.40000,-106.77,2.01,-6.00,0.60
301.42000,-106.85,2.01,-5.99,0.60
301.44000,-106.93,2.01,-5.99,0.60
301.46000,-107.00,2.01,-5.99,0.60
301.48000,-107.08,2.01,-5.98,0.60
301.50000,-107.16,2.01,-5.98,0.60
301.52000,-107.24,2.01,-5.97,0.60
301.54000,-107.32,2.02,-5.97,0.60
301.56000,-107.40,2.02,-5.97,0.60
301.58000,-107.48,2.02,-5.96,0.60
301.60000,-107.56,2.02,-5.96,0.60
301.62000,-107.63,2.02,-5.95,0.60
301.64000,-107.71,2.02,-5.95,0.60
301.66000,-107.79,2.02,-5.95,0.60
301.68000,-107.87,2.02,-5.94,0.60
301.70000,-107.95,2.02,-5.94,0.60
301.72000,-108.03,2.02,-5.93,0.60
301.74000,-108.11,2.03,-5.93,0.60
301.76000,-108.19,2.03,-5.93,0.60
301.78000,-108.27,2.03,-5.92,0.60
301.80000,-108.35,2.03,-5.92,0.60
301.82000,-108.43,2.03,-5.91,0.60
301.84000,-108.51,2.03,-5.91,0.60
301.86000,-108.59,2.03,-5.91,0.60
301.88000,-108.67,2.03,-5.90,0.60
301.90000,-108.75,2.03,-5.90,0.60
301.92000,-108.83,2.03,-5.89,0.60
301.94000,-108.91,2.04,-5.89,0.60
301.96000,-108.99,2.04,-5.89,0.60
301.98000,-109.07,2.04,-5.88,0.60
302.00000,-109.15,2.04,-5.88,0.60
302.02000,-109.23,2.04,-5.87,0.61
302.04000,-109.31,2.04,-5.87,0.61
302.06000,-109.39,2.04,-5.87,0.61
302.08000,-109.47,2.04,-5.86,0.61
302.10000,-109.55,2.04,-5.86,0.61
302.12000,-109.63,2.04,-5.85,0.61
302.14000,-109.71,2.05,-5.85,0.61
302.16000,-109.79,2.05,-5.85,0.61
302.18000,-109.87,2.05,-5.84,0.61
302.20000,-109.95,2.05,-5.84,0.61
302.22000,-110.03,2.05,-5.83,0.61
302.24000,-110.11,2.05,-5.83,0.61
302.26000,-110.20,2.05,-5.83,0.61
302.28000,-110.28,2.05,-5.82,0.61
302.30000,-110.36,2.05,-5.82,0.61
302.32000,-110.44,2.06,-5.81,0.61
302.34000,-110.52,2.06,-5.81,0.61
302.36000,-110.60,2.06,-5.80,0.61
302.38000,-110.68,2.06,-5.80,0.61
302.40000,-110.77,2.06,-5.80,0.61
302.42000,-110.85,2.06,-5.79,0.61
302.44000,-110.93,2.06,-5.79,0.61
302.46000,-111.01,2.06,-5.78,0.61
302.48000,-111.09,2.06,-5.78,0.61
302.50000,-111.18,2.06,-5.78,0.61
302.52000,-111.26,2.07,-5.77,0.61
302.54000,-111.34,2.07,-5.77,0.61
302.56000,-111.42,2.07,-5.76,0.61
302.58000,-111.50,2.07,-5.76,0.61
302.60000,-111.59,2.07,-5.75,0.61
302.62000,-111.67,2.07,-5.75,0.61
302.64000,-111.75,2.07,-5.75,0.61
302.66000,-111.83,2.07,-5.74,0.61
302.68000,-111.92,2.07,-5.74,0.61
302.70000,-112.00,2.08,-5.73,0.61
302.72000,-112.08,2.08,-5.73,0.61
302.74000,-112.17,2.08,-5.72,0.61
302.76000,-112.25,2.08,-5.72,0.61
302.78000,-112.33,2.08,-5.72,0.61
302.80000,-112.42,2.08,-5.71,0.61
302.82000,-112.50,2.08,-5.71,0.62
302.84000,-112.58,2.08,-5.70,0.62
302.86000,-112.67,2.08,-5.70,0.62
302.88000,-112.75,2.08,-5.70,0.62
302.90000,-112.83,2.09,-5.69,0.62
302.92000,-112.92,2.09,-5.69,0.62
302.94000,-113.00,2.09,-5.68,0.62
302.96000,-113.08,2.09,-5.68,0.62
302.98000,-113.17,2.09,-5.67,0.62
303.00000,-113.25,2.09,-5.67,0.62
303.02000,-113.34,2.09,-5.67,0.62
303.04000,-113.42,2.09,-5.66,0.62
303.06000,-113.50,2.09,-5.66,0.62
303.08000,-113.59,2.10,-5.65,0.62
303.10000,-113.67,2.10,-5.65,0.62
303.12000,-113.76,2.10,-5.64,0.62
303.14000,-113.84,2.10,-5.64,0.62
303.16000,-113.93,2.10,-5.63,0.62
303.18000,-114.01,2.10,-5.63,0.62
303.20000,-114.10,2.10,-5.63,0.62
303.22000,-114.18,2.10,-5.62,0.62
303.24000,-114.27,2.10,-5.62,0.62
303.26000,-114.35,2.11,-5.61,0.62
303.28000,-114.44,2.11,-5.61,0.62
303.30000,-114.52,2.11,-5.60,0.62
303.32000,-114.61,2.11,-5.60,0.62
303.34000,-114.69,2.11,-5.60,0.62
303.36000,-114.78,2.11,-5.59,0.62
303.38000,-114.86,2.11,-5.59,0.62
303.40000,-114.95,2.11,-5.58,0.62
303.42000,-115.03,2.11,-5.58,0.62
303.44000,-115.12,2.12,-5.57,0.62
303.46000,-115.20,2.12,-5.57,0.62
303.48000,-115.29,2.12,-5.56,0.62
303.50000,-115.38,2.12,-5.56,0.62
303.52000,-115.46,2.12,-5.56,0.62
303.54000,-115.55,2.12,-5.55,0.62
303.56000,-115.63,2.12,-5.55,0.62
303.58000,-115.72,2.12,-5.54,0.62
303.60000,-115.81,2.12,-5.54,0.63
303.62000,-115.89,2.13,-5.53,0.63
303.64000,-115.98,2.13,-5.53,0.63
303.66000,-116.07,2.13,-5.52,0.63
303.68000,-116.15,2.13,-5.52,0.63
303.70000,-116.24,2.13,-5.51,0.63
303.72000,-116.33,2.13,-5.51,0.63
303.74000,-116.41,2.13,-5.51,0.63
303.76000,-116.50,2.13,-5.50,0.63
303.78000,-116.59,2.13,-5.50,0.63
303.80000,-116.67,2.14,-5.49,0.63
303.82000,-116.76,2.14,-5.49,0.63
303.84000,-116.85,2.14,-5.48,0.63
303.86000,-116.94,2.14,-5.48,0.63
303.88000,-117.02,2.14,-5.47,0.63
303.90000,-117.11,2.14,-5.47,0.63
303.92000,-117.20,2.14,-5.46,0.63
303.94000,-117.29,2.14,-5.46,0.63
303.96000,-117.37,2.14,-5.46,0.63
303.98000,-117.46,2.15,-5.45,0.63
304.00000,-117.55,2.15,-5.45,0.63
304.02000,-117.64,2.15,-5.44,0.63
304.04000,-117.73,2.15,-5.44,0.63
304.06000,-117.81,2.15,-5.43,0.63
304.08000,-117.90,2.15,-5.43,0.63
304.10000,-117.99,2.15,-5.42,0.63
304.12000,-118.08,2.15,-5.42,0.63
304.14000,-118.17,2.15,-5.41,0.63
304.16000,-118.26,2.16,-5.41,0.63
304.18000,-118.35,2.16,-5.40,0.63
304.20000,-118.43,2.16,-5.40,0.63
304.22000,-118.52,2.16,-5.40,0.63
304.24000,-118.61,2.16,-5.39,0.63
304.26000,-118.70,2.16,-5.39,0.63
304.28000,-118.79,2.16,-5.38,0.63
304.30000,-118.88,2.16,-5.38,0.63
304.32000,-118.97,2.16,-5.37,0.63
304.34000,-119.06,2.17,-5.37,0.63
304.36000,-119.15,2.17,-5.36,0.64
304.38000,-119.24,2.17,-5.36,0.64
304.40000,-119.33,2.17,-5.35,0.64
304.42000,-119.42,2.17,-5.35,0.64
304.44000,-119.51,2.17,-5.34,0.64
304.46000,-119.60,2.17,-5.34,0.64
304.48000,-119.69,2.17,-5.33,0.64
304.50000,-119.78,2.18,-5.33,0.64
304.52000,-119.87,2.18,-5.32,0.64
304.54000,-119.96,2.18,-5.32,0.64
304.56000,-120.05,2.18,-5.32,0.64
304.58000,-120.14,2.18,-5.31,0.64
304.60000,-120.23,2.18,-5.31,0.64
304.62000,-120.32,2.18,-5.30,0.64
304.64000,-120.41,2.18,-5.30,0.64
304.66000,-120.50,2.18,-5.29,0.64
304.68000,-120.59,2.19,-5.29,0.64
304.70000,-120.68,2.19,-5.28,0.64
304.72000,-120.77,2.19,-5.28,0.64
304.74000,-120.86,2.19,-5.27,0.64
304.76000,-120.95,2.19,-5.27,0.64
304.78000,-121.05,2.19,-5.26,0.64
304.80000,-121.14,2.19,-5.26,0.64
304.82000,-121.23,2.19,-5.25,0.64
304.84000,-121.32,2.20,-5.25,0.64
304.86000,-121.41,2.20,-5.24,0.64
304.88000,-121.50,2.20,-5.24,0.64
304.90000,-121.60,2.20,-5.23,0.64
304.92000,-121.69,2.20,-5.23,0.64
304.94000,-121.78,2.20,-5.22,0.64
304.96000,-121.87,2.20,-5.22,0.64
304.98000,-121.96,2.20,-5.21,0.64
305.00000,-122.06,2.20,-5.21,0.64
305.02000,-122.15,2.21,-5.20,0.64
305.04000,-122.24,2.21,-5.20,0.64
305.06000,-122.33,2.21,-5.19,0.64
305.08000,-122.43,2.21,-5.19,0.64
305.10000,-122.52,2.21,-5.18,0.65
305.12000,-122.61,2.21,-5.18,0.65
305.14000,-122.70,2.21,-5.17,0.65
305.16000,-122.80,2.21,-5.17,0.65
305.18000,-122.89,2.22,-5.16,0.65
305.20000,-122.98,2.22,-5.16,0.65
305.22000,-123.08,2.22,-5.15,0.65
305.24000,-123.17,2.22,-5.15,0.65
305.26000,-123.26,2.22,-5.14,0.65
305.28000,-123.36,2.22,-5.14,0.65
305.30000,-123.45,2.22,-5.13,0.65
305.32000,-123.54,2.22,-5.13,0.65
305.34000,-123.64,2.23,-5.12,0.65
305.36000,-123.73,2.23,-5.12,0.65
305.38000,-123.83,2.23,-5.11,0.65
305.40000,-123.92,2.23,-5.11,0.65
305.42000,-124.01,2.23,-5.10,0.65
305.44000,-124.11,2.23,-5.10,0.65
305.46000,-124.20,2.23,-5.09,0.65
305.48000,-124.30,2.23,-5.09,0.65
305.50000,-124.39,2.23,-5.08,0.65
305.52000,-124.49,2.24,-5.08,0.65
305.54000,-124.58,2.24,-5.07,0.65
305.56000,-124.68,2.24,-5.07,0.65
305.58000,-124.77,2.24,-5.06,0.65
305.60000,-124.87,2.24,-5.06,0.65
305.62000,-124.96,2.24,-5.05,0.65
305.64000,-125.06,2.24,-5.05,0.65
305.66000,-125.15,2.24,-5.04,0.65
305.68000,-125.25,2.25,-5.04,0.65
305.70000,-125.34,2.25,-5.03,0.65
305.72000,-125.44,2.25,-5.03,0.65
305.74000,-125.53,2.25,-5.02,0.65
305.76000,-125.63,2.25,-5.02,0.65
305.78000,-125.72,2.25,-5.01,0.65
305.80000,-125.82,2.25,-5.01,0.65
305.82000,-125.92,2.25,-5.00,0.66
305.84000,-126.01,2.26,-5.00,0.66
305.86000,-126.11,2.26,-4.99,0.66
305.88000,-126.21,2.26,-4.99,0.66
305.90000,-126.30,2.26,-4.98,0.66
305.92000,-126.40,2.26,-4.98,0.66
305.94000,-126.50,2.26,-4.97,0.66
305.96000,-126.59,2.26,-4.96,0.66
305.98000,-126.69,2.26,-4.96,0.66
306.00000,-126.79,2.27,-4.95,0.66
306.02000,-126.88,2.27,-4.95,0.66
306.04000,-126.98,2.27,-4.94,0.66
306.06000,-127.08,2.27,-4.94,0.66
306.08000,-127.17,2.27,-4.93,0.66
306.10000,-127.27,2.27,-4.93,0.66
306.12000,-127.37,2.27,-4.92,0.66
306.14000,-127.47,2.27,-4.92,0.66
306.16000,-127.56,2.28,-4.91,0.66
306.18000,-127.66,2.28,-4.91,0.66
306.20000,-127.76,2.28,-4.90,0.66
306.22000,-127.86,2.28,-4.90,0.66
306.24000,-127.96,2.28,-4.89,0.66
306.26000,-128.05,2.28,-4.89,0.66
306.28000,-128.15,2.28,-4.88,0.66
306.30000,-128.25,2.28,-4.87,0.66
306.32000,-128.35,2.29,-4.87,0.66
306.34000,-128.45,2.29,-4.86,0.66
306.36000,-128.55,2.29,-4.86,0.66
306.38000,-128.64,2.29,-4.85,0.66
306.40000,-128.74,2.29,-4.85,0.66
306.42000,-128.84,2.29,-4.84,0.66
306.44000,-128.94,2.29,-4.84,0.66
306.46000,-129.04,2.29,-4.83,0.66
306.48000,-129.14,2.30,-4.83,0.66
306.50000,-129.24,2.30,-4.82,0.67
306.52000,-129.34,2.30,-4.81,0.67
306.54000,-129.44,2.30,-4.81,0.67
306.56000,-129.54,2.30,-4.80,0.67
306.58000,-129.64,2.30,-4.80,0.67
306.60000,-129.74,2.30,-4.79,0.67
306.62000,-129.84,2.31,-4.79,0.67
306.64000,-129.94,2.31,-4.78,0.67
306.66000,-130.04,2.31,-4.78,0.67
306.68000,-130.14,2.31,-4.77,0.67
306.70000,-130.24,2.31,-4.77,0.67
306.72000,-130.34,2.31,-4.76,0.67
306.74000,-130.44,2.31,-4.75,0.67
306.76000,-130.54,2.31,-4.75,0.67
306.78000,-130.64,2.32,-4.74,0.67
306.80000,-130.74,2.32,-4.74,0.67
306.82000,-130.84,2.32,-4.73,0.67
306.84000,-130.94,2.32,-4.73,0.67
306.86000,-131.04,2.32,-4.72,0.67
306.88000,-131.15,2.32,-4.72,0.67
306.90000,-131.25,2.32,-4.71,0.67
306.92000,-131.35,2.32,-4.70,0.67
306.94000,-131.45,2.33,-4.70,0.67
306.96000,-131.55,2.33,-4.69,0.67
306.98000,-131.65,2.33,-4.69,0.67
307.00000,-131.76,2.33,-4.68,0.67
307.02000,-131.86,2.33,-4.68,0.67
307.04000,-131.96,2.33,-4.67,0.67
307.06000,-132.06,2.33,-4.66,0.67
307.08000,-132.16,2.34,-4.66,0.67
307.10000,-132.27,2.34,-4.65,0.67
307.12000,-132.37,2.34,-4.65,0.67
307.14000,-132.47,2.34,-4.64,0.67
307.16000,-132.58,2.34,-4.64,0.67
307.18000,-132.68,2.34,-4.63,0.68
307.20000,-132.78,2.34,-4.62,0.68
307.22000,-132.88,2.34,-4.62,0.68
307.24000,-132.99,2.35,-4.61,0.68
307.26000,-133.09,2.35,-4.61,0.68
307.28000,-133.19,2.35,-4.60,0.68
307.30000,-133.30,2.35,-4.60,0.68
307.32000,-133.40,2.35,-4.59,0.68
307.34000,-133.50,2.35,-4.58,0.68
307.36000,-133.61,2.35,-4.58,0.68
307.38000,-133.71,2.36,-4.57,0.68
307.40000,-133.82,2.36,-4.57,0.68
307.42000,-133.92,2.36,-4.56,0.68
307.44000,-134.02,2.36,-4.55,0.68
307.46000,-134.13,2.36,-4.55,0.68
307.48000,-134.23,2.36,-4.54,0.68
307.50000,-134.34,2.36,-4.54,0.68
307.52000,-134.44,2.36,-4.53,0.68
307.54000,-134.55,2.37,-4.53,0.68
307.56000,-134.65,2.37,-4.52,0.68
307.58000,-134.76,2.37,-4.51,0.68
307.60000,-134.86,2.37,-4.51,0.68
307.62000,-134.97,2.37,-4.50,0.68
307.64000,-135.07,2.37,-4.50,0.68
307.66000,-135.18,2.37,-4.49,0.68
307.68000,-135.28,2.38,-4.48,0.68
307.70000,-135.39,2.38,-4.48,0.68
307.72000,-135.50,2.38,-4.47,0.68
307.74000,-135.60,2.38,-4.47,0.68
307.76000,-135.71,2.38,-4.46,0.68
307.78000,-135.81,2.38,-4.45,0.68
307.80000,-135.92,2.38,-4.45,0.68
307.82000,-136.03,2.39,-4.44,0.68
307.84000,-136.13,2.39,-4.44,0.69
307.86000,-136.24,2.39,-4.43,0.69
307.88000,-136.35,2.39,-4.42,0.69
307.90000,-136.45,2.39,-4.42,0.69
307.92000,-136.56,2.39,-4.41,0.69
307.94000,-136.67,2.39,-4.41,0.69
307.96000,-136.77,2.39,-4.40,0.69
307.98000,-136.88,2.40,-4.39,0.69
308.00000,-136.99,2.40,-4.39,0.69
308.02000,-137.09,2.40,-4.38,0.69
308.04000,-137.20,2.40,-4.38,0.69
308.06000,-137.31,2.40,-4.37,0.69
308.08000,-137.42,2.40,-4.36,0.69
308.10000,-137.53,2.40,-4.36,0.69
308.12000,-137.63,2.41,-4.35,0.69
308.14000,-137.74,2.41,-4.35,0.69
308.16000,-137.85,2.41,-4.34,0.69
308.18000,-137.96,2.41,-4.33,0.69
308.20000,-138.07,2.41,-4.33,0.69
308.22000,-138.18,2.41,-4.32,0.69
308.24000,-138.28,2.41,-4.31,0.69
308.26000,-138.39,2.42,-4.31,0.69
308.28000,-138.50,2.42,-4.30,0.69
308.30000,-138.61,2.42,-4.30,0.69
308.32000,-138.72,2.42,-4.29,0.69
308.34000,-138.83,2.42,-4.28,0.69
308.36000,-138.94,2.42,-4.28,0.69
308.38000,-139.05,2.42,-4.27,0.69
308.40000,-139.16,2.43,-4.26,0.69
308.42000,-139.27,2.43,-4.26,0.69
308.44000,-139.38,2.43,-4.25,0.69
308.46000,-139.49,2.43,-4.25,0.70
308.48000,-139.60,2.43,-4.24,0.70
308.50000,-139.71,2.43,-4.23,0.70
308.52000,-139.82,2.43,-4.23,0.70
308.54000,-139.93,2.44,-4.22,0.70
308.56000,-140.04,2.44,-4.21,0.70
308.58000,-140.15,2.44,-4.21,0.70
308.60000,-140.26,2.44,-4.20,0.70
308.62000,-140.37,2.44,-4.19,0.70
308.64000,-140.48,2.44,-4.19,0.70
308.66000,-140.59,2.44,-4.18,0.70
308.68000,-140.70,2.45,-4.18,0.70
308.70000,-140.82,2.45,-4.17,0.70
308.72000,-140.93,2.45,-4.16,0.70
308.74000,-141.04,2.45,-4.16,0.70
308.76000,-141.15,2.45,-4.15,0.70
308.78000,-141.26,2.45,-4.14,0.70
308.80000,-141.37,2.45,-4.14,0.70
308.82000,-141.49,2.46,-4.13,0.70
308.84000,-141.60,2.46,-4.12,0.70
308.86000,-141.71,2.46,-4.12,0.70
308.88000,-141.82,2.46,-4.11,0.70
308.90000,-141.94,2.46,-4.10,0.70
308.92000,-142.05,2.46,-4.10,0.70
308.94000,-142.16,2.46,-4.09,0.70
308.96000,-142.27,2.47,-4.09,0.70
308.98000,-142.39,2.47,-4.08,0.70
309.00000,-142.50,2.47,-4.07,0.70
309.02000,-142.61,2.47,-4.07,0.70
309.04000,-142.73,2.47,-4.06,0.70
309.06000,-142.84,2.47,-4.05,0.70
309.08000,-142.95,2.48,-4.05,0.71
309.10000,-143.07,2.48,-4.04,0.71
309.12000,-143.18,2.48,-4.03,0.71
309.14000,-143.30,2.48,-4.03,0.71
309.16000,-143.41,2.48,-4.02,0.71
309.18000,-143.52,2.48,-4.01,0.71
309.20000,-143.64,2.48,-4.01,0.71
309.22000,-143.75,2.49,-4.00,0.71
309.24000,-143.87,2.49,-3.99,0.71
309.26000,-143.98,2.49,-3.99,0.71
309.28000,-144.10,2.49,-3.98,0.71
309.30000,-144.21,2.49,-3.97,0.71
309.32000,-144.33,2.49,-3.97,0.71
309.34000,-144.44,2.49,-3.96,0.71
309.36000,-144.56,2.50,-3.95,0.71
309.38000,-144.67,2.50,-3.95,0.71
309.40000,-144.79,2.50,-3.94,0.71
309.42000,-144.91,2.50,-3.93,0.71
309.44000,-145.02,2.50,-3.93,0.71
309.46000,-145.14,2.50,-3.92,0.71
309.48000,-145.25,2.50,-3.91,0.71
309.50000,-145.37,2.51,-3.91,0.71
309.52000,-145.49,2.51,-3.90,0.71
309.54000,-145.60,2.51,-3.89,0.71
309.56000,-145.72,2.51,-3.88,0.71
309.58000,-145.84,2.51,-3.88,0.71
309.60000,-145.95,2.51,-3.87,0.71
309.62000,-146.07,2.52,-3.86,0.71
309.64000,-146.19,2.52,-3.86,0.71
309.66000,-146.30,2.52,-3.85,0.71
309.68000,-146.42,2.52,-3.84,0.72
309.70000,-146.54,2.52,-3.84,0.72
309.72000,-146.66,2.52,-3.83,0.72
309.74000,-146.78,2.52,-3.82,0.72
309.76000,-146.89,2.53,-3.82,0.72
309.78000,-147.01,2.53,-3.81,0.72
309.80000,-147.13,2.53,-3.80,0.72
309.82000,-147.25,2.53,-3.79,0.72
309.84000,-147.37,2.53,-3.79,0.72
309.86000,-147.49,2.53,-3.78,0.72
309.88000,-147.60,2.54,-3.77,0.72
309.90000,-147.72,2.54,-3.77,0.72
309.92000,-147.84,2.54,-3.76,0.72
309.94000,-147.96,2.54,-3.75,0.72
309.96000,-148.08,2.54,-3.75,0.72
309.98000,-148.20,2.54,-3.74,0.72
310.00000,-148.32,2.54,-3.73,0.72
310.02000,-148.44,2.55,-3.72,0.72
310.04000,-148.56,2.55,-3.72,0.72
310.06000,-148.68,2.55,-3.71,0.72
310.08000,-148.80,2.55,-3.70,0.72
310.10000,-148.92,2.55,-3.70,0.72
310.12000,-149.04,2.55,-3.69,0.72
310.14000,-149.16,2.56,-3.68,0.72
310.16000,-149.28,2.56,-3.67,0.72
310.18000,-149.40,2.56,-3.67,0.72
310.20000,-149.52,2.56,-3.66,0.72
310.22000,-149.64,2.56,-3.65,0.72
310.24000,-149.76,2.56,-3.65,0.72
310.26000,-149.89,2.56,-3.64,0.73
310.28000,-150.01,2.57,-3.63,0.73
310.30000,-150.13,2.57,-3.62,0.73
310.32000,-150.25,2.57,-3.62,0.73
310.34000,-150.37,2.57,-3.61,0.73
310.36000,-150.49,2.57,-3.60,0.73
310.38000,-150.62,2.57,-3.59,0.73
310.40000,-150.74,2.58,-3.59,0.73
310.42000,-150.86,2.58,-3.58,0.73
310.44000,-150.98,2.58,-3.57,0.73
310.46000,-151.11,2.58,-3.57,0.73
310.48000,-151.23,2.58,-3.56,0.73
310.50000,-151.35,2.58,-3.55,0.73
310.52000,-151.47,2.59,-3.54,0.73
310.54000,-151.60,2.59,-3.54,0.73
310.56000,-151.72,2.59,-3.53,0.73
310.58000,-151.84,2.59,-3.52,0.73
310.60000,-151.97,2.59,-3.51,0.73
310.62000,-152.09,2.59,-3.51,0.73
310.64000,-152.22,2.60,-3.50,0.73
310.66000,-152.34,2.60,-3.49,0.73
310.68000,-152.46,2.60,-3.48,0.73
310.70000,-152.59,2.60,-3.48,0.73
310.72000,-152.71,2.60,-3.47,0.73
310.74000,-152.84,2.60,-3.46,0.73
310.76000,-152.96,2.60,-3.45,0.73
310.78000,-153.09,2.61,-3.45,0.73
310.80000,-153.21,2.61,-3.44,0.73
310.82000,-153.34,2.61,-3.43,0.74
310.84000,-153.46,2.61,-3.42,0.74
310.86000,-153.59,2.61,-3.42,0.74
310.88000,-153.71,2.61,-3.41,0.74
310.90000,-153.84,2.62,-3.40,0.74
310.92000,-153.97,2.62,-3.39,0.74
310.94000,-154.09,2.62,-3.39,0.74
310.96000,-154.22,2.62,-3.38,0.74
310.98000,-154.34,2.62,-3.37,0.74
311.00000,-154.47,2.62,-3.36,0.74
311.02000,-154.60,2.63,-3.36,0.74
311.04000,-154.72,2.63,-3.35,0.74
311.06000,-154.85,2.63,-3.34,0.74
311.08000,-154.98,2.63,-3.33,0.74
311.10000,-155.10,2.63,-3.32,0.74
311.12000,-155.23,2.63,-3.32,0.74
311.14000,-155.36,2.64,-3.31,0.74
311.16000,-155.49,2.64,-3.30,0.74
311.18000,-155.62,2.64,-3.29,0.74
311.20000,-155.74,2.64,-3.29,0.74
311.22000,-155.87,2.64,-3.28,0.74
311.24000,-156.00,2.64,-3.27,0.74
311.26000,-156.13,2.65,-3.26,0.74
311.28000,-156.26,2.65,-3.25,0.74
311.30000,-156.38,2.65,-3.25,0.74
311.32000,-156.51,2.65,-3.24,0.74
311.34000,-156.64,2.65,-3.23,0.74
311.36000,-156.77,2.65,-3.22,0.75
311.38000,-156.90,2.66,-3.22,0.75
311.40000,-157.03,2.66,-3.21,0.75
311.42000,-157.16,2.66,-3.20,0.75
311.44000,-157.29,2.66,-3.19,0.75
311.46000,-157.42,2.66,-3.18,0.75
311.48000,-157.55,2.66,-3.18,0.75
311.50000,-157.68,2.67,-3.17,0.75
311.52000,-157.81,2.67,-3.16,0.75
311.54000,-157.94,2.67,-3.15,0.75
311.56000,-158.07,2.67,-3.14,0.75
311.58000,-158.20,2.67,-3.14,0.75
311.60000,-158.33,2.67,-3.13,0.75
311.62000,-158.46,2.68,-3.12,0.75
311.64000,-158.59,2.68,-3.11,0.75
311.66000,-158.73,2.68,-3.10,0.75
311.68000,-158.86,2.68,-3.10,0.75
311.70000,-158.99,2.68,-3.09,0.75
311.72000,-159.12,2.68,-3.08,0.75
311.74000,-159.25,2.69,-3.07,0.75
311.76000,-159.39,2.69,-3.06,0.75
311.78000,-159.52,2.69,-3.05,0.75
311.80000,-159.65,2.69,-3.05,0.75
311.82000,-159.78,2.69,-3.04,0.75
311.84000,-159.92,2.69,-3.03,0.75
311.86000,-160.05,2.70,-3.02,0.75
311.88000,-160.18,2.70,-3.01,0.75
311.90000,-160.31,2.70,-3.01,0.76
311.92000,-160.45,2.70,-3.00,0.76
311.94000,-160.58,2.70,-2.99,0.76
311.96000,-160.72,2.71,-2.98,0.76
311.98000,-160.85,2.71,-2.97,0.76
312.00000,-160.98,2.71,-2.96,0.76
312.02000,-161.12,2.71,-2.96,0.76
312.04000,-161.25,2.71,-2.95,0.76
312.06000,-161.39,2.71,-2.94,0.76
312.08000,-161.52,2.72,-2.93,0.76
