wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty,alpha(m=2),alpha(m=2)_uncertainty
454.514,-379.64,15.04,110.56,16,-97.19,13.17,-282.45,10.23,-331.05,11.05,-476.84,26.37
455.014,-424.82,12.91,151,14.54,-131.46,10.66,-293.36,10.15,-359.09,10.31,-556.28,21.39
455.514,-456.03,11.95,178.81,13.94,-151.93,9.47,-304.1,10.08,-380.06,9.99,-607.96,19.06
456.014,-481.03,11.47,200.78,13.68,-166.32,8.85,-314.71,10.03,-397.87,9.83,-647.34,17.87
456.514,-502.82,11.23,219.59,13.59,-177.58,8.52,-325.24,9.99,-414.03,9.74,-680.4,17.24
457.1,-526.16,11.1,239.32,13.59,-188.63,8.33,-337.53,9.97,-431.84,9.69,-714.79,16.9
457.6,-545.04,11.06,254.96,13.67,-197.04,8.27,-348.01,9.96,-446.52,9.68,-742.08,16.81
458.1,-563.44,11.08,269.94,13.78,-204.93,8.28,-358.51,9.95,-460.98,9.69,-768.37,16.83
458.6,-581.64,11.13,284.53,13.93,-212.56,8.32,-369.07,9.96,-475.35,9.71,-794.2,16.94
459.1,-599.83,11.2,298.94,14.11,-220.11,8.41,-379.72,9.98,-489.77,9.74,-819.94,17.12
459.6,-618.16,11.3,313.32,14.32,-227.69,8.52,-390.47,10,-504.32,9.79,-845.86,17.34
460.1,-636.77,11.42,327.8,14.55,-235.41,8.65,-401.35,10.03,-519.06,9.84,-872.18,17.6
460.2,-640.53,11.44,330.71,14.6,-236.98,8.68,-403.55,10.04,-522.04,9.85,-877.51,17.66
460.3,-644.3,11.47,333.64,14.65,-238.56,8.71,-405.75,10.05,-525.03,9.87,-882.86,17.72
460.4,-648.1,11.5,336.57,14.7,-240.14,8.74,-407.95,10.06,-528.03,9.88,-888.24,17.78
460.48,-651.14,11.52,338.93,14.74,-241.42,8.77,-409.73,10.06,-530.44,9.89,-892.56,17.82
460.51,-652.29,11.53,339.81,14.75,-241.9,8.77,-410.39,10.07,-531.34,9.89,-894.19,17.84
460.54,-653.44,11.53,340.7,14.77,-242.38,8.78,-411.06,10.07,-532.25,9.9,-895.82,17.86
460.57,-654.59,11.54,341.59,14.78,-242.86,8.79,-411.72,10.07,-533.15,9.9,-897.45,17.88
460.6,-655.74,11.55,342.48,14.8,-243.35,8.8,-412.39,10.07,-534.06,9.91,-899.08,17.9
460.63,-656.89,11.56,343.37,14.81,-243.83,8.81,-413.06,10.08,-534.97,9.91,-900.72,17.92
460.66,-658.04,11.57,344.26,14.83,-244.31,8.82,-413.73,10.08,-535.88,9.91,-902.36,17.94
460.69,-659.2,11.58,345.15,14.85,-244.8,8.83,-414.4,10.08,-536.8,9.92,-904,17.96
460.72,-660.35,11.59,346.04,14.86,-245.29,8.84,-415.07,10.08,-537.71,9.92,-905.64,17.98
460.75,-661.51,11.59,346.93,14.88,-245.78,8.85,-415.74,10.09,-538.62,9.93,-907.29,18
460.78,-662.67,11.6,347.83,14.89,-246.27,8.86,-416.41,10.09,-539.54,9.93,-908.94,18.02
460.94,-668.89,11.65,352.63,14.98,-248.9,8.92,-420,10.1,-544.44,9.95,-917.79,18.12
460.97,-670.06,11.66,353.53,15,-249.39,8.93,-420.67,10.11,-545.37,9.96,-919.46,18.14
461,-671.24,11.67,354.43,15.02,-249.89,8.94,-421.35,10.11,-546.29,9.96,-921.13,18.16
461.03,-672.41,11.68,355.34,15.03,-250.39,8.95,-422.03,10.11,-547.22,9.97,-922.8,18.18
461.06,-673.59,11.69,356.25,15.05,-250.89,8.96,-422.7,10.12,-548.15,9.97,-924.48,18.21
461.09,-674.77,11.7,357.16,15.07,-251.39,8.97,-423.38,10.12,-549.08,9.98,-926.16,18.23
461.12,-675.95,11.71,358.07,15.08,-251.89,8.98,-424.06,10.12,-550.01,9.98,-927.84,18.25
461.15,-677.14,11.72,358.98,15.1,-252.4,8.99,-424.74,10.13,-550.94,9.99,-929.53,18.27
461.18,-678.32,11.73,359.89,15.12,-252.9,9,-425.42,10.13,-551.87,9.99,-931.22,18.29
461.21,-679.51,11.73,360.81,15.14,-253.41,9.02,-426.1,10.13,-552.81,10,-932.92,18.31
461.24,-680.7,11.74,361.72,15.15,-253.91,9.03,-426.78,10.14,-553.74,10,-934.61,18.33
461.27,-681.89,11.75,362.64,15.17,-254.42,9.04,-427.47,10.14,-554.68,10.01,-936.31,18.35
461.37,-685.88,11.79,365.71,15.23,-256.13,9.08,-429.75,10.15,-557.81,10.02,-942.01,18.43
461.47,-689.89,11.82,368.8,15.29,-257.85,9.11,-432.04,10.16,-560.96,10.04,-947.74,18.5
461.57,-693.92,11.85,371.9,15.35,-259.58,9.15,-434.34,10.17,-564.13,10.05,-953.5,18.58
462.07,-714.47,12.03,387.74,15.67,-268.51,9.36,-445.96,10.23,-580.22,10.14,-982.98,18.97
462.57,-735.72,12.23,404.14,16.01,-277.88,9.58,-457.84,10.3,-596.78,10.24,-1013.61,19.4
463.07,-757.75,12.43,421.21,16.38,-287.76,9.82,-469.99,10.37,-613.87,10.35,-1045.52,19.86
463.57,-780.65,12.66,439.04,16.77,-298.22,10.07,-482.43,10.46,-631.54,10.46,-1078.86,20.35
464.07,-804.49,12.9,457.73,17.19,-309.3,10.35,-495.19,10.55,-649.84,10.59,-1113.79,20.88
464.57,-829.39,13.16,477.39,17.64,-321.08,10.64,-508.3,10.64,-668.84,10.72,-1150.47,21.44
465.07,-855.43,13.45,498.15,18.12,-333.65,10.96,-521.79,10.75,-688.61,10.87,-1189.08,22.05
465.57,-882.75,13.75,520.13,18.64,-347.07,11.29,-535.68,10.86,-709.21,11.03,-1229.82,22.7
466.07,-911.46,14.07,543.49,19.2,-361.45,11.65,-550,10.98,-730.73,11.2,-1272.91,23.39
466.57,-941.7,14.43,568.41,19.81,-376.9,12.04,-564.8,11.1,-753.25,11.38,-1318.6,24.14
467.07,-973.63,14.8,595.06,20.46,-393.53,12.46,-580.1,11.24,-776.87,11.58,-1367.17,24.95
467.57,-1007.44,15.21,623.67,21.17,-411.49,12.9,-595.94,11.39,-801.69,11.79,-1418.93,25.81
468.07,-1043.31,15.66,654.49,21.94,-430.94,13.38,-612.37,11.54,-827.84,12.02,-1474.25,26.75
468.57,-1081.49,16.14,687.82,22.79,-452.06,13.91,-629.43,11.71,-855.46,12.27,-1533.55,27.76
469.07,-1122.24,16.66,724.01,23.71,-475.06,14.47,-647.17,11.88,-884.7,12.53,-1597.3,28.86
469.57,-1165.86,17.23,763.46,24.74,-500.22,15.08,-665.64,12.07,-915.75,12.82,-1666.07,30.05
470.07,-1212.72,17.86,806.65,25.87,-527.81,15.75,-684.91,12.27,-948.81,13.14,-1740.53,31.36
470.57,-1263.23,18.54,854.19,27.14,-558.21,16.48,-705.02,12.48,-984.13,13.49,-1821.45,32.78
471.1,-1321.34,19.34,910.12,28.65,-593.98,17.33,-727.36,12.72,-1024.35,13.89,-1915.31,34.46
471.6,-1381.08,20.18,969.04,30.28,-631.61,18.22,-749.47,12.96,-1065.28,14.31,-2012.69,36.2
472.1,-1446.36,21.12,1035.1,32.15,-673.67,19.21,-772.69,13.22,-1109.52,14.77,-2120.02,38.14
472.6,-1518.05,22.16,1109.75,34.32,-720.96,20.3,-797.1,13.5,-1157.57,15.29,-2239.01,40.31
473.1,-1597.27,23.34,1194.88,36.88,-774.46,21.54,-822.81,13.79,-1210.04,15.86,-2371.74,42.74
473.6,-1685.4,24.67,1293.04,39.95,-835.44,22.93,-849.96,14.11,-1267.68,16.51,-2520.83,45.49
474.1,-1784.17,26.19,1407.76,43.72,-905.49,24.51,-878.69,14.45,-1331.43,17.24,-2689.66,48.63
474.6,-1895.85,27.95,1544.17,48.48,-986.71,26.33,-909.14,14.81,-1402.5,18.08,-2882.56,52.24
475.1,-2023.4,29.99,1710.14,54.72,-1081.88,28.44,-941.51,15.2,-1482.45,19.05,-3105.28,56.44
475.6,-2170.78,32.39,1918.72,63.36,-1194.77,30.92,-976.01,15.63,-1573.39,20.19,-3365.54,61.37
476.1,-2343.46,35.27,2194.14,76.24,-1330.58,33.87,-1012.88,16.08,-1678.17,21.55,-3674.04,67.25
476.6,-2549.17,38.76,2589.83,97.89,-1496.78,37.44,-1052.4,16.58,-1800.79,23.2,-4045.95,74.39
477.1,-2799.25,43.09,3263.6,142.82,-1704.35,41.87,-1094.9,17.12,-1947.08,25.23,-4503.6,83.22
477.6,-3110.82,48.6,5083.48,295.83,-1970.04,47.48,-1140.78,17.73,-2125.8,27.84,-5080.86,94.44
478.1,-3513.26,55.84,-12072.93,1458.7,-2322.76,54.83,-1190.5,18.36,-2351.88,31.24,-5836.02,109.14
478.6,-4054.47,65.77,1020.46,204.13,-2809.84,64.88,-1244.63,19.05,-2649.55,35.94,-6864.31,129.26
479.1,-4825.54,80.23,2648.36,122.74,-3521.7,79.47,-1303.84,19.84,-3064.69,42.85,-8347.24,158.46
479.6,-6026.25,103.15,4054.64,111.36,-4657.27,102.53,-1368.98,20.73,-3697.62,53.91,-10683.52,204.64
480.1,-8179.96,144.95,6126.45,134.75,-6738.87,144.49,-1441.09,21.71,-4810.53,74.31,-14918.84,288.63
480.6,-13257.74,244.89,10670.82,215.74,-11736.24,244.6,-1521.49,22.83,-7389.61,123.65,-24993.98,488.96
480.7,-15243.33,284.19,12416.4,249.1,-13704.62,283.94,-1538.71,23.07,-8391.02,143.15,-28947.95,567.66
480.8,-17985.21,338.55,14816.32,295.59,-16428.88,338.34,-1556.34,23.32,-9770.77,170.18,-34414.09,676.49
480.9,-22020.28,418.67,18335.73,364.48,-20445.88,418.5,-1574.4,23.57,-11797.34,210.08,-42466.16,836.84
480.96,-25507.21,487.98,21370.32,424.23,-23921.77,487.83,-1585.44,23.73,-13546.33,244.64,-49428.98,975.52
480.99,-27721.76,532.02,23295.56,462.24,-26130.73,531.88,-1591.03,23.81,-14656.4,266.61,-53852.49,1063.64
481.02,-30374.95,584.8,25600.67,507.83,-28778.29,584.67,-1596.66,23.89,-15985.8,292.95,-59153.24,1169.23
481.05,-33611.66,649.21,28411.1,563.49,-32009.33,649.09,-1602.33,23.97,-17606.99,325.1,-65620.99,1298.08
481.08,-37648.47,729.55,31914.44,632.95,-36040.42,729.45,-1608.04,24.05,-19628.25,365.22,-73688.89,1458.81
481.11,-42824.27,832.6,36404.17,722.08,-41210.47,832.51,-1613.8,24.13,-22219.03,416.69,-84034.73,1664.93
481.14,-49700.83,969.53,42366.81,840.56,-48081.23,969.45,-1619.6,24.21,-25660.21,485.1,-97782.05,1938.83
481.17,-59282.03,1160.35,50671.74,1005.71,-57656.58,1160.29,-1625.44,24.3,-30453.74,580.46,-116938.61,2320.51
481.2,-73555.36,1444.67,63040.2,1251.83,-71924.03,1444.61,-1631.33,24.38,-37593.35,722.56,-145479.4,2889.18
481.23,-97087.42,1913.47,83426.95,1657.73,-95450.15,1913.43,-1637.27,24.47,-49362.34,956.91,-192537.56,3826.82
481.26,-143216.26,2832.53,123383.12,2453.56,-141573.01,2832.5,-1643.25,24.55,-72429.76,1416.38,-284789.27,5664.98
481.38,153356.92,3077.3,-133426.85,2664.88,155024.57,3077.27,-1667.65,24.9,75844.64,1538.76,308381.5,6154.52
481.41,100428.95,2022.77,-87582.3,1751.72,102102.82,2022.73,-1673.87,24.99,49377.54,1011.56,202531.77,4045.42
481.44,74520.1,1506.61,-65136.97,1304.8,76200.24,1506.56,-1680.14,25.08,36419.98,753.54,150720.34,3013.06
481.47,59147.02,1200.39,-51815.83,1039.7,60833.49,1200.32,-1686.47,25.17,28730.28,600.49,119980.51,2400.58
481.5,48968.41,997.67,-42993.18,864.23,50661.25,997.59,-1692.84,25.26,23637.79,499.19,99629.66,1995.1
481.53,41731.51,853.57,-36718.07,739.52,43430.78,853.48,-1699.26,25.36,20016.12,427.21,85162.29,1706.86
481.56,36321.69,745.87,-32025.19,646.35,38027.43,745.77,-1705.74,25.45,17307.97,373.42,74349.11,1491.43
481.59,32124.26,662.34,-28382.22,574.1,33836.53,662.22,-1712.27,25.54,15205.99,331.72,65960.8,1324.31
481.62,28772.49,595.65,-25471.53,516.44,30491.35,595.52,-1718.86,25.64,13526.81,298.44,59263.83,1190.9
481.65,26033.98,541.19,-23091.88,469.37,27759.48,541.05,-1725.5,25.74,12154.24,271.28,53793.46,1081.93
481.68,23754.36,495.87,-21109.55,430.22,25486.55,495.71,-1732.19,25.83,11011.08,248.69,49240.91,991.25
481.71,21827.04,457.57,-19432.24,397.15,23565.98,457.4,-1738.95,25.93,10044.04,229.61,45393.02,914.61
481.81,17111.92,363.98,-15320.85,316.44,18873.78,363.76,-1761.87,26.26,7675.02,183.04,35985.7,727.26
481.91,13996.87,302.27,-12594.02,263.4,15782.33,302.01,-1785.46,26.61,6105.71,152.44,29779.21,603.7
482.01,11783.55,258.55,-10646.74,225.98,13593.29,258.23,-1809.74,26.96,4986.9,130.83,25376.84,516.08
482.51,6265.75,150.68,-5686.34,136.4,8208.68,150.11,-1942.92,28.94,2161.42,78.35,14474.43,299.4
483.01,3958.68,107.18,-3418.73,109.07,6058.6,106.31,-2099.92,31.32,929.38,58.38,10017.28,211.18
483.51,2647.95,84.04,-1800.62,119.51,4936.54,82.86,-2288.59,34.25,179.68,49,7584.49,163.35
484.01,1762.04,70.1,239.66,217.03,4282.9,68.57,-2520.85,37.95,-379.41,44.74,6044.94,133.38
484.51,1080.28,61.29,48650.59,4971.84,3896.76,59.4,-2816.48,42.79,-868.1,43.72,4977.04,112.87
485.01,489.86,55.97,-3318.88,307.98,3697.82,53.73,-3207.97,49.4,-1359.06,45.44,4187.68,97.98
485.51,-90.37,53.7,-1118.84,183.52,3666.13,51.15,-3756.49,59,-1923.43,50.28,3575.76,86.71
486.01,-755.68,55.13,471.84,156.66,3838.79,52.43,-4594.47,74.19,-2675.07,59.87,3083.11,77.92
486.51,-1694.17,63.28,2606.45,167.1,4367.89,60.71,-6062.06,101.74,-3878.11,79.1,2673.72,70.9
487.01,-3535.99,90.34,7033.26,234.12,5859.96,88.37,-9395.95,166.4,-6465.97,126.38,2323.98,65.21
487.1,-4125.39,100.45,8496.8,260.24,6391.4,98.66,-10516.79,188.45,-7321.09,142.72,2266.01,64.3
487.2,-4985.75,115.83,10655.84,300.14,7188.9,114.25,-12174.65,221.2,-8580.2,167.06,2203.14,63.33
487.3,-6196.96,138.27,13725.44,358.48,8338.76,136.92,-14535.71,268.03,-10366.33,201.97,2141.8,62.39
487.39,-7817.73,169.14,17866.07,438.77,9905.55,168.01,-17723.28,331.48,-12770.5,249.37,2087.82,61.58
487.42,-8540.46,183.09,19720.2,475.07,10610.53,182.04,-19150.99,359.95,-13845.73,270.66,2070.07,61.32
487.45,-9397.53,199.74,21923.25,518.37,11449.96,198.77,-20847.49,393.8,-15122.51,295.99,2052.44,61.06
487.48,-10430.95,219.92,24584.41,570.88,12465.87,219.04,-22896.82,434.73,-16663.89,326.63,2034.92,60.8
487.51,-11702.33,244.88,27863.71,635.8,13719.85,244.09,-25422.18,485.21,-18562.25,364.42,2017.53,60.54
487.54,-13305.7,276.51,32005.49,718.03,15305.94,275.8,-28611.64,549,-20958.67,412.21,2000.24,60.29
487.57,-15392.19,317.82,37402.35,825.44,17375.25,317.2,-32767.44,632.17,-24079.81,474.52,1983.06,60.04
487.6,-18220.99,374.02,44727.71,971.53,20186.98,373.49,-38407.97,745.11,-28314.48,559.17,1966,59.79
487.63,-22277.09,454.83,55241.6,1181.58,24226.12,454.39,-46503.21,907.27,-34390.15,680.73,1949.04,59.55
487.66,-28585.55,580.82,71607.22,1508.99,30517.72,580.47,-59103.27,1159.77,-43844.41,870.04,1932.18,59.31
487.69,-39753.3,804.25,100597.57,2089.58,41668.72,804,-81422.03,1607.17,-60587.67,1205.53,1915.42,59.07
487.85,38159.25,760.89,-101956.36,1976.22,-36331.55,760.61,74490.8,1520.4,56325.02,1140.46,1827.69,57.84
487.88,28020.48,558.07,-75639.95,1449.18,-26208.94,557.69,54229.42,1114.28,41124.95,835.93,1811.54,57.62
487.91,22154.06,440.93,-60423.51,1144.72,-20358.59,440.45,42512.65,879.51,32333.36,659.91,1795.47,57.4
487.94,18327.59,364.69,-50507.09,946.53,-16548.1,364.11,34875.68,726.55,26601.64,545.25,1779.49,57.19
487.97,15633.26,311.16,-43532.16,807.32,-13869.67,310.46,29502.92,619,22568.09,464.65,1763.59,56.97
488,13632.34,271.52,-38358.87,704.23,-11884.57,270.72,25516.91,539.27,19574.62,404.9,1747.77,56.76
488.03,12086.86,241.02,-34368.94,624.86,-10354.83,240.11,22441.69,477.8,17264.28,358.85,1732.04,56.55
488.06,10856.58,216.83,-31198,561.91,-9140.2,215.82,19996.78,428.97,15426.68,322.29,1716.38,56.35
488.09,9853.45,197.2,-28617.33,510.78,-8152.65,196.07,18006.11,389.25,13929.78,292.56,1700.8,56.14
488.12,9019.45,180.96,-26476.16,468.46,-7334.16,179.72,16353.61,356.32,12686.53,267.92,1685.3,55.94
488.15,8314.76,167.3,-24671.04,432.86,-6644.9,165.96,14959.66,328.57,11637.21,247.16,1669.87,55.74
488.18,7711.15,155.68,-23128.64,402.52,-6056.64,154.22,13767.79,304.88,10739.47,229.45,1654.51,55.54
488.28,6201.13,126.96,-19292.33,327.51,-4597.31,125.12,10798.44,246.04,8499.79,185.51,1603.82,54.9
488.38,5173.34,107.89,-16710.09,277.55,-3619.49,105.67,8792.83,206.56,6983.09,156.08,1553.85,54.29
488.48,4424.69,94.39,-14854.32,242.07,-2920.13,91.78,7344.82,178.28,5884.75,135.06,1504.56,53.7
488.98,2450.35,62.03,-10192.65,156.08,-1184.08,57.42,3634.42,108.08,3042.39,83.31,1266.27,51.08
489.48,1527.26,50.41,-8305.64,124.16,-490.19,43.7,2017.45,80.63,1772.35,63.59,1037.07,48.99
489.98,936.1,45.39,-7337.71,109.53,-125.07,36.46,1061.17,67.32,998.64,54.44,811.04,47.41
490.48,483.94,43.43,-6805.03,102.8,98.24,32.07,385.7,60.69,434.82,50.28,582.18,46.32
490.98,93.48,43.31,-6530.29,100.65,250.38,29.22,-156.89,58,-31.7,49.06,343.86,45.77
491.48,-276.35,44.58,-6439.27,101.76,364.42,27.35,-640.77,58.06,-458.56,49.92,88.07,45.82
491.98,-654.39,47.15,-6503.83,105.68,458.71,26.21,-1113.1,60.4,-883.75,52.58,-195.68,46.61
492.48,-1067.65,51.16,-6723.97,112.5,545.47,25.73,-1613.11,64.98,-1340.38,57.05,-522.18,48.32
492.98,-1548.89,56.98,-7125.26,122.82,635.04,25.95,-2183.93,72.16,-1866.41,63.71,-913.86,51.33
493.48,-2146.6,65.38,-7767.96,137.88,739.26,27.05,-2885.86,82.79,-2516.23,73.36,-1407.34,56.2
493.98,-2944.32,77.8,-8774.96,160.18,876.22,29.43,-3820.54,98.68,-3382.43,87.63,-2068.1,64.04
494.48,-4108.72,97.3,-10408.78,194.93,1081.29,33.98,-5190.01,123.71,-4649.37,109.99,-3027.43,77.07
494.98,-6038.86,131.37,-13317.93,254.91,1442.35,42.87,-7481.21,167.49,-6760.03,148.98,-4596.51,100.7
495.48,-10012.29,204.51,-19619.99,381.61,2261,63.07,-12273.29,261.5,-11142.79,232.62,-7751.29,152.39
495.7,-13571.86,271.71,-25424.15,496.93,3059.33,81.96,-16631.19,347.91,-15101.52,309.45,-10512.53,200.12
495.9,-19634.03,388.09,-35480.77,696.05,4512.92,114.82,-24146.95,497.61,-21890.49,442.51,-15121.11,282.82
495.92,-20532.9,405.49,-36984.36,725.81,4735.9,119.74,-25268.8,519.99,-22900.85,462.41,-15797,295.19
495.96,-22591.82,445.45,-40437.6,794.19,5252.35,131.04,-27844.18,571.39,-25218,508.1,-17339.47,323.59
496,-25093.73,494.17,-44648.68,877.61,5889.25,144.83,-30982.98,634.07,-28038.36,563.81,-19204.48,358.22
496.04,-28201.15,554.9,-49897.72,981.66,6692.21,162.03,-34893.36,712.2,-31547.25,633.25,-21508.93,401.39
496.08,-32167.67,632.7,-56622.3,1115.09,7732.71,184.07,-39900.38,812.28,-36034.02,722.21,-24434.96,456.72
496.12,-37412.31,735.94,-65546.17,1292.36,9129.28,213.35,-46541.59,945.08,-41976.95,840.24,-28283.02,530.15
496.16,-44680.93,879.52,-77958.74,1539.25,11093.63,254.1,-55774.56,1129.78,-50227.75,1004.41,-33587.3,632.33
496.2,-55442.82,1092.83,-96401.89,1906.63,14043.81,314.72,-69486.63,1404.15,-62464.72,1248.28,-41399,784.24
496.24,-73049.9,1442.97,-126677.59,2510.62,18935.4,414.35,-91985.29,1854.47,-82517.6,1648.54,-54114.5,1033.75
496.28,-107177.74,2123.61,-185539.7,3686.66,28530.18,608.32,-135707.92,2729.77,-121442.83,2426.55,-78647.55,1519.18
496.32,-202071.14,4020.66,-349616.49,6969.08,55466.2,1149.69,-257537.34,5169.07,-229804.24,4594.78,-146604.94,2873.28
496.38,588932.86,11823.94,1020949.77,20480.76,-170847.38,3378.65,759780.25,15202.07,674356.56,13512.97,418085.48,8446.24
496.4,253604.12,5111.44,440339.55,8856.77,-75158.96,1461.36,328763.09,6571.49,291183.61,5841.38,178445.16,3652.44
496.42,161071.89,3260.87,280281.61,5654.12,-48850.33,933.27,209922.22,4191.94,185497.06,3726.27,112221.56,2331.57
496.44,117677.48,2394.44,205351.41,4156.25,-36591.57,686.46,154269.05,3077.66,135973.26,2735.85,81085.91,1713.81
496.46,92454.08,1892.08,161915.35,3289.24,-29536.36,543.79,121990.44,2431.44,107222.26,2161.49,62917.72,1356.27
496.48,75933.72,1564.26,133577.37,2724.77,-24981.13,451.12,100914.86,2009.56,88424.29,1786.54,50952.59,1123.61
496.5,64248.72,1333.54,113641.96,2328.8,-21822.7,386.35,86071.42,1712.47,75160.07,1522.54,42426.02,960.56
496.52,55523.65,1162.44,98865.03,2036.38,-19527.45,338.81,75051.1,1491.94,65287.38,1326.6,35996.19,840.39
496.54,48738.19,1030.58,87484.42,1812.25,-17806.55,302.71,66544.73,1321.75,57641.46,1175.44,30931.64,748.61
496.56,43288.79,925.93,78460.99,1635.62,-16490.79,274.67,59779.59,1186.44,51534.19,1055.29,26798,676.71
496.58,38794.75,840.97,71143.03,1493.45,-15475.41,252.59,54270.15,1076.28,46532.45,957.52,23319.34,619.42
496.6,35003,770.73,65101.8,1377.18,-14693.04,235.14,49696.04,984.85,42349.52,876.44,20309.96,573.32
496.62,31737.62,711.83,60044.68,1280.95,-14099.64,221.44,45837.26,907.75,38787.44,808.14,17637.98,536.16
496.64,28871.07,661.9,55766.23,1200.64,-13666.69,210.94,42537.76,841.86,35704.42,749.86,15204.39,506.45
496.66,26306.9,619.25,52119.47,1133.32,-13376.87,203.31,39683.78,784.9,32995.34,699.6,12930.03,483.27
496.68,23968.57,582.67,48998.38,1076.81,-13221.81,198.41,37190.38,735.17,30579.48,655.86,10746.75,466.13
496.7,21791.68,551.32,46327.28,1029.55,-13201.23,196.26,34992.92,691.37,28392.3,617.53,8590.45,454.91
496.72,19717.87,524.65,44054.51,990.39,-13323.39,197.07,33041.26,652.51,26379.56,583.78,6394.47,449.91
496.74,17688.99,502.41,42149.64,958.54,-13606.98,201.26,31295.96,617.79,24492.47,554,4082.01,451.88
496.76,15640.39,484.71,40603.82,933.5,-14085.14,209.55,29725.53,586.59,22682.96,527.77,1555.25,462.2
496.78,13491.1,472.09,39434.32,915.12,-14813.43,223.1,28304.53,558.39,20897.82,504.87,-1322.33,483.21
496.8,11126.9,465.88,38696.36,903.65,-15885.26,243.86,27012.16,532.79,19069.53,485.37,-4758.36,518.81
496.82,8366.85,468.82,38509.95,900.01,-17464.41,275.21,25831.26,509.44,17099.06,469.81,-9097.56,575.8
496.84,4887.8,486.66,39123.66,906.54,-19859.71,323.48,24747.51,488.05,14817.65,459.74,-14971.91,666.91
496.86,25.58,532.33,41085.48,929.22,-23723.28,402.02,23748.87,468.4,11887.23,459.33,-23697.7,818.91
496.88,-7874.1,639.48,45803.97,986.13,-30699.2,544.46,22825.11,450.27,7475.5,481.39,-38573.3,1099.09
496.9,-24476.22,924.67,58163.23,1153.56,-46443.69,866.45,21967.47,433.5,-1254.37,577.74,-70919.91,1738.85
496.92,-90722.71,2226.96,113599.53,2107.78,-111891.11,2205.1,21168.4,417.95,-34777.15,1162.5,-202613.82,4412.37
496.926,-185526.43,4150.7,195134.87,3695.52,-206465.52,4139.25,20939.09,413.5,-82293.67,2101.49,-391991.95,8279.64
496.929,-344073.29,7385.63,332158.92,6453.93,-364899.42,7379.28,20826.14,411.31,-161623.57,3707.42,-708972.71,14759.18
496.932,-1646486.74,34012.65,1459801.73,29468.57,-1667201.03,34011.28,20714.29,409.14,-812886.22,17009.47,-3313687.76,68022.7
496.94,209269.3,3955.95,-148072.11,3536.27,188848.01,3944.52,20421.29,403.47,114845.3,2004.08,398117.3,7890.16
496.95,96680.53,1675.3,-51485.11,1703.26,76615.15,1649.06,20065.38,396.61,58372.95,895.61,173295.68,3300.72
496.96,66779.77,1083.92,-26499.61,1307.32,47059.45,1044.29,19720.32,389.98,43250.04,625.18,113839.21,2092.56
496.97,52833.69,817.09,-15325.56,1168.24,33448.21,765.55,19385.49,383.57,36109.59,510.75,86281.9,1536.32
496.98,44699.65,667.45,-9181.96,1113.22,25639.37,605.41,19060.27,377.37,31879.96,449.79,70339.02,1217.22
496.99,39331.32,572.78,-5433.65,1094.47,20587.22,501.61,18744.1,371.36,29037.71,412.42,59918.54,1010.68
497,35496.29,508.02,-3016.55,1094.73,17059.87,428.96,18436.42,365.55,26966.35,387.11,52556.15,866.34
497.01,32600.75,461.16,-1419.98,1106.71,14464.06,375.32,18136.69,359.92,25368.72,368.63,47064.8,759.94
497.02,30323.22,425.76,-369.44,1127.04,12478.84,334.13,17844.38,354.47,24083.8,354.33,42802.05,678.37
497.03,28474.41,398.09,294.58,1154.14,10915.44,301.53,17558.97,349.18,23016.69,342.74,39389.85,613.9
497.04,26935.56,375.85,669.92,1187.33,9655.6,275.1,17279.96,344.05,22107.76,333.01,36591.16,561.71
497.05,25628.32,357.53,818.67,1226.45,8621.51,253.26,17006.82,339.07,21317.57,324.6,34249.83,518.62
497.06,24498.9,342.13,780.7,1271.71,7759.88,234.92,16739.02,334.24,20618.96,317.16,32258.78,482.45
497.07,23509.07,328.97,581.18,1323.56,7033.03,219.29,16476.04,329.55,19992.56,310.47,30542.1,451.68
497.08,22630.89,317.54,234.82,1382.74,6413.58,205.83,16217.31,325,19424.1,304.36,29044.47,425.18
497.09,21843.43,307.49,-251.74,1450.21,5881.21,194.12,15962.22,320.58,18902.83,298.73,27724.64,402.11
497.1,21130.66,298.55,-878.75,1527.28,5420.52,183.83,15710.14,316.29,18420.4,293.49,26551.18,381.86
497.11,20480.04,290.51,-1652.98,1615.63,5019.7,174.73,15460.33,312.12,17970.18,288.57,25499.74,363.93
497.12,19881.58,283.23,-2588.14,1717.43,4669.57,166.63,15212.01,308.06,17546.8,283.94,24551.16,347.94
497.13,19327.19,276.57,-3706.03,1835.55,4362.94,159.36,14964.25,304.13,17145.72,279.54,23690.13,333.58
497.14,18810.13,270.45,-5038.75,1973.76,4094.17,152.82,14715.96,300.32,16763.05,275.37,22904.3,320.63
497.15,18324.72,264.78,-6632.38,2137.21,3858.84,146.9,14465.87,296.62,16395.29,271.39,22183.56,308.86
497.16,17865.98,259.52,-8552.95,2332.97,3653.6,141.52,14212.38,293.04,16039.18,267.59,21519.58,298.13
497.17,17429.47,254.6,-10896.45,2571.14,3475.95,136.62,13953.51,289.57,15691.49,263.95,20905.42,288.3
497.18,17010.97,250,-13806.04,2866.54,3324.26,132.14,13686.71,286.24,15348.84,260.48,20335.24,279.26
