wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty,alpha(m=2),alpha(m=2)_uncertainty
428.759524,-572.82,288.52,670.86,250.01,-389.54,288.42,-183.28,8.94,-378.05,144.45,-962.35,576.87
428.759527,-577.61,292.47,675.35,253.43,-394.34,292.37,-183.28,8.94,-380.45,146.42,-971.95,584.77
428.75953,-582.55,296.53,679.97,256.94,-399.27,296.43,-183.28,8.93,-382.91,148.45,-981.81,592.89
428.759533,-587.62,300.71,684.71,260.55,-404.34,300.6,-183.28,8.93,-385.45,150.54,-991.96,601.24
428.759536,-592.83,305,689.59,264.27,-409.55,304.9,-183.28,8.93,-388.05,152.68,-1002.39,609.83
428.759539,-598.2,309.42,694.61,268.1,-414.92,309.32,-183.28,8.93,-390.74,154.89,-1013.12,618.67
428.759542,-603.72,313.96,699.77,272.03,-420.45,313.87,-183.28,8.93,-393.5,157.16,-1024.17,627.77
428.759545,-609.41,318.65,705.08,276.09,-426.13,318.55,-183.28,8.93,-396.35,159.5,-1035.55,637.13
428.759548,-615.27,323.47,710.55,280.27,-432,323.38,-183.28,8.93,-399.28,161.91,-1047.27,646.79
428.759551,-621.32,328.44,716.19,284.57,-438.04,328.35,-183.28,8.93,-402.3,164.39,-1059.36,656.74
428.759554,-627.55,333.57,721.99,289.01,-444.27,333.48,-183.28,8.93,-405.41,166.95,-1071.82,667
428.759557,-633.98,338.87,727.98,293.6,-450.7,338.78,-183.28,8.93,-408.63,169.6,-1084.67,677.58
428.75956,-640.61,344.33,734.16,298.33,-457.33,344.24,-183.28,8.93,-411.95,172.32,-1097.95,688.51
428.759563,-647.47,349.97,740.53,303.21,-464.19,349.88,-183.28,8.93,-415.37,175.14,-1111.65,699.8
428.759566,-654.55,355.8,747.12,308.26,-471.27,355.72,-183.28,8.93,-418.91,178.05,-1125.82,711.46
428.759569,-661.87,361.83,753.92,313.48,-478.59,361.74,-183.28,8.93,-422.57,181.07,-1140.46,723.52
428.759572,-669.45,368.06,760.95,318.88,-486.17,367.98,-183.28,8.93,-426.36,184.18,-1155.61,735.99
428.759575,-677.29,374.52,768.22,324.47,-494.01,374.44,-183.28,8.93,-430.28,187.41,-1171.3,748.9
428.759578,-685.41,381.2,775.75,330.26,-502.13,381.12,-183.28,8.93,-434.34,190.75,-1187.54,762.28
428.759581,-693.82,388.13,783.54,336.26,-510.55,388.05,-183.28,8.93,-438.55,194.21,-1204.37,776.14
428.759584,-702.55,395.32,791.62,342.48,-519.27,395.24,-183.28,8.93,-442.92,197.8,-1221.83,790.51
428.759587,-711.61,402.77,799.99,348.93,-528.33,402.7,-183.28,8.93,-447.44,201.52,-1239.94,805.42
428.75959,-721.02,410.52,808.69,355.64,-537.74,410.44,-183.28,8.93,-452.15,205.39,-1258.75,820.91
428.759593,-730.79,418.56,817.71,362.61,-547.51,418.49,-183.28,8.93,-457.03,209.41,-1278.3,837.01
428.759596,-740.96,426.93,827.09,369.85,-557.68,426.86,-183.28,8.93,-462.12,213.6,-1298.63,853.75
428.759599,-751.54,435.64,836.84,377.4,-568.26,435.58,-183.28,8.93,-467.41,217.95,-1319.79,871.17
428.759602,-762.56,444.72,846.99,385.25,-579.28,444.65,-183.28,8.93,-472.92,222.48,-1341.84,889.32
428.759605,-774.05,454.18,857.56,393.45,-590.77,454.11,-183.28,8.93,-478.66,227.21,-1364.82,908.25
428.759608,-786.04,464.05,868.58,401.99,-602.76,463.98,-183.28,8.93,-484.66,232.14,-1388.8,927.99
428.759611,-798.56,474.36,880.08,410.92,-615.28,474.3,-183.28,8.93,-490.92,237.3,-1413.84,948.62
428.759614,-811.65,485.14,892.1,420.26,-628.38,485.08,-183.28,8.93,-497.47,242.68,-1440.03,970.18
428.759617,-825.36,496.42,904.66,430.02,-642.08,496.36,-183.28,8.93,-504.32,248.32,-1467.43,992.74
428.75962,-839.71,508.24,917.8,440.26,-656.43,508.18,-183.28,8.93,-511.49,254.23,-1496.14,1016.38
