wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty,alpha(m=2),alpha(m=2)_uncertainty
515.57,-24881.59,2656.8,-41797.71,4604.1,7010.29,759.11,-31891.88,3415.89,-28386.74,3036.35,-17871.3,1897.74
515.6,-29938.32,3196.95,-50569.5,5539.51,8455.17,913.44,-38393.49,4110.37,-34165.9,3653.66,-21483.15,2283.56
515.63,-37574.18,4012.62,-63807.94,6952.15,10636.94,1146.48,-48211.12,5159.08,-42892.65,4585.85,-26937.24,2866.17
515.66,-50438,5386.77,-86100.98,9332.1,14312.41,1539.09,-64750.41,6925.84,-57594.21,6156.3,-36125.59,3847.7
515.69,-76693.96,8191.52,-131589.4,14189.95,21814.21,2340.44,-98508.17,10531.96,-87601.06,9361.74,-54879.75,5851.1
515.81,70869.92,7572.11,123955.95,13113.91,-20346.52,2163.47,91216.44,9735.57,81043.18,8653.84,50523.41,5408.65
515.84,47851.85,5113.24,84077.74,8855.11,-13769.83,1460.94,61621.68,6574.16,54736.76,5843.7,34082.02,3652.32
515.87,36119.96,3860.01,63748.12,6684.55,-10417.76,1102.88,46537.72,4962.87,41328.84,4411.44,25702.19,2757.16
515.9,29007.78,3100.29,51420.42,5368.75,-8385.62,885.82,37393.4,3986.08,33200.59,3543.18,20622.16,2214.51
515.93,24235.46,2590.52,43145.77,4485.89,-7022,740.17,31257.46,3330.66,27746.46,2960.59,17213.46,1850.39
515.96,20811.38,2224.77,37206.66,3852.48,-6043.59,635.68,26854.97,2860.42,23833.17,2542.6,14767.78,1589.15
515.99,18234.88,1949.57,32735.9,3375.89,-5307.36,557.05,23542.24,2506.59,20888.56,2228.08,12927.53,1392.58
516.02,16225.91,1735,29248.38,3004.3,-4733.27,495.75,20959.17,2230.71,18592.54,1982.85,11492.64,1239.31
516.05,14615.53,1563,26451.52,2706.46,-4273.06,446.61,18888.58,2009.57,16752.06,1786.29,10342.47,1116.46
516.08,13295.81,1422.05,24158.35,2462.4,-3895.9,406.35,17191.7,1828.35,15243.76,1625.21,9399.91,1015.79
516.11,12194.56,1304.45,22243.82,2258.75,-3581.16,372.75,15775.72,1677.14,13985.14,1490.8,8613.4,931.79
516.14,11261.67,1204.82,20621.13,2086.26,-3314.52,344.29,14576.19,1549.06,12918.93,1376.94,7947.14,860.63
516.24,8972.82,960.43,16635.39,1663.12,-2660.24,274.48,11633.06,1234.84,10302.94,1097.64,6312.58,686.08
516.34,7456.44,798.56,13989.77,1382.88,-2226.66,228.24,9683.1,1026.72,8569.77,912.64,5229.77,570.47
516.44,6377.81,683.45,12104.29,1183.63,-1918.16,195.37,8295.97,878.72,7336.89,781.09,4459.65,488.26
516.94,3695.95,397.56,7393.25,688.81,-1150.37,113.76,4846.32,511.14,4271.13,454.35,2545.58,284.1
517.44,2595.11,280.64,5450.12,486.51,-834.94,80.44,3430.05,360.83,3012.58,320.74,1760.17,200.65
517.45,2579.63,279,5422.82,483.68,-830.52,79.97,3410.16,358.73,2994.89,318.87,1749.11,199.48
517.46,2564.34,277.39,5395.84,480.88,-826.16,79.51,3390.49,356.65,2977.41,317.02,1738.18,198.33
517.47,2549.21,275.79,5369.17,478.11,-821.84,79.05,3371.06,354.59,2960.13,315.19,1727.37,197.19
517.48,2534.26,274.21,5342.81,475.38,-817.58,78.61,3351.84,352.56,2943.05,313.39,1716.68,196.06
517.49,2519.47,272.64,5316.76,472.67,-813.37,78.16,3332.85,350.55,2926.16,311.6,1706.1,194.94
517.5,2504.85,271.1,5291.01,470,-809.21,77.72,3314.07,348.56,2909.46,309.84,1695.64,193.84
517.51,2490.4,269.57,5265.56,467.36,-805.1,77.29,3295.5,346.6,2892.95,308.09,1685.3,192.75
517.52,2476.1,268.06,5240.4,464.74,-801.04,76.86,3277.13,344.66,2876.61,306.37,1675.06,191.67
517.53,2461.95,266.57,5215.53,462.16,-797.02,76.43,3258.97,342.74,2860.46,304.66,1664.93,190.61
517.54,2447.96,265.09,5190.95,459.61,-793.05,76.01,3241.02,340.84,2844.49,302.97,1654.91,189.55
517.55,2434.12,263.63,5166.65,457.08,-789.13,75.6,3223.26,338.96,2828.69,301.3,1644.99,188.51
517.56,2420.43,262.19,5142.63,454.58,-785.26,75.19,3205.69,337.11,2813.06,299.65,1635.18,187.48
517.57,2406.89,260.76,5118.9,452.11,-781.43,74.78,3188.31,335.27,2797.6,298.02,1625.46,186.46
517.58,2393.48,259.35,5095.46,449.67,-777.64,74.38,3171.12,333.45,2782.3,296.41,1615.84,185.46
517.59,2380.22,257.95,5072.3,447.26,-773.9,73.98,3154.12,331.66,2767.17,294.81,1606.31,184.46
517.6,2367.09,256.57,5049.44,444.87,-770.21,73.59,3137.3,329.88,2752.19,293.23,1596.88,183.47
517.61,2354.09,255.2,5026.9,442.5,-766.56,73.2,3120.65,328.12,2737.37,291.67,1587.54,182.5
517.62,2341.23,253.85,5004.72,440.17,-762.95,72.81,3104.18,326.39,2722.71,290.12,1578.28,181.53
517.63,2328.5,252.51,4982.97,437.86,-759.39,72.43,3087.89,324.67,2708.19,288.6,1569.1,180.58
517.64,2315.89,251.19,4961.82,435.58,-755.87,72.06,3071.76,322.96,2693.83,287.08,1560.01,179.63
517.65,2303.4,249.88,4941.82,433.33,-752.4,71.68,3055.8,321.28,2679.6,285.59,1551,178.7
517.66,2291.04,248.58,4925.43,431.14,-748.97,71.32,3040.01,319.61,2665.52,284.1,1542.06,177.78
