wavelength,alpha_0,alpha_0_uncertainty,alpha(m=0),alpha(m=0)_uncertainty
1138.991,233.87,1.18,233.87,1.18
1139.491,233.83,1.18,233.83,1.18
1139.991,233.79,1.18,233.79,1.18
1140.491,233.75,1.18,233.75,1.18
1140.991,233.71,1.18,233.71,1.18
1141.491,233.67,1.18,233.67,1.18
1141.991,233.64,1.18,233.64,1.18
1142.491,233.6,1.18,233.6,1.18
1142.991,233.56,1.18,233.56,1.18
1143.491,233.52,1.18,233.52,1.18
1143.991,233.48,1.18,233.48,1.18
1144.491,233.45,1.18,233.45,1.18
1144.991,233.41,1.18,233.41,1.18
1145.491,233.37,1.18,233.37,1.18
1145.991,233.33,1.18,233.33,1.18
1146.491,233.3,1.18,233.3,1.18
1146.991,233.26,1.18,233.26,1.18
1147.491,233.22,1.18,233.22,1.18
1147.991,233.18,1.18,233.18,1.18
1148.491,233.15,1.18,233.15,1.18
1148.991,233.11,1.18,233.11,1.18
1149.491,233.07,1.18,233.07,1.18
1149.991,233.03,1.18,233.03,1.18
1150.491,233,1.18,233,1.18
1150.991,232.96,1.17,232.96,1.17
1151.491,232.92,1.17,232.92,1.17
1151.991,232.89,1.17,232.89,1.17
1152.491,232.85,1.17,232.85,1.17
1152.991,232.81,1.17,232.81,1.17
1153.491,232.77,1.17,232.77,1.17
1153.991,232.74,1.17,232.74,1.17
1154.491,232.7,1.17,232.7,1.17
1154.991,232.66,1.17,232.66,1.17
1155.491,232.63,1.17,232.63,1.17
1155.991,232.59,1.17,232.59,1.17
1156.491,232.56,1.17,232.56,1.17
1156.991,232.52,1.17,232.52,1.17
1157.491,232.48,1.17,232.48,1.17
1157.991,232.45,1.17,232.45,1.17
1158.491,232.41,1.17,232.41,1.17
1158.991,232.37,1.17,232.37,1.17
1159.491,232.34,1.17,232.34,1.17
1159.991,232.3,1.17,232.3,1.17
1160.491,232.27,1.17,232.27,1.17
1160.991,232.23,1.17,232.23,1.17
1161.491,232.19,1.17,232.19,1.17
1161.991,232.16,1.17,232.16,1.17
1162.491,232.12,1.17,232.12,1.17
1162.991,232.09,1.17,232.09,1.17
1163.491,232.05,1.17,232.05,1.17
1163.991,232.02,1.17,232.02,1.17
1164.491,231.98,1.17,231.98,1.17
1164.991,231.94,1.17,231.94,1.17
1165.491,231.91,1.17,231.91,1.17
1165.991,231.87,1.17,231.87,1.17
1166.491,231.84,1.17,231.84,1.17
1166.991,231.8,1.17,231.8,1.17
1167.491,231.77,1.17,231.77,1.17
1167.991,231.73,1.17,231.73,1.17
1168.491,231.7,1.17,231.7,1.17
1168.991,231.66,1.17,231.66,1.17
1169.491,231.63,1.17,231.63,1.17
1169.991,231.59,1.17,231.59,1.17
1170.491,231.56,1.17,231.56,1.17
1170.991,231.52,1.17,231.52,1.17
1171.491,231.49,1.17,231.49,1.17
1171.991,231.45,1.17,231.45,1.17
1172.491,231.42,1.17,231.42,1.17
1172.991,231.38,1.17,231.38,1.17
1173.491,231.35,1.17,231.35,1.17
1173.991,231.32,1.17,231.32,1.17
1174.491,231.28,1.17,231.28,1.17
1174.991,231.25,1.17,231.25,1.17
1175.491,231.21,1.17,231.21,1.17
1175.991,231.18,1.17,231.18,1.17
1176.491,231.14,1.17,231.14,1.17
1176.991,231.11,1.17,231.11,1.17
1177.491,231.08,1.17,231.08,1.17
1177.991,231.04,1.17,231.04,1.17
1178.491,231.01,1.17,231.01,1.17
1178.991,230.97,1.17,230.97,1.17
1179.491,230.94,1.17,230.94,1.17
1179.991,230.91,1.17,230.91,1.17
1180.491,230.87,1.17,230.87,1.17
1180.991,230.84,1.17,230.84,1.17
1181.491,230.81,1.17,230.81,1.17
1181.991,230.77,1.17,230.77,1.17
1182.491,230.74,1.17,230.74,1.17
1182.991,230.7,1.17,230.7,1.17
1183.491,230.67,1.17,230.67,1.17
1183.991,230.64,1.17,230.64,1.17
1184.491,230.6,1.17,230.6,1.17
1184.991,230.57,1.17,230.57,1.17
1185.491,230.54,1.16,230.54,1.16
1185.991,230.51,1.16,230.51,1.16
1186.491,230.47,1.16,230.47,1.16
1186.991,230.44,1.16,230.44,1.16
1187.491,230.41,1.16,230.41,1.16
1187.991,230.37,1.16,230.37,1.16
1188.491,230.34,1.16,230.34,1.16
1188.991,230.31,1.16,230.31,1.16
1189.491,230.27,1.16,230.27,1.16
1189.991,230.24,1.16,230.24,1.16
1190.491,230.21,1.16,230.21,1.16
1190.991,230.18,1.16,230.18,1.16
1191.491,230.14,1.16,230.14,1.16
1191.991,230.11,1.16,230.11,1.16
1192.491,230.08,1.16,230.08,1.16
1192.991,230.05,1.16,230.05,1.16
1193.491,230.01,1.16,230.01,1.16
1193.991,229.98,1.16,229.98,1.16
1194.491,229.95,1.16,229.95,1.16
1194.991,229.92,1.16,229.92,1.16
1195.491,229.88,1.16,229.88,1.16
1195.991,229.85,1.16,229.85,1.16
1196.491,229.82,1.16,229.82,1.16
1196.991,229.79,1.16,229.79,1.16
1197.491,229.76,1.16,229.76,1.16
1197.991,229.72,1.16,229.72,1.16
1198.491,229.69,1.16,229.69,1.16
1198.991,229.66,1.16,229.66,1.16
1199.491,229.63,1.16,229.63,1.16
1199.991,229.6,1.16,229.6,1.16
1200.491,229.57,1.16,229.57,1.16
1200.991,229.53,1.16,229.53,1.16
1201.491,229.5,1.16,229.5,1.16
1201.991,229.47,1.16,229.47,1.16
1202.491,229.44,1.16,229.44,1.16
1202.991,229.41,1.16,229.41,1.16
1203.491,229.38,1.16,229.38,1.16
1203.991,229.34,1.16,229.34,1.16
1204.491,229.31,1.16,229.31,1.16
1204.991,229.28,1.16,229.28,1.16
1205.491,229.25,1.16,229.25,1.16
1205.991,229.22,1.16,229.22,1.16
1206.491,229.19,1.16,229.19,1.16
1206.991,229.16,1.16,229.16,1.16
1207.491,229.13,1.16,229.13,1.16
1207.991,229.1,1.16,229.1,1.16
1208.491,229.06,1.16,229.06,1.16
1208.991,229.03,1.16,229.03,1.16
1209.491,229,1.16,229,1.16
1209.991,228.97,1.16,228.97,1.16
1210.491,228.94,1.16,228.94,1.16
1210.991,228.91,1.16,228.91,1.16
1211.491,228.88,1.16,228.88,1.16
1211.991,228.85,1.16,228.85,1.16
1212.491,228.82,1.16,228.82,1.16
1212.991,228.79,1.16,228.79,1.16
1213.491,228.76,1.16,228.76,1.16
1213.991,228.73,1.16,228.73,1.16
1214.491,228.7,1.16,228.7,1.16
1214.991,228.67,1.16,228.67,1.16
1215.491,228.64,1.16,228.64,1.16
1215.991,228.61,1.16,228.61,1.16
1216.491,228.58,1.16,228.58,1.16
1216.991,228.55,1.16,228.55,1.16
1217.491,228.52,1.16,228.52,1.16
1217.991,228.49,1.16,228.49,1.16
1218.491,228.46,1.16,228.46,1.16
1218.991,228.43,1.16,228.43,1.16
1219.491,228.4,1.16,228.4,1.16
1219.991,228.37,1.16,228.37,1.16
1220.491,228.34,1.16,228.34,1.16
1220.991,228.31,1.16,228.31,1.16
1221.491,228.28,1.16,228.28,1.16
1221.991,228.25,1.16,228.25,1.16
1222.491,228.22,1.16,228.22,1.16
1222.991,228.19,1.16,228.19,1.16
1223.491,228.16,1.16,228.16,1.16
1223.991,228.13,1.15,228.13,1.15
1224.491,228.1,1.15,228.1,1.15
1224.991,228.07,1.15,228.07,1.15
1225.491,228.04,1.15,228.04,1.15
1225.991,228.01,1.15,228.01,1.15
1226.491,227.98,1.15,227.98,1.15
1226.991,227.95,1.15,227.95,1.15
1227.491,227.92,1.15,227.92,1.15
1227.991,227.89,1.15,227.89,1.15
1228.491,227.86,1.15,227.86,1.15
1228.991,227.84,1.15,227.84,1.15
1229.491,227.81,1.15,227.81,1.15
1229.991,227.78,1.15,227.78,1.15
1230.491,227.75,1.15,227.75,1.15
1230.991,227.72,1.15,227.72,1.15
1231.491,227.69,1.15,227.69,1.15
1231.991,227.66,1.15,227.66,1.15
1232.491,227.63,1.15,227.63,1.15
1232.991,227.6,1.15,227.6,1.15
1233.491,227.58,1.15,227.58,1.15
1233.991,227.55,1.15,227.55,1.15
1234.491,227.52,1.15,227.52,1.15
1234.991,227.49,1.15,227.49,1.15
1235.491,227.46,1.15,227.46,1.15
1235.991,227.43,1.15,227.43,1.15
1236.491,227.4,1.15,227.4,1.15
1236.991,227.38,1.15,227.38,1.15
1237.491,227.35,1.15,227.35,1.15
1237.991,227.32,1.15,227.32,1.15
1238.491,227.29,1.15,227.29,1.15
1238.991,227.26,1.15,227.26,1.15
1239.491,227.23,1.15,227.23,1.15
1239.991,227.21,1.15,227.21,1.15
1240.491,227.18,1.15,227.18,1.15
1240.991,227.15,1.15,227.15,1.15
1241.491,227.12,1.15,227.12,1.15
1241.991,227.09,1.15,227.09,1.15
1242.491,227.07,1.15,227.07,1.15
1242.991,227.04,1.15,227.04,1.15
1243.491,227.01,1.15,227.01,1.15
1243.991,226.98,1.15,226.98,1.15
1244.491,226.95,1.15,226.95,1.15
1244.991,226.93,1.15,226.93,1.15
1245.491,226.9,1.15,226.9,1.15
1245.991,226.87,1.15,226.87,1.15
1246.491,226.84,1.15,226.84,1.15
1246.991,226.82,1.15,226.82,1.15
1247.491,226.79,1.15,226.79,1.15
1247.991,226.76,1.15,226.76,1.15
1248.491,226.73,1.15,226.73,1.15
1248.991,226.71,1.15,226.71,1.15
1249.491,226.68,1.15,226.68,1.15
1249.991,226.65,1.15,226.65,1.15
1250.491,226.62,1.15,226.62,1.15
1250.991,226.6,1.15,226.6,1.15
1251.491,226.57,1.15,226.57,1.15
1251.991,226.54,1.15,226.54,1.15
1252.491,226.52,1.15,226.52,1.15
1252.991,226.49,1.15,226.49,1.15
1253.491,226.46,1.15,226.46,1.15
1253.991,226.43,1.15,226.43,1.15
1254.491,226.41,1.15,226.41,1.15
1254.991,226.38,1.15,226.38,1.15
1255.491,226.35,1.15,226.35,1.15
1255.991,226.33,1.15,226.33,1.15
1256.491,226.3,1.15,226.3,1.15
1256.991,226.27,1.15,226.27,1.15
1257.491,226.25,1.15,226.25,1.15
1257.991,226.22,1.15,226.22,1.15
1258.491,226.19,1.15,226.19,1.15
1258.991,226.17,1.15,226.17,1.15
1259.491,226.14,1.15,226.14,1.15
1259.991,226.11,1.15,226.11,1.15
1260.491,226.09,1.15,226.09,1.15
1260.991,226.06,1.15,226.06,1.15
1261.491,226.03,1.15,226.03,1.15
1261.991,226.01,1.15,226.01,1.15
1262.491,225.98,1.15,225.98,1.15
1262.991,225.95,1.15,225.95,1.15
1263.491,225.93,1.15,225.93,1.15
1263.991,225.9,1.15,225.9,1.15
1264.491,225.88,1.15,225.88,1.15
1264.991,225.85,1.15,225.85,1.15
1265.491,225.82,1.15,225.82,1.15
1265.991,225.8,1.15,225.8,1.15
1266.491,225.77,1.15,225.77,1.15
1266.991,225.74,1.15,225.74,1.15
1267.491,225.72,1.14,225.72,1.14
1267.991,225.69,1.14,225.69,1.14
1268.491,225.67,1.14,225.67,1.14
1268.991,225.64,1.14,225.64,1.14
1269.491,225.62,1.14,225.62,1.14
1269.991,225.59,1.14,225.59,1.14
1270.491,225.56,1.14,225.56,1.14
1270.991,225.54,1.14,225.54,1.14
1271.491,225.51,1.14,225.51,1.14
1271.991,225.49,1.14,225.49,1.14
1272.491,225.46,1.14,225.46,1.14
1272.991,225.44,1.14,225.44,1.14
1273.491,225.41,1.14,225.41,1.14
1273.991,225.38,1.14,225.38,1.14
1274.491,225.36,1.14,225.36,1.14
1274.991,225.33,1.14,225.33,1.14
1275.491,225.31,1.14,225.31,1.14
1275.991,225.28,1.14,225.28,1.14
1276.491,225.26,1.14,225.26,1.14
1276.991,225.23,1.14,225.23,1.14
1277.491,225.21,1.14,225.21,1.14
1277.991,225.18,1.14,225.18,1.14
1278.491,225.16,1.14,225.16,1.14
1278.991,225.13,1.14,225.13,1.14
1279.491,225.11,1.14,225.11,1.14
1279.991,225.08,1.14,225.08,1.14
1280.491,225.06,1.14,225.06,1.14
1280.991,225.03,1.14,225.03,1.14
1281.491,225.01,1.14,225.01,1.14
1281.991,224.98,1.14,224.98,1.14
1282.491,224.96,1.14,224.96,1.14
1282.991,224.93,1.14,224.93,1.14
1283.491,224.91,1.14,224.91,1.14
1283.991,224.88,1.14,224.88,1.14
1284.491,224.86,1.14,224.86,1.14
1284.991,224.83,1.14,224.83,1.14
1285.491,224.81,1.14,224.81,1.14
1285.991,224.78,1.14,224.78,1.14
1286.491,224.76,1.14,224.76,1.14
1286.991,224.73,1.14,224.73,1.14
1287.491,224.71,1.14,224.71,1.14
1287.991,224.68,1.14,224.68,1.14
1288.491,224.66,1.14,224.66,1.14
1288.991,224.63,1.14,224.63,1.14
1289.491,224.61,1.14,224.61,1.14
1289.991,224.59,1.14,224.59,1.14
1290.491,224.56,1.14,224.56,1.14
1290.991,224.54,1.14,224.54,1.14
1291.491,224.51,1.14,224.51,1.14
1291.991,224.49,1.14,224.49,1.14
1292.491,224.46,1.14,224.46,1.14
1292.991,224.44,1.14,224.44,1.14
1293.491,224.42,1.14,224.42,1.14
1293.991,224.39,1.14,224.39,1.14
1294.491,224.37,1.14,224.37,1.14
1294.991,224.34,1.14,224.34,1.14
1295.491,224.32,1.14,224.32,1.14
1295.991,224.3,1.14,224.3,1.14
1296.491,224.27,1.14,224.27,1.14
1296.991,224.25,1.14,224.25,1.14
1297.491,224.22,1.14,224.22,1.14
1297.991,224.2,1.14,224.2,1.14
1298.491,224.18,1.14,224.18,1.14
1298.991,224.15,1.14,224.15,1.14
1299.491,224.13,1.14,224.13,1.14
1299.991,224.1,1.14,224.1,1.14
1300.491,224.08,1.14,224.08,1.14
1300.991,224.06,1.14,224.06,1.14
1301.491,224.03,1.14,224.03,1.14
1301.991,224.01,1.14,224.01,1.14
1302.491,223.99,1.14,223.99,1.14
1302.991,223.96,1.14,223.96,1.14
1303.491,223.94,1.14,223.94,1.14
1303.991,223.92,1.14,223.92,1.14
1304.491,223.89,1.14,223.89,1.14
1304.991,223.87,1.14,223.87,1.14
1305.491,223.85,1.14,223.85,1.14
1305.991,223.82,1.14,223.82,1.14
1306.491,223.8,1.14,223.8,1.14
1306.991,223.78,1.14,223.78,1.14
1307.491,223.75,1.14,223.75,1.14
1307.991,223.73,1.14,223.73,1.14
1308.491,223.71,1.14,223.71,1.14
1308.991,223.68,1.14,223.68,1.14
1309.491,223.66,1.14,223.66,1.14
1309.991,223.64,1.14,223.64,1.14
1310.491,223.61,1.14,223.61,1.14
1310.991,223.59,1.14,223.59,1.14
1311.491,223.57,1.14,223.57,1.14
1311.991,223.54,1.14,223.54,1.14
1312.491,223.52,1.14,223.52,1.14
1312.991,223.5,1.14,223.5,1.14
1313.491,223.48,1.14,223.48,1.14
1313.991,223.45,1.14,223.45,1.14
1314.491,223.43,1.14,223.43,1.14
1314.991,223.41,1.14,223.41,1.14
1315.491,223.38,1.14,223.38,1.14
1315.991,223.36,1.14,223.36,1.14
1316.491,223.34,1.14,223.34,1.14
1316.991,223.32,1.14,223.32,1.14
1317.491,223.29,1.13,223.29,1.13
1317.991,223.27,1.13,223.27,1.13
1318.491,223.25,1.13,223.25,1.13
1318.991,223.23,1.13,223.23,1.13
1319.491,223.2,1.13,223.2,1.13
1319.991,223.18,1.13,223.18,1.13
1320.491,223.16,1.13,223.16,1.13
1320.991,223.14,1.13,223.14,1.13
1321.491,223.11,1.13,223.11,1.13
1321.991,223.09,1.13,223.09,1.13
1322.491,223.07,1.13,223.07,1.13
1322.991,223.05,1.13,223.05,1.13
1323.491,223.02,1.13,223.02,1.13
1323.991,223,1.13,223,1.13
1324.491,222.98,1.13,222.98,1.13
1324.991,222.96,1.13,222.96,1.13
1325.491,222.94,1.13,222.94,1.13
1325.991,222.91,1.13,222.91,1.13
1326.491,222.89,1.13,222.89,1.13
1326.991,222.87,1.13,222.87,1.13
1327.491,222.85,1.13,222.85,1.13
1327.991,222.83,1.13,222.83,1.13
1328.491,222.8,1.13,222.8,1.13
1328.991,222.78,1.13,222.78,1.13
1329.491,222.76,1.13,222.76,1.13
1329.991,222.74,1.13,222.74,1.13
1330.491,222.72,1.13,222.72,1.13
1330.991,222.69,1.13,222.69,1.13
1331.491,222.67,1.13,222.67,1.13
1331.991,222.65,1.13,222.65,1.13
1332.491,222.63,1.13,222.63,1.13
1332.991,222.61,1.13,222.61,1.13
1333.491,222.59,1.13,222.59,1.13
1333.991,222.56,1.13,222.56,1.13
1334.491,222.54,1.13,222.54,1.13
1334.991,222.52,1.13,222.52,1.13
1335.491,222.5,1.13,222.5,1.13
1335.991,222.48,1.13,222.48,1.13
1336.491,222.46,1.13,222.46,1.13
1336.991,222.43,1.13,222.43,1.13
1337.491,222.41,1.13,222.41,1.13
1337.991,222.39,1.13,222.39,1.13
1338.491,222.37,1.13,222.37,1.13
1338.991,222.35,1.13,222.35,1.13
1339.491,222.33,1.13,222.33,1.13
1339.991,222.31,1.13,222.31,1.13
1340.491,222.28,1.13,222.28,1.13
1340.991,222.26,1.13,222.26,1.13
1341.491,222.24,1.13,222.24,1.13
1341.991,222.22,1.13,222.22,1.13
1342.491,222.2,1.13,222.2,1.13
1342.991,222.18,1.13,222.18,1.13
1343.491,222.16,1.13,222.16,1.13
1343.991,222.14,1.13,222.14,1.13
1344.7,222.11,1.13,222.11,1.13
1345.2,222.09,1.13,222.09,1.13
1345.7,222.06,1.13,222.06,1.13
1346.2,222.04,1.13,222.04,1.13
1346.7,222.02,1.13,222.02,1.13
1347.2,222,1.13,222,1.13
1347.7,221.98,1.13,221.98,1.13
1348.2,221.96,1.13,221.96,1.13
1348.7,221.94,1.13,221.94,1.13
1349.2,221.92,1.13,221.92,1.13
1349.7,221.9,1.13,221.9,1.13
1350.2,221.88,1.13,221.88,1.13
1350.7,221.86,1.13,221.86,1.13
1351.2,221.84,1.13,221.84,1.13
1351.7,221.81,1.13,221.81,1.13
1352.2,221.79,1.13,221.79,1.13
1352.7,221.77,1.13,221.77,1.13
1353.2,221.75,1.13,221.75,1.13
1353.7,221.73,1.13,221.73,1.13
1354.2,221.71,1.13,221.71,1.13
1354.7,221.69,1.13,221.69,1.13
1355.2,221.67,1.13,221.67,1.13
1355.7,221.65,1.13,221.65,1.13
1356.2,221.63,1.13,221.63,1.13
1356.7,221.61,1.13,221.61,1.13
1357.2,221.59,1.13,221.59,1.13
1357.7,221.57,1.13,221.57,1.13
1358.2,221.55,1.13,221.55,1.13
1358.7,221.53,1.13,221.53,1.13
1359.2,221.51,1.13,221.51,1.13
1359.7,221.49,1.13,221.49,1.13
1360.2,221.47,1.13,221.47,1.13
1360.7,221.45,1.13,221.45,1.13
1361.2,221.43,1.13,221.43,1.13
1361.7,221.41,1.13,221.41,1.13
1362.2,221.39,1.13,221.39,1.13
1362.7,221.37,1.13,221.37,1.13
1363.2,221.35,1.13,221.35,1.13
1363.7,221.33,1.13,221.33,1.13
1364.2,221.31,1.13,221.31,1.13
1364.7,221.29,1.13,221.29,1.13
1365.2,221.27,1.13,221.27,1.13
1365.7,221.25,1.13,221.25,1.13
1366.2,221.23,1.13,221.23,1.13
1366.7,221.21,1.13,221.21,1.13
1367.2,221.19,1.13,221.19,1.13
1367.7,221.17,1.13,221.17,1.13
1368.2,221.15,1.13,221.15,1.13
1368.7,221.13,1.13,221.13,1.13
1369.2,221.11,1.13,221.11,1.13
1369.7,221.09,1.13,221.09,1.13
1370.2,221.07,1.13,221.07,1.13
1370.7,221.05,1.13,221.05,1.13
1371.2,221.03,1.13,221.03,1.13
1371.7,221.01,1.13,221.01,1.13
1372.2,220.99,1.13,220.99,1.13
1372.7,220.97,1.13,220.97,1.13
1373.2,220.95,1.13,220.95,1.13
1373.7,220.93,1.13,220.93,1.13
1374.2,220.91,1.13,220.91,1.13
1374.7,220.89,1.12,220.89,1.12
1375.2,220.87,1.12,220.87,1.12
1375.7,220.85,1.12,220.85,1.12
1376.2,220.83,1.12,220.83,1.12
1376.7,220.81,1.12,220.81,1.12
1377.2,220.8,1.12,220.8,1.12
1377.7,220.78,1.12,220.78,1.12
1378.2,220.76,1.12,220.76,1.12
1378.7,220.74,1.12,220.74,1.12
1379.2,220.72,1.12,220.72,1.12
1379.7,220.7,1.12,220.7,1.12
1380.2,220.68,1.12,220.68,1.12
1380.7,220.66,1.12,220.66,1.12
1381.2,220.64,1.12,220.64,1.12
1381.7,220.62,1.12,220.62,1.12
1382.2,220.6,1.12,220.6,1.12
1382.7,220.58,1.12,220.58,1.12
1383.2,220.56,1.12,220.56,1.12
1383.7,220.55,1.12,220.55,1.12
1384.2,220.53,1.12,220.53,1.12
1384.7,220.51,1.12,220.51,1.12
1385.2,220.49,1.12,220.49,1.12
1385.7,220.47,1.12,220.47,1.12
1386.2,220.45,1.12,220.45,1.12
1386.7,220.43,1.12,220.43,1.12
1387.2,220.41,1.12,220.41,1.12
1387.7,220.39,1.12,220.39,1.12
1388.2,220.38,1.12,220.38,1.12
1388.7,220.36,1.12,220.36,1.12
1389.2,220.34,1.12,220.34,1.12
1389.7,220.32,1.12,220.32,1.12
1390.2,220.3,1.12,220.3,1.12
1390.7,220.28,1.12,220.28,1.12
1391.2,220.26,1.12,220.26,1.12
1391.7,220.24,1.12,220.24,1.12
1392.2,220.23,1.12,220.23,1.12
1392.7,220.21,1.12,220.21,1.12
1393.2,220.19,1.12,220.19,1.12
1393.7,220.17,1.12,220.17,1.12
1394.2,220.15,1.12,220.15,1.12
1394.7,220.13,1.12,220.13,1.12
1395.2,220.11,1.12,220.11,1.12
1395.7,220.1,1.12,220.1,1.12
1396.2,220.08,1.12,220.08,1.12
1396.7,220.06,1.12,220.06,1.12
1397.2,220.04,1.12,220.04,1.12
1397.7,220.02,1.12,220.02,1.12
1398.2,220,1.12,220,1.12
1398.7,219.99,1.12,219.99,1.12
1399.2,219.97,1.12,219.97,1.12
1399.7,219.95,1.12,219.95,1.12
1400.2,219.93,1.12,219.93,1.12
1400.7,219.91,1.12,219.91,1.12
1401.2,219.89,1.12,219.89,1.12
1401.7,219.88,1.12,219.88,1.12
1402.2,219.86,1.12,219.86,1.12
1402.7,219.84,1.12,219.84,1.12
1403.2,219.82,1.12,219.82,1.12
1403.7,219.8,1.12,219.8,1.12
1404.2,219.79,1.12,219.79,1.12
1404.7,219.77,1.12,219.77,1.12
1405.2,219.75,1.12,219.75,1.12
1405.7,219.73,1.12,219.73,1.12
1406.2,219.71,1.12,219.71,1.12
1406.7,219.7,1.12,219.7,1.12
1407.2,219.68,1.12,219.68,1.12
1407.7,219.66,1.12,219.66,1.12
1408.2,219.64,1.12,219.64,1.12
1408.7,219.62,1.12,219.62,1.12
1409.2,219.61,1.12,219.61,1.12
1409.7,219.59,1.12,219.59,1.12
1410.2,219.57,1.12,219.57,1.12
1410.7,219.55,1.12,219.55,1.12
1411.2,219.53,1.12,219.53,1.12
1411.7,219.52,1.12,219.52,1.12
1412.2,219.5,1.12,219.5,1.12
1412.7,219.48,1.12,219.48,1.12
1413.2,219.46,1.12,219.46,1.12
1413.7,219.45,1.12,219.45,1.12
1414.2,219.43,1.12,219.43,1.12
1414.7,219.41,1.12,219.41,1.12
1415.2,219.39,1.12,219.39,1.12
1415.7,219.38,1.12,219.38,1.12
1416.2,219.36,1.12,219.36,1.12
1416.7,219.34,1.12,219.34,1.12
1417.2,219.32,1.12,219.32,1.12
1417.7,219.31,1.12,219.31,1.12
1418.2,219.29,1.12,219.29,1.12
1418.7,219.27,1.12,219.27,1.12
1419.2,219.25,1.12,219.25,1.12
1419.7,219.24,1.12,219.24,1.12
1420.2,219.22,1.12,219.22,1.12
1420.7,219.2,1.12,219.2,1.12
1421.2,219.18,1.12,219.18,1.12
1421.7,219.17,1.12,219.17,1.12
1422.2,219.15,1.12,219.15,1.12
1422.7,219.13,1.12,219.13,1.12
1423.2,219.11,1.12,219.11,1.12
1423.7,219.1,1.12,219.1,1.12
1424.2,219.08,1.12,219.08,1.12
1424.7,219.06,1.12,219.06,1.12
1425.2,219.05,1.12,219.05,1.12
1425.7,219.03,1.12,219.03,1.12
1426.2,219.01,1.12,219.01,1.12
1426.7,218.99,1.12,218.99,1.12
1427.2,218.98,1.12,218.98,1.12
1427.7,218.96,1.12,218.96,1.12
1428.2,218.94,1.12,218.94,1.12
1428.7,218.93,1.12,218.93,1.12
1429.2,218.91,1.12,218.91,1.12
1429.7,218.89,1.12,218.89,1.12
1430.2,218.88,1.12,218.88,1.12
1430.7,218.86,1.12,218.86,1.12
1431.2,218.84,1.12,218.84,1.12
1431.7,218.82,1.12,218.82,1.12
1432.2,218.81,1.12,218.81,1.12
1432.7,218.79,1.12,218.79,1.12
1433.2,218.77,1.12,218.77,1.12
1433.7,218.76,1.12,218.76,1.12
1434.2,218.74,1.12,218.74,1.12
1434.7,218.72,1.12,218.72,1.12
1435.2,218.71,1.12,218.71,1.12
1435.7,218.69,1.12,218.69,1.12
1436.2,218.67,1.12,218.67,1.12
1436.7,218.66,1.12,218.66,1.12
1437.2,218.64,1.12,218.64,1.12
1437.7,218.62,1.12,218.62,1.12
1438.2,218.61,1.12,218.61,1.12
1438.7,218.59,1.12,218.59,1.12
1439.2,218.57,1.12,218.57,1.12
1439.7,218.56,1.12,218.56,1.12
1440.2,218.54,1.12,218.54,1.12
1440.7,218.52,1.12,218.52,1.12
1441.2,218.51,1.12,218.51,1.12
1441.7,218.49,1.12,218.49,1.12
1442.2,218.47,1.12,218.47,1.12
1442.7,218.46,1.11,218.46,1.11
1443.2,218.44,1.11,218.44,1.11
1443.7,218.42,1.11,218.42,1.11
1444.2,218.41,1.11,218.41,1.11
1444.7,218.39,1.11,218.39,1.11
1445.2,218.38,1.11,218.38,1.11
1445.7,218.36,1.11,218.36,1.11
1446.2,218.34,1.11,218.34,1.11
1446.7,218.33,1.11,218.33,1.11
1447.2,218.31,1.11,218.31,1.11
1447.7,218.29,1.11,218.29,1.11
1448.2,218.28,1.11,218.28,1.11
1448.7,218.26,1.11,218.26,1.11
1449.2,218.25,1.11,218.25,1.11
1449.7,218.23,1.11,218.23,1.11
1450.2,218.21,1.11,218.21,1.11
1450.7,218.2,1.11,218.2,1.11
1451.2,218.18,1.11,218.18,1.11
1451.7,218.16,1.11,218.16,1.11
1452.2,218.15,1.11,218.15,1.11
1452.7,218.13,1.11,218.13,1.11
1453.2,218.12,1.11,218.12,1.11
1453.7,218.1,1.11,218.1,1.11
1454.2,218.08,1.11,218.08,1.11
1454.7,218.07,1.11,218.07,1.11
1455.2,218.05,1.11,218.05,1.11
1455.7,218.04,1.11,218.04,1.11
1456.2,218.02,1.11,218.02,1.11
1456.7,218,1.11,218,1.11
1457.2,217.99,1.11,217.99,1.11
1457.7,217.97,1.11,217.97,1.11
1458.2,217.96,1.11,217.96,1.11
1458.7,217.94,1.11,217.94,1.11
1459.2,217.92,1.11,217.92,1.11
1459.7,217.91,1.11,217.91,1.11
1460.2,217.89,1.11,217.89,1.11
1460.7,217.88,1.11,217.88,1.11
1461.2,217.86,1.11,217.86,1.11
1461.7,217.85,1.11,217.85,1.11
1462.2,217.83,1.11,217.83,1.11
1462.7,217.81,1.11,217.81,1.11
1463.2,217.8,1.11,217.8,1.11
1463.7,217.78,1.11,217.78,1.11
1464.2,217.77,1.11,217.77,1.11
1464.7,217.75,1.11,217.75,1.11
1465.2,217.74,1.11,217.74,1.11
1465.7,217.72,1.11,217.72,1.11
1466.2,217.71,1.11,217.71,1.11
1466.7,217.69,1.11,217.69,1.11
1467.2,217.67,1.11,217.67,1.11
1467.7,217.66,1.11,217.66,1.11
1468.2,217.64,1.11,217.64,1.11
1468.7,217.63,1.11,217.63,1.11
1469.2,217.61,1.11,217.61,1.11
1469.7,217.6,1.11,217.6,1.11
1470.2,217.58,1.11,217.58,1.11
1470.7,217.57,1.11,217.57,1.11
1471.2,217.55,1.11,217.55,1.11
