wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty
517.3928,722.67,8.52,7.92,11.88,-106.37,3.02,935.4,11.77,616.3,8.17
517.8928,712.89,8.43,8.84,11.71,-105.41,2.98,923.71,11.64,607.47,8.09
518.3928,703.38,8.35,9.75,11.55,-104.49,2.94,912.36,11.5,598.89,8.02
518.8928,694.15,8.27,10.66,11.38,-103.6,2.9,901.34,11.38,590.55,7.95
519.3928,685.16,8.19,11.56,11.23,-102.73,2.87,890.63,11.25,582.43,7.88
519.8928,676.42,8.12,12.45,11.07,-101.9,2.83,880.22,11.13,574.52,7.81
520.3928,667.91,8.05,13.34,10.93,-101.09,2.8,870.09,11.02,566.82,7.74
520.8928,659.63,7.98,14.22,10.78,-100.31,2.77,860.24,10.9,559.32,7.68
521.3928,651.56,7.91,15.1,10.64,-99.55,2.73,850.65,10.79,552.01,7.62
521.8928,643.69,7.85,15.97,10.51,-98.81,2.7,841.32,10.69,544.88,7.56
522.3928,636.02,7.78,16.83,10.37,-98.1,2.67,832.22,10.58,537.92,7.5
522.8928,628.54,7.72,17.69,10.24,-97.41,2.64,823.36,10.48,531.13,7.45
523.3928,621.24,7.66,18.54,10.12,-96.74,2.61,814.72,10.38,524.5,7.39
523.8928,614.11,7.6,19.39,10,-96.09,2.58,806.3,10.29,518.02,7.34
524.3928,607.16,7.55,20.23,9.88,-95.47,2.56,798.09,10.19,511.69,7.29
524.8928,600.36,7.49,21.07,9.76,-94.86,2.53,790.07,10.1,505.51,7.24
525.3928,593.72,7.44,21.9,9.65,-94.26,2.5,782.25,10.02,499.46,7.19
525.8928,587.23,7.39,22.72,9.54,-93.69,2.48,774.61,9.93,493.54,7.14
526.3928,580.88,7.34,23.54,9.43,-93.14,2.45,767.15,9.85,487.75,7.1
526.8928,574.68,7.29,24.36,9.32,-92.6,2.43,759.87,9.76,482.08,7.05
527.3928,568.6,7.24,25.17,9.22,-92.07,2.41,752.75,9.68,476.53,7.01
527.8928,562.66,7.19,25.97,9.12,-91.57,2.38,745.79,9.61,471.09,6.96
528.3928,556.84,7.15,26.77,9.02,-91.07,2.36,738.99,9.53,465.76,6.92
528.8928,551.14,7.1,27.56,8.93,-90.6,2.34,732.33,9.46,460.54,6.88
529.3928,545.56,7.06,28.35,8.83,-90.13,2.32,725.82,9.38,455.42,6.84
529.8928,540.09,7.02,29.14,8.74,-89.68,2.29,719.46,9.31,450.4,6.81
530.3928,534.72,6.98,29.92,8.65,-89.25,2.27,713.22,9.24,445.48,6.77
530.8928,529.47,6.94,30.7,8.57,-88.83,2.25,707.12,9.18,440.64,6.73
531.3928,524.31,6.9,31.47,8.48,-88.42,2.23,701.15,9.11,435.9,6.7
531.8928,519.26,6.86,32.24,8.4,-88.02,2.21,695.3,9.05,431.24,6.66
532.3928,514.3,6.82,33.01,8.31,-87.63,2.19,689.56,8.98,426.67,6.63
532.8928,509.43,6.79,33.77,8.23,-87.26,2.18,683.95,8.92,422.17,6.59
533.3928,504.65,6.75,34.53,8.16,-86.89,2.16,678.44,8.86,417.76,6.56
533.8928,499.96,6.72,35.29,8.08,-86.54,2.14,673.05,8.8,413.42,6.53
534.3928,495.35,6.68,36.04,8,-86.2,2.12,667.76,8.74,409.15,6.5
534.8928,490.83,6.65,36.79,7.93,-85.87,2.1,662.57,8.69,404.96,6.47
535.3928,486.38,6.61,37.54,7.86,-85.55,2.09,657.48,8.63,400.83,6.44
535.8928,482.01,6.58,38.28,7.79,-85.24,2.07,652.49,8.58,396.77,6.41
536.3928,477.71,6.55,39.02,7.72,-84.94,2.06,647.59,8.53,392.77,6.38
536.8928,473.49,6.52,39.76,7.65,-84.65,2.04,642.78,8.47,388.84,6.35
537.3928,469.33,6.49,40.5,7.58,-84.37,2.02,638.07,8.42,384.97,6.32
537.8928,465.25,6.46,41.23,7.52,-84.09,2.01,633.43,8.37,381.16,6.3
538.3928,461.23,6.43,41.97,7.45,-83.83,1.99,628.88,8.32,377.4,6.27
538.8928,457.27,6.4,42.7,7.39,-83.57,1.98,624.42,8.27,373.7,6.25
539.3928,453.38,6.38,43.43,7.33,-83.32,1.96,620.03,8.23,370.05,6.22
539.8928,449.55,6.35,44.16,7.27,-83.09,1.95,615.72,8.18,366.46,6.2
540.3928,445.77,6.32,44.88,7.21,-82.85,1.94,611.48,8.14,362.92,6.17
540.8928,442.06,6.3,45.61,7.15,-82.63,1.92,607.32,8.09,359.42,6.15
541.3928,438.4,6.27,46.33,7.09,-82.42,1.91,603.23,8.05,355.98,6.13
541.8928,434.79,6.25,47.05,7.04,-82.21,1.9,599.2,8,352.58,6.1
542.3928,431.23,6.22,47.77,6.98,-82.01,1.88,595.25,7.96,349.23,6.08
542.8928,427.73,6.2,48.5,6.93,-81.81,1.87,591.36,7.92,345.92,6.06
543.3928,424.28,6.17,49.22,6.87,-81.63,1.86,587.54,7.88,342.65,6.04
543.8928,420.88,6.15,49.93,6.82,-81.45,1.85,583.77,7.84,339.43,6.02
544.3928,417.52,6.13,50.65,6.77,-81.28,1.83,580.07,7.8,336.24,5.99
544.8928,414.21,6.1,51.37,6.72,-81.11,1.82,576.43,7.76,333.1,5.97
545.3928,410.94,6.08,52.09,6.67,-80.95,1.81,572.85,7.72,329.99,5.95
545.8928,407.72,6.06,52.81,6.62,-80.8,1.8,569.32,7.69,326.92,5.94
546.3928,404.54,6.04,53.53,6.57,-80.65,1.79,565.85,7.65,323.89,5.92
546.8928,401.41,6.02,54.24,6.52,-80.51,1.78,562.43,7.61,320.89,5.9
547.3928,398.31,6,54.96,6.48,-80.38,1.76,559.06,7.58,317.93,5.88
547.8928,395.25,5.98,55.68,6.43,-80.25,1.75,555.75,7.54,315,5.86
548.3928,392.23,5.96,56.4,6.39,-80.13,1.74,552.49,7.51,312.1,5.84
548.8928,389.25,5.94,57.12,6.34,-80.01,1.73,549.27,7.48,309.24,5.82
549.3928,386.3,5.92,57.84,6.3,-79.9,1.72,546.11,7.44,306.4,5.81
549.8928,383.39,5.9,58.56,6.26,-79.8,1.71,542.99,7.41,303.6,5.79
550.3928,380.52,5.88,59.28,6.21,-79.7,1.7,539.91,7.38,300.82,5.77
550.8928,377.68,5.86,60,6.17,-79.6,1.69,536.88,7.35,298.08,5.76
551.3928,374.87,5.84,60.72,6.13,-79.51,1.68,533.9,7.32,295.36,5.74
551.8928,372.1,5.83,61.45,6.09,-79.43,1.67,530.96,7.28,292.66,5.72
552.3928,369.35,5.81,62.17,6.05,-79.35,1.66,528.06,7.25,290,5.71
552.8928,366.64,5.79,62.9,6.01,-79.28,1.66,525.2,7.22,287.36,5.69
553.3928,363.95,5.77,63.63,5.98,-79.21,1.65,522.38,7.2,284.74,5.68
553.8928,361.3,5.76,64.36,5.94,-79.15,1.64,519.6,7.17,282.15,5.66
554.3928,358.67,5.74,65.09,5.9,-79.09,1.63,516.86,7.14,279.58,5.65
554.8928,356.08,5.72,65.82,5.86,-79.04,1.62,514.16,7.11,277.03,5.63
555.3928,353.5,5.71,66.55,5.83,-78.99,1.61,511.49,7.08,274.51,5.62
555.8928,350.96,5.69,67.29,5.79,-78.95,1.6,508.86,7.06,272.01,5.61
556.3928,348.44,5.68,68.03,5.76,-78.91,1.6,506.27,7.03,269.53,5.59
556.8928,345.95,5.66,68.77,5.72,-78.88,1.59,503.71,7,267.07,5.58
557.3928,343.48,5.65,69.51,5.69,-78.85,1.58,501.18,6.98,264.63,5.57
557.8928,341.03,5.63,70.26,5.66,-78.83,1.57,498.69,6.95,262.21,5.55
558.3928,338.61,5.62,71,5.62,-78.81,1.56,496.23,6.93,259.8,5.54
558.8928,336.21,5.6,71.75,5.59,-78.79,1.56,493.8,6.9,257.42,5.53
559.3928,333.84,5.59,72.5,5.56,-78.78,1.55,491.4,6.88,255.06,5.51
559.8928,331.48,5.57,73.26,5.53,-78.78,1.54,489.04,6.85,252.71,5.5
560.3928,329.15,5.56,74.01,5.5,-78.78,1.53,486.7,6.83,250.38,5.49
560.8928,326.84,5.55,74.77,5.47,-78.78,1.53,484.4,6.8,248.06,5.48
561.3928,324.55,5.53,75.54,5.44,-78.79,1.52,482.12,6.78,245.76,5.47
561.8928,322.27,5.52,76.3,5.41,-78.8,1.51,479.87,6.76,243.48,5.45
562.3928,320.02,5.51,77.07,5.38,-78.81,1.51,477.65,6.74,241.21,5.44
562.8928,317.79,5.49,77.84,5.35,-78.83,1.5,475.45,6.71,238.95,5.43
563.3928,315.57,5.48,78.62,5.32,-78.86,1.49,473.29,6.69,236.71,5.42
563.8928,313.37,5.47,79.4,5.29,-78.89,1.49,471.15,6.67,234.49,5.41
564.3928,311.19,5.46,80.18,5.26,-78.92,1.48,469.03,6.65,232.27,5.4
564.8928,309.03,5.45,80.97,5.24,-78.96,1.47,466.94,6.63,230.07,5.39
565.3928,306.88,5.43,81.76,5.21,-79,1.47,464.88,6.61,227.89,5.38
565.8928,304.75,5.42,82.55,5.18,-79.04,1.46,462.84,6.58,225.71,5.37
566.3928,302.64,5.41,83.35,5.16,-79.09,1.46,460.82,6.56,223.55,5.36
566.8928,300.54,5.4,84.15,5.13,-79.14,1.45,458.83,6.54,221.39,5.35
567.3928,298.46,5.39,84.95,5.11,-79.2,1.44,456.86,6.52,219.25,5.34
567.8928,296.39,5.38,85.76,5.08,-79.26,1.44,454.91,6.5,217.12,5.33
568.3928,294.33,5.36,86.58,5.06,-79.33,1.43,452.99,6.49,215,5.32
568.8928,292.29,5.35,87.4,5.03,-79.4,1.43,451.09,6.47,212.89,5.31
569.3928,290.26,5.34,88.22,5.01,-79.47,1.42,449.21,6.45,210.79,5.3
569.8928,288.25,5.33,89.05,4.99,-79.55,1.42,447.35,6.43,208.7,5.29
570.3928,286.25,5.32,89.88,4.96,-79.63,1.41,445.51,6.41,206.61,5.28
570.8928,284.26,5.31,90.72,4.94,-79.72,1.4,443.69,6.39,204.54,5.27
571.3928,282.28,5.3,91.56,4.92,-79.81,1.4,441.89,6.37,202.47,5.26
571.8928,280.32,5.29,92.4,4.89,-79.9,1.39,440.12,6.36,200.42,5.26
572.3928,278.36,5.28,93.26,4.87,-80,1.39,438.36,6.34,198.36,5.25
572.8928,276.42,5.27,94.11,4.85,-80.1,1.38,436.62,6.32,196.32,5.24
573.3928,274.49,5.26,94.97,4.83,-80.2,1.38,434.9,6.3,194.28,5.23
573.8928,272.57,5.25,95.84,4.81,-80.31,1.37,433.2,6.29,192.25,5.22
574.3928,270.66,5.24,96.72,4.79,-80.43,1.37,431.51,6.27,190.23,5.21
574.8928,268.76,5.23,97.6,4.77,-80.55,1.37,429.85,6.25,188.21,5.21
575.3928,266.87,5.22,98.48,4.75,-80.67,1.36,428.2,6.24,186.2,5.2
575.8928,264.98,5.21,99.37,4.73,-80.79,1.36,426.57,6.22,184.19,5.19
576.3928,263.11,5.21,100.27,4.71,-80.92,1.35,424.95,6.2,182.19,5.18
576.8928,261.25,5.2,101.17,4.69,-81.05,1.35,423.36,6.19,180.19,5.18
577.3928,259.39,5.19,102.08,4.67,-81.19,1.34,421.78,6.17,178.2,5.17
577.8928,257.55,5.18,103,4.65,-81.33,1.34,420.21,6.16,176.21,5.16
578.3928,255.71,5.17,103.92,4.63,-81.48,1.33,418.66,6.14,174.23,5.16
578.8928,253.88,5.16,104.85,4.61,-81.63,1.33,417.13,6.13,172.25,5.15
579.3928,252.05,5.15,105.78,4.6,-81.78,1.33,415.61,6.11,170.27,5.14
579.8928,250.23,5.15,106.72,4.58,-81.94,1.32,414.11,6.1,168.3,5.13
580.3928,248.42,5.14,107.67,4.56,-82.1,1.32,412.63,6.08,166.32,5.13
580.8928,246.62,5.13,108.63,4.54,-82.27,1.31,411.15,6.07,164.35,5.12
581.3928,244.82,5.12,109.59,4.53,-82.44,1.31,409.7,6.05,162.39,5.12
581.8928,243.03,5.11,110.57,4.51,-82.61,1.31,408.25,6.04,160.42,5.11
582.3928,241.25,5.11,111.54,4.49,-82.79,1.3,406.83,6.02,158.46,5.1
582.8928,239.47,5.1,112.53,4.48,-82.97,1.3,405.41,6.01,156.5,5.1
583.3928,237.69,5.09,113.53,4.46,-83.16,1.3,404.01,6,154.54,5.09
583.8928,235.93,5.08,114.53,4.45,-83.35,1.29,402.62,5.98,152.58,5.09
584.3928,234.16,5.08,115.54,4.43,-83.54,1.29,401.25,5.97,150.62,5.08
584.8928,232.4,5.07,116.56,4.42,-83.74,1.29,399.89,5.95,148.66,5.07
585.3928,230.65,5.06,117.58,4.4,-83.95,1.28,398.54,5.94,146.7,5.07
585.8928,228.9,5.05,118.62,4.39,-84.15,1.28,397.2,5.93,144.74,5.06
586.3928,227.15,5.05,119.66,4.37,-84.37,1.28,395.88,5.92,142.78,5.06
586.8928,225.4,5.04,120.72,4.36,-84.58,1.27,394.57,5.9,140.82,5.05
587.3928,223.66,5.03,121.78,4.34,-84.8,1.27,393.27,5.89,138.86,5.05
587.8928,221.93,5.03,122.85,4.33,-85.03,1.27,391.98,5.88,136.9,5.04
588.3928,220.19,5.02,123.93,4.32,-85.26,1.26,390.71,5.86,134.93,5.04
588.8928,218.46,5.01,125.02,4.3,-85.49,1.26,389.45,5.85,132.97,5.03
589.3928,216.73,5.01,126.12,4.29,-85.73,1.26,388.19,5.84,131,5.03
589.8928,215,5,127.23,4.28,-85.98,1.26,386.95,5.83,129.03,5.02
590.3928,213.28,4.99,128.35,4.27,-86.22,1.25,385.73,5.82,127.06,5.02
590.8928,211.56,4.99,129.48,4.25,-86.48,1.25,384.51,5.8,125.08,5.02
591.3928,209.83,4.98,130.63,4.24,-86.73,1.25,383.3,5.79,123.1,5.01
591.8928,208.11,4.98,131.78,4.23,-87,1.24,382.1,5.78,121.12,5.01
592.3928,206.39,4.97,132.94,4.22,-87.26,1.24,380.92,5.77,119.13,5
592.8928,204.67,4.96,134.11,4.21,-87.53,1.24,379.74,5.76,117.14,5
593.3928,202.95,4.96,135.3,4.2,-87.81,1.24,378.58,5.74,115.14,5
593.8928,201.24,4.95,136.49,4.18,-88.09,1.24,377.42,5.73,113.14,4.99
594.3928,199.52,4.95,137.7,4.17,-88.38,1.23,376.28,5.72,111.14,4.99
594.8928,197.8,4.94,138.92,4.16,-88.67,1.23,375.14,5.71,109.13,4.98
595.3928,196.08,4.94,140.15,4.15,-88.97,1.23,374.01,5.7,107.11,4.98
595.8928,194.36,4.93,141.4,4.14,-89.27,1.23,372.9,5.69,105.09,4.98
596.3928,192.64,4.92,142.65,4.13,-89.58,1.22,371.79,5.68,103.06,4.97
596.8928,190.92,4.92,143.92,4.12,-89.89,1.22,370.69,5.67,101.03,4.97
597.3928,189.19,4.91,145.21,4.11,-90.21,1.22,369.61,5.66,98.99,4.97
597.8928,187.47,4.91,146.5,4.11,-90.53,1.22,368.53,5.65,96.94,4.97
598.3928,185.74,4.9,147.81,4.1,-90.86,1.22,367.46,5.64,94.88,4.96
598.8928,184.01,4.9,149.14,4.09,-91.19,1.22,366.39,5.63,92.82,4.96
599.3928,182.28,4.89,150.47,4.08,-91.53,1.21,365.34,5.62,90.75,4.96
599.8928,180.54,4.89,151.82,4.07,-91.88,1.21,364.3,5.61,88.67,4.96
600.3928,178.81,4.88,153.19,4.06,-92.23,1.21,363.26,5.6,86.58,4.95
600.8928,177.06,4.88,154.57,4.06,-92.58,1.21,362.23,5.59,84.48,4.95
601.3928,175.32,4.88,155.97,4.05,-92.95,1.21,361.21,5.58,82.37,4.95
601.8928,173.57,4.87,157.38,4.04,-93.31,1.21,360.2,5.57,80.26,4.95
602.3928,171.82,4.87,158.81,4.03,-93.69,1.21,359.19,5.56,78.13,4.94
602.8928,170.06,4.86,160.25,4.03,-94.07,1.2,358.2,5.55,75.99,4.94
603.3928,168.3,4.86,161.71,4.02,-94.45,1.2,357.21,5.54,73.85,4.94
603.8928,166.53,4.85,163.19,4.01,-94.85,1.2,356.23,5.53,71.69,4.94
604.3928,164.76,4.85,164.68,4.01,-95.25,1.2,355.25,5.52,69.52,4.94
604.8928,162.98,4.85,166.19,4,-95.65,1.2,354.29,5.51,67.33,4.94
605.3928,161.2,4.84,167.72,4,-96.06,1.2,353.33,5.5,65.14,4.94
605.8928,159.41,4.84,169.27,3.99,-96.48,1.2,352.37,5.49,62.93,4.94
606.3928,157.62,4.84,170.84,3.98,-96.91,1.2,351.43,5.48,60.71,4.93
606.8928,155.81,4.83,172.42,3.98,-97.34,1.2,350.49,5.47,58.48,4.93
607.3928,154,4.83,174.03,3.97,-97.77,1.2,349.55,5.46,56.23,4.93
607.8928,152.19,4.82,175.65,3.97,-98.22,1.2,348.63,5.45,53.97,4.93
608.3928,150.36,4.82,177.3,3.97,-98.67,1.2,347.7,5.44,51.69,4.93
608.8928,148.53,4.82,178.96,3.96,-99.13,1.19,346.79,5.44,49.4,4.93
609.3928,146.69,4.81,180.65,3.96,-99.6,1.19,345.88,5.43,47.09,4.93
609.8928,144.84,4.81,182.36,3.95,-100.07,1.19,344.97,5.42,44.77,4.93
610.3928,142.98,4.81,184.09,3.95,-100.55,1.19,344.07,5.41,42.43,4.93
610.8928,141.11,4.81,185.85,3.95,-101.04,1.19,343.18,5.4,40.07,4.93
611.3928,139.23,4.8,187.63,3.95,-101.53,1.19,342.29,5.39,37.69,4.93
611.8928,137.33,4.8,189.44,3.94,-102.03,1.19,341.4,5.39,35.3,4.93
612.3928,135.43,4.8,191.27,3.94,-102.54,1.19,340.52,5.38,32.89,4.93
612.8928,133.52,4.79,193.13,3.94,-103.06,1.19,339.64,5.37,30.46,4.93
613.3928,131.59,4.79,195.01,3.94,-103.58,1.19,338.76,5.36,28.01,4.94
613.8928,129.65,4.79,196.93,3.94,-104.11,1.2,337.88,5.35,25.54,4.94
614.3928,127.7,4.79,198.87,3.93,-104.65,1.2,337,5.34,23.05,4.94
614.8928,125.73,4.79,200.85,3.93,-105.2,1.2,336.13,5.34,20.54,4.94
615.3928,123.75,4.78,202.87,3.93,-105.75,1.2,335.24,5.33,18,4.94
615.8928,121.75,4.78,204.92,3.93,-106.3,1.2,334.35,5.32,15.45,4.94
616.3928,119.73,4.78,207.02,3.93,-106.86,1.2,333.46,5.31,12.87,4.95
616.8928,117.69,4.78,209.16,3.93,-107.43,1.2,332.54,5.31,10.26,4.95
617.3928,115.63,4.78,211.36,3.93,-107.99,1.2,331.61,5.3,7.64,4.95
617.8928,113.54,4.77,213.63,3.94,-108.55,1.2,330.64,5.29,4.99,4.95
618.3928,111.41,4.77,215.98,3.94,-109.1,1.2,329.62,5.28,2.31,4.96
618.8928,109.24,4.77,218.45,3.94,-109.64,1.2,328.52,5.28,-0.4,4.96
619.3928,107.01,4.77,221.1,3.94,-110.13,1.21,327.27,5.27,-3.13,4.96
619.8928,104.66,4.77,224.07,3.95,-110.55,1.21,325.75,5.27,-5.88,4.96
620.3928,102.09,4.77,227.69,3.96,-110.76,1.22,323.61,5.27,-8.67,4.97
620.8928,98.85,4.77,233.31,4.01,-110.33,1.23,319.51,5.29,-11.49,4.97
620.9328,98.51,4.77,233.97,4.02,-110.23,1.24,318.97,5.3,-11.71,4.97
620.9728,98.16,4.77,234.7,4.03,-110.1,1.24,318.36,5.31,-11.94,4.97
621.0128,97.78,4.78,235.51,4.04,-109.95,1.24,317.68,5.31,-12.17,4.97
621.0528,97.37,4.78,236.4,4.05,-109.77,1.25,316.91,5.32,-12.39,4.97
621.0928,96.93,4.78,237.4,4.07,-109.55,1.25,316.03,5.34,-12.62,4.97
621.1328,96.44,4.78,238.55,4.09,-109.29,1.26,315.01,5.35,-12.85,4.97
621.1728,95.88,4.78,239.88,4.12,-108.96,1.27,313.81,5.37,-13.08,4.97
621.2128,95.25,4.79,241.44,4.16,-108.56,1.29,312.37,5.4,-13.3,4.97
621.2528,94.52,4.79,243.32,4.21,-108.05,1.3,310.62,5.44,-13.53,4.97
621.2928,93.63,4.8,245.64,4.28,-107.39,1.33,308.42,5.49,-13.76,4.97
621.3328,92.54,4.81,248.59,4.38,-106.53,1.37,305.59,5.57,-13.99,4.98
621.3728,91.12,4.82,252.52,4.53,-105.34,1.42,301.79,5.69,-14.22,4.98
621.4128,89.17,4.85,258.04,4.78,-103.62,1.51,296.4,5.89,-14.45,4.98
621.4528,86.26,4.9,266.44,5.23,-100.93,1.67,288.13,6.26,-14.68,4.98
621.4928,81.32,5.02,280.91,6.14,-96.23,1.98,273.78,7.04,-14.91,4.98
621.5328,70.8,5.38,312.15,8.44,-85.94,2.77,242.67,9.12,-15.13,4.98
621.5728,30.88,7.68,431.57,18.49,-46.25,6.14,123.38,18.8,-15.36,4.98
621.585,-20.92,11.64,586.87,32.11,5.48,10.69,-31.88,32.29,-15.43,4.98
621.593,-140.89,21.81,946.73,63.97,125.41,21.32,-391.72,64.06,-15.48,4.98
621.5954,-244.08,30.82,1256.27,91.44,228.58,30.48,-701.25,91.51,-15.49,4.98
621.5961,-293.33,35.16,1404.02,104.57,277.83,34.85,-849,104.62,-15.5,4.98
621.5968,-359.12,40.96,1601.39,122.1,343.62,40.7,-1046.37,122.15,-15.5,4.98
621.5975,-451.46,49.12,1878.4,146.71,435.96,48.9,-1323.38,146.75,-15.51,4.98
621.5982,-590.48,61.43,2295.45,183.77,574.97,61.26,-1740.42,183.8,-15.51,4.98
621.5989,-823.55,82.1,2994.65,245.91,808.04,81.97,-2439.62,245.94,-15.51,4.98
621.5996,-1294.9,123.95,4408.69,371.59,1279.38,123.86,-3853.66,371.61,-15.52,4.98
621.6003,-2752.11,253.43,8780.31,760.17,2736.59,253.39,-8225.28,760.18,-15.52,4.98
621.6008,-11168.46,1001.52,34029.36,3004.52,11152.93,1001.51,-33474.32,3004.52,-15.53,4.98
621.6011,14702.73,1298.16,-43584.21,3894.47,-14718.26,1298.16,44139.25,3894.47,-15.53,4.98
621.6016,3124.02,268.98,-8848.09,806.82,-3139.55,268.94,9403.13,806.83,-15.53,4.98
621.6023,1532.41,127.55,-4073.27,382.4,-1547.95,127.47,4628.31,382.42,-15.53,4.98
621.603,1038.11,83.66,-2590.37,250.6,-1053.65,83.53,3145.41,250.62,-15.54,4.98
621.6037,797.24,62.29,-1867.75,186.38,-812.78,62.12,2422.8,186.41,-15.54,4.98
621.6044,654.66,49.67,-1440.02,148.37,-670.2,49.45,1995.07,148.41,-15.55,4.98
621.6051,560.4,41.34,-1157.26,123.24,-575.95,41.08,1712.31,123.29,-15.55,4.98
621.6058,493.46,35.43,-956.45,105.4,-509.02,35.13,1511.5,105.46,-15.55,4.98
621.6065,443.47,31.03,-806.47,92.08,-459.03,30.69,1361.52,92.15,-15.56,4.98
621.6072,404.71,27.64,-690.18,81.76,-420.27,27.25,1245.24,81.83,-15.56,4.98
621.6079,373.77,24.93,-597.39,73.52,-389.34,24.5,1152.45,73.6,-15.57,4.98
621.6086,348.51,22.73,-521.62,66.8,-364.08,22.26,1076.68,66.89,-15.57,4.98
621.613,257.04,14.88,-247.25,42.48,-272.64,14.15,802.32,42.62,-15.6,4.98
621.62,198.68,10.11,-72.2,27.03,-214.31,8.99,627.3,27.25,-15.64,4.98
621.63,164.1,7.54,31.45,17.97,-179.79,5.97,523.67,18.29,-15.69,4.98
621.6486,138.35,5.95,108.54,11.39,-154.15,3.76,446.65,11.9,-15.8,4.98
621.6886,119.89,5.14,163.58,7.02,-135.92,2.28,391.73,7.82,-16.03,4.98
621.7286,112.89,4.95,184.24,5.61,-129.15,1.8,371.2,6.58,-16.26,4.98
621.7686,109.15,4.87,195.13,4.98,-125.64,1.58,360.44,6.05,-16.49,4.98
621.8086,106.79,4.84,201.9,4.65,-123.51,1.46,353.8,5.78,-16.72,4.98
621.8486,105.13,4.82,206.54,4.45,-122.08,1.39,349.29,5.62,-16.95,4.98
621.8886,103.88,4.8,209.94,4.33,-121.07,1.35,346.02,5.52,-17.18,4.98
621.9286,102.9,4.79,212.56,4.25,-120.31,1.32,343.53,5.46,-17.42,4.98
621.9686,102.09,4.79,214.65,4.19,-119.74,1.3,341.57,5.41,-17.65,4.98
622.0086,101.41,4.78,216.37,4.14,-119.29,1.28,339.98,5.38,-17.88,4.98
622.0486,100.81,4.78,217.81,4.11,-118.93,1.27,338.67,5.35,-18.11,4.98
622.0886,100.29,4.78,219.05,4.09,-118.63,1.26,337.56,5.33,-18.34,4.98
622.1286,99.82,4.78,220.13,4.07,-118.4,1.26,336.61,5.32,-18.58,4.98
622.1686,99.39,4.78,221.08,4.05,-118.2,1.25,335.79,5.3,-18.81,4.98
622.2086,98.99,4.77,221.94,4.04,-118.04,1.25,335.06,5.29,-19.04,4.98
622.2486,98.62,4.77,222.71,4.03,-117.9,1.24,334.42,5.28,-19.28,4.98
622.2886,98.28,4.77,223.41,4.02,-117.79,1.24,333.85,5.28,-19.51,4.98
622.7886,94.91,4.77,229.32,3.98,-117.35,1.22,329.61,5.24,-22.44,4.99
623.2886,92.21,4.77,233.19,3.97,-117.62,1.22,327.45,5.22,-25.41,4.99
623.7886,89.71,4.77,236.44,3.97,-118.12,1.22,325.96,5.21,-28.41,5
624.2886,87.29,4.77,239.43,3.98,-118.74,1.22,324.76,5.2,-31.45,5
624.7886,84.89,4.77,242.32,3.98,-119.41,1.23,323.72,5.19,-34.52,5.01
625.2886,82.51,4.77,245.15,3.99,-120.13,1.23,322.77,5.18,-37.63,5.01
625.7886,80.11,4.77,247.97,3.99,-120.89,1.23,321.88,5.18,-40.77,5.02
626.2886,77.71,4.77,250.79,4,-121.67,1.23,321.04,5.17,-43.96,5.03
626.7886,75.29,4.77,253.63,4,-122.47,1.24,320.23,5.16,-47.18,5.03
627.2886,72.85,4.77,256.49,4.01,-123.3,1.24,319.45,5.16,-50.45,5.04
627.7886,70.39,4.77,259.38,4.02,-124.15,1.24,318.69,5.15,-53.76,5.05
628.2886,67.9,4.77,262.31,4.03,-125.02,1.25,317.94,5.14,-57.11,5.05
628.7886,65.4,4.77,265.27,4.04,-125.91,1.25,317.21,5.14,-60.51,5.06
629.2886,62.86,4.77,268.27,4.05,-126.81,1.25,316.49,5.13,-63.95,5.07
629.7886,60.3,4.77,271.32,4.06,-127.74,1.26,315.78,5.12,-67.44,5.08
630.2886,57.71,4.78,274.41,4.07,-128.69,1.26,315.08,5.12,-70.98,5.09
630.7886,55.08,4.78,277.56,4.08,-129.65,1.26,314.39,5.11,-74.57,5.1
631.2886,52.43,4.78,280.75,4.09,-130.64,1.27,313.71,5.1,-78.21,5.11
631.7886,49.74,4.78,283.99,4.1,-131.65,1.27,313.03,5.1,-81.9,5.12
632.2886,47.02,4.79,287.29,4.11,-132.67,1.28,312.37,5.09,-85.65,5.13
632.7886,44.27,4.79,290.65,4.12,-133.72,1.28,311.71,5.09,-89.46,5.14
633.2886,41.47,4.79,294.07,4.14,-134.79,1.29,311.05,5.08,-93.32,5.15
633.7886,38.64,4.79,297.54,4.15,-135.88,1.29,310.41,5.07,-97.24,5.16
634.2886,35.78,4.8,301.08,4.17,-136.99,1.3,309.76,5.07,-101.22,5.17
634.7886,32.87,4.8,304.68,4.18,-138.13,1.3,309.13,5.06,-105.26,5.18
635.2886,29.92,4.81,308.35,4.2,-139.29,1.31,308.5,5.05,-109.37,5.2
635.7886,26.92,4.81,312.09,4.21,-140.47,1.31,307.87,5.05,-113.55,5.21
636.2886,23.89,4.81,315.9,4.23,-141.68,1.32,307.25,5.04,-117.79,5.22
636.7886,20.8,4.82,319.78,4.25,-142.91,1.33,306.63,5.04,-122.11,5.24
637.2886,17.67,4.82,323.74,4.26,-144.17,1.33,306.02,5.03,-126.5,5.25
637.7886,14.5,4.83,327.77,4.28,-145.46,1.34,305.42,5.03,-130.97,5.27
