wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty
465.75,-1481.61,17.37,-316.41,27.87,138.7,5.33,-1759.02,22.97,-1342.91,16.55
466.6,-1630.58,19.22,-420.4,30.78,150.75,5.67,-1932.07,25.22,-1479.84,18.23
467.1,-1735.77,20.59,-501.31,32.9,159.29,5.89,-2054.34,26.87,-1576.48,19.48
467.6,-1858.56,22.26,-603.03,35.45,169.31,6.14,-2197.18,28.85,-1689.25,20.98
468.1,-2004.65,24.33,-733.42,38.58,181.34,6.41,-2367.32,31.29,-1823.31,22.84
468.6,-2182.79,26.97,-904.8,42.53,196.17,6.73,-2575.13,34.39,-1986.62,25.21
469.1,-2411.61,30.35,-1144.17,47.71,215.59,7.1,-2842.8,38.39,-2196.02,28.22
469.6,-2700.32,35.2,-1464.18,54.78,240.42,7.56,-3181.16,44.03,-2459.9,32.56
470.1,-3107.25,42.14,-1950.96,65.08,276.35,8.16,-3659.96,52.18,-2830.9,38.76
470.6,-3722.48,53.15,-2737.93,81.4,332.22,9.04,-4386.92,65.15,-3390.26,48.58
471.1,-4789.22,73.11,-4187.81,111.07,432.12,10.6,-5653.46,88.8,-4357.1,66.42
471.6,-7189.53,119.83,-7621.1,180.8,663.96,14.45,-8517.45,144.5,-6525.57,108.29
471.69,-7992.74,135.73,-8793.76,204.57,742.62,15.83,-9477.98,163.5,-7250.11,122.55
471.78,-9041.73,156.58,-10334.43,235.77,845.81,17.69,-10733.34,188.45,-8195.92,141.28
471.87,-10471.88,185.14,-12446.14,278.53,987.04,20.3,-12445.96,222.64,-9484.84,166.94
471.96,-12540.45,226.61,-15514.74,340.64,1192.05,24.17,-14924.54,272.32,-11348.4,204.21
471.98,-13132.46,238.5,-16395.05,358.45,1250.83,25.29,-15634.12,286.57,-11881.64,214.9
472.03,-14925.16,274.55,-19064.65,412.47,1429.03,28.73,-17783.22,329.78,-13496.13,247.31
472.08,-17356.02,323.5,-22691.26,485.86,1671.03,33.45,-20698.08,388.48,-15684.99,291.34
472.13,-20841.56,393.79,-27899.64,591.24,2018.47,40.3,-24878.5,472.78,-18823.09,354.57
472.18,-26261.61,503.21,-36009.53,755.31,2559.34,51.05,-31380.28,604.04,-23702.27,453.02
472.23,-35851.7,696.99,-50374.24,1045.93,3517.19,70.23,-42886.07,836.52,-32334.51,627.39
472.28,-57450.52,1133.71,-82751.79,1700.94,5675.88,113.7,-68802.28,1360.53,-51774.64,1020.39
472.33,-151513,3036.37,-223824.55,4554.88,15080.92,303.76,-181674.83,3643.68,-136432.08,2732.76
472.39,146652.89,2995.87,223449.79,4493.56,-14737.17,299.72,176127.23,3595.08,131915.73,2696.31
472.44,54335.24,1128.51,84994.86,1692.58,-5506.67,113.2,65348.59,1354.3,48828.57,1015.72
472.49,32913.42,695.39,52883.97,1042.96,-3365.79,70.11,39645.01,834.6,29547.63,625.95
472.54,23374.47,502.67,38597.67,753.94,-2413.23,51.06,28200.93,603.39,20961.24,452.54
472.59,17975.5,393.7,30521.64,590.55,-1874.7,40.39,21724.89,472.68,16100.8,354.52
472.64,14500.22,323.65,25331.45,485.55,-1528.56,33.61,17557.35,388.68,12971.66,291.52
472.69,12074.73,274.85,21716.23,412.41,-1287.44,28.96,14649.6,330.17,10787.29,247.64
472.74,10284.8,238.91,19054.69,358.57,-1109.9,25.6,12504.61,287.09,9174.9,215.34
472.79,8908.8,211.34,17014.36,317.29,-973.8,23.07,10856.39,254.06,7935.01,190.58
472.84,7817.39,189.54,15401.25,284.65,-866.18,21.11,9549.76,227.95,6951.21,171
472.89,6930.02,171.86,14094.54,258.22,-779.01,19.57,8488.05,206.8,6151.01,155.15
472.98,5689.33,147.28,12278.18,221.48,-657.85,17.51,7005.04,177.4,5031.48,133.12
473.07,4758.48,128.98,10927.75,194.16,-567.81,16.06,5894.09,155.54,4190.67,116.75
473.16,4032.76,114.84,9886.25,173.1,-498.41,15.02,5029.58,138.67,3534.35,104.14
473.25,3449.82,103.61,9060.18,156.4,-443.43,14.26,4336.69,125.29,3006.39,94.14
473.75,1534.64,68.3,6482.02,104.34,-273.39,12.53,2081.43,83.46,1261.24,63.14
474.25,557.06,52.64,5364.11,81.83,-203.77,12.49,964.61,65.09,353.28,50.07
474.75,-88.97,44.58,4815.83,70.76,-176.94,13.12,264.91,55.6,-265.92,44.17
475.25,-599.12,40.52,4576.44,65.72,-178.99,14.18,-241.13,50.51,-778.12,42.32
475.75,-1062.28,39.24,4552.17,64.72,-207.82,15.73,-646.64,48,-1270.1,43.59
476.25,-1547.35,40.5,4736.24,67.33,-274.4,17.96,-998.56,47.17,-1821.75,48.12
476.75,-2134.82,45.03,5189.75,74.53,-405.15,21.42,-1324.51,47.59,-2539.97,57.32
477.25,-2988.54,55.56,6123.81,90.15,-672.58,27.54,-1643.39,49.04,-3661.12,75.52
477.75,-4636.78,82.37,8309.75,129.2,-1333.18,41.43,-1970.42,51.45,-5969.96,118.34
477.85,-5210.07,92.66,9118.4,144.24,-1586,46.63,-2038.07,52.05,-6796.08,134.34
477.95,-5957.04,106.47,10189.36,164.49,-1925.15,53.56,-2106.74,52.68,-7882.18,155.63
478.05,-6978.65,125.84,11674.04,193.01,-2401.05,63.25,-2176.55,53.36,-9379.7,185.29
478.15,-8473,154.79,13869.53,235.83,-3112.68,77.72,-2247.65,54.08,-11585.68,229.35
478.25,-10889.06,202.45,17449.21,306.62,-4284.46,101.51,-2320.14,54.85,-15173.51,301.48
478.35,-15508.08,294.83,24334.97,444.42,-6556.95,147.64,-2394.19,55.66,-22065.03,440.72
478.36,-16214.8,309.04,25390.86,465.65,-6906.56,154.74,-2401.68,55.74,-23121.36,462.1
478.38,-17855.23,342.07,27843.17,515.03,-7719.25,171.23,-2416.73,55.91,-25574.49,511.78
478.4,-19889.63,383.1,30886.49,576.4,-8728.89,191.73,-2431.84,56.08,-28618.52,573.47
478.42,-22480.17,435.43,34764.09,654.72,-10016.57,217.88,-2447.02,56.25,-32496.74,652.1
478.44,-25892.23,504.44,39874.05,758.06,-11714.98,252.37,-2462.27,56.43,-37607.21,755.76
478.46,-30592,599.61,46915.61,900.64,-14057.2,299.93,-2477.6,56.6,-44649.2,898.65
478.48,-37480.63,739.24,57240.54,1109.9,-17493.81,369.73,-2493,56.78,-54974.44,1108.24
478.5,-48556,963.92,73845.64,1446.72,-23023.76,482.04,-2508.48,56.96,-71579.77,1445.4
478.52,-69310.75,1385.21,104969.86,2078.47,-33393.36,692.67,-2524.03,57.14,-102704.11,2077.49
478.54,-122312.12,2461.54,184464.09,3692.76,-59886.23,1230.8,-2539.66,57.33,-182198.35,3692.12
478.56,-544946.24,11046.27,818407.49,16569.66,-271195.43,5523.14,-2555.38,57.51,-816141.67,16569.36
478.57,729993.97,14851.95,-1094006.69,22277.77,366278.62,7425.98,-2563.26,57.61,1096272.59,22277.89
478.59,127366.3,2610.98,-190072.86,3916.52,64972.7,1305.52,-2579.1,57.8,192339,3916.29
478.61,69290.43,1431.58,-102966.67,2147.63,35942.72,715.85,-2595.02,57.99,105233.15,2147.04
478.63,47356.81,986.35,-70073.8,1479.99,24983.91,493.27,-2611.02,58.18,72340.72,1479.04
478.65,35830.82,752.53,-52792.31,1129.48,19228.96,376.39,-2627.11,58.38,55059.78,1128.16
