wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty
402.98,-88.48,0.21,0,0,0,0
403,-88.49,0.21,0,0,0,0
403.02,-88.51,0.21,0,0,0,0
403.04,-88.52,0.21,0,0,0,0
403.06,-88.54,0.21,0,0,0,0
403.08,-88.55,0.21,0,0,0,0
403.1,-88.56,0.21,0,0,0,0
403.12,-88.58,0.21,0,0,0,0
403.14,-88.59,0.21,0,0,0,0
403.16,-88.61,0.21,0,0,0,0
403.18,-88.62,0.21,0,0,0,0
403.2,-88.64,0.21,0,0,0,0
403.22,-88.65,0.21,0,0,0,0
403.24,-88.67,0.21,0,0,0,0
403.26,-88.68,0.21,0,0,0,0
403.28,-88.69,0.21,0,0,0,0
403.3,-88.71,0.21,0,0,0,0
403.32,-88.72,0.21,0,0,0,0
403.34,-88.74,0.21,0,0,0,0
403.36,-88.75,0.21,0,0,0,0
403.38,-88.77,0.21,0,0,0,0
403.4,-88.78,0.21,0,0,0,0
403.42,-88.8,0.21,0,0,0,0
403.44,-88.81,0.21,0,0,0,0
403.46,-88.82,0.21,0,0,0,0
403.48,-88.84,0.21,0,0,0,0
403.5,-88.85,0.21,0,0,0,0
403.52,-88.87,0.21,0,0,0,0
403.54,-88.88,0.21,0,0,0,0
403.56,-88.9,0.21,0,0,0,0
403.58,-88.91,0.21,0,0,0,0
403.6,-88.93,0.21,0,0,0,0
403.62,-88.94,0.21,0,0,0,0
403.64,-88.95,0.21,0,0,0,0
403.66,-88.97,0.21,0,0,0,0
403.68,-88.98,0.21,0,0,0,0
403.7,-89,0.21,0,0,0,0
403.72,-89.01,0.21,0,0,0,0
403.74,-89.03,0.21,0,0,0,0
403.76,-89.04,0.21,0,0,0,0
403.78,-89.06,0.21,0,0,0,0
403.8,-89.07,0.21,0,0,0,0
403.82,-89.08,0.21,0,0,0,0
403.84,-89.1,0.21,0,0,0,0
403.86,-89.11,0.21,0,0,0,0
403.88,-89.13,0.21,0,0,0,0
403.9,-89.14,0.21,0,0,0,0
403.92,-89.16,0.21,0,0,0,0
403.94,-89.17,0.21,0,0,0,0
403.96,-89.19,0.21,0,0,0,0
403.98,-89.2,0.21,0,0,0,0
404,-89.22,0.21,0,0,0,0
404.02,-89.23,0.21,0,0,0,0
404.04,-89.24,0.21,0,0,0,0
404.06,-89.26,0.21,0,0,0,0
404.08,-89.27,0.21,0,0,0,0
404.1,-89.29,0.21,0,0,0,0
404.12,-89.3,0.21,0,0,0,0
404.14,-89.32,0.21,0,0,0,0
404.16,-89.33,0.21,0,0,0,0
404.18,-89.35,0.21,0,0,0,0
404.2,-89.36,0.21,0,0,0,0
404.22,-89.37,0.21,0,0,0,0
404.24,-89.39,0.21,0,0,0,0
404.26,-89.4,0.21,0,0,0,0
404.28,-89.42,0.21,0,0,0,0
404.3,-89.43,0.21,0,0,0,0
404.32,-89.45,0.21,0,0,0,0
404.34,-89.46,0.21,0,0,0,0
404.36,-89.48,0.21,0,0,0,0
404.38,-89.49,0.21,0,0,0,0
404.4,-89.51,0.21,0,0,0,0
404.42,-89.52,0.21,0,0,0,0
404.44,-89.53,0.21,0,0,0,0
404.46,-89.55,0.21,0,0,0,0
404.48,-89.56,0.21,0,0,0,0
404.5,-89.58,0.21,0,0,0,0
404.52,-89.59,0.21,0,0,0,0
404.54,-89.61,0.21,0,0,0,0
404.56,-89.62,0.21,0,0,0,0
404.58,-89.64,0.21,0,0,0,0
404.6,-89.65,0.21,0,0,0,0
404.62,-89.67,0.21,0,0,0,0
404.64,-89.68,0.21,0,0,0,0
404.66,-89.7,0.21,0,0,0,0
404.68,-89.71,0.21,0,0,0,0
404.7,-89.72,0.21,0,0,0,0
404.72,-89.74,0.21,0,0,0,0
404.74,-89.75,0.21,0,0,0,0
404.76,-89.77,0.21,0,0,0,0
404.78,-89.78,0.21,0,0,0,0
404.8,-89.8,0.21,0,0,0,0
404.82,-89.81,0.21,0,0,0,0
404.84,-89.83,0.21,0,0,0,0
404.86,-89.84,0.21,0,0,0,0
404.88,-89.86,0.21,0,0,0,0
404.9,-89.87,0.21,0,0,0,0
404.92,-89.88,0.21,0,0,0,0
404.94,-89.9,0.21,0,0,0,0
404.96,-89.91,0.21,0,0,0,0
404.98,-89.93,0.21,0,0,0,0
405,-89.94,0.21,0,0,0,0
405.02,-89.96,0.21,0,0,0,0
405.04,-89.97,0.21,0,0,0,0
405.06,-89.99,0.21,0,0,0,0
405.08,-90,0.21,0,0,0,0
405.1,-90.02,0.21,0,0,0,0
405.12,-90.03,0.21,0,0,0,0
405.14,-90.05,0.21,0,0,0,0
405.16,-90.06,0.21,0,0,0,0
405.18,-90.07,0.21,0,0,0,0
405.2,-90.09,0.21,0,0,0,0
405.22,-90.1,0.21,0,0,0,0
405.24,-90.12,0.21,0,0,0,0
405.26,-90.13,0.21,0,0,0,0
405.28,-90.15,0.21,0,0,0,0
405.3,-90.16,0.21,0,0,0,0
405.32,-90.18,0.21,0,0,0,0
405.34,-90.19,0.21,0,0,0,0
405.36,-90.21,0.21,0,0,0,0
405.38,-90.22,0.21,0,0,0,0
405.4,-90.24,0.21,0,0,0,0
405.42,-90.25,0.21,0,0,0,0
405.44,-90.27,0.21,0,0,0,0
405.46,-90.28,0.21,0,0,0,0
405.48,-90.29,0.21,0,0,0,0
405.5,-90.31,0.21,0,0,0,0
405.52,-90.32,0.21,0,0,0,0
405.54,-90.34,0.21,0,0,0,0
405.56,-90.35,0.21,0,0,0,0
405.58,-90.37,0.21,0,0,0,0
405.6,-90.38,0.21,0,0,0,0
405.62,-90.4,0.21,0,0,0,0
405.64,-90.41,0.21,0,0,0,0
405.66,-90.43,0.21,0,0,0,0
405.68,-90.44,0.21,0,0,0,0
405.7,-90.46,0.21,0,0,0,0
405.72,-90.47,0.21,0,0,0,0
405.74,-90.49,0.21,0,0,0,0
405.76,-90.5,0.21,0,0,0,0
405.78,-90.51,0.21,0,0,0,0
405.8,-90.53,0.21,0,0,0,0
405.82,-90.54,0.21,0,0,0,0
405.84,-90.56,0.21,0,0,0,0
405.86,-90.57,0.21,0,0,0,0
405.88,-90.59,0.21,0,0,0,0
405.9,-90.6,0.21,0,0,0,0
405.92,-90.62,0.21,0,0,0,0
405.94,-90.63,0.21,0,0,0,0
405.96,-90.65,0.21,0,0,0,0
405.98,-90.66,0.21,0,0,0,0
406,-90.68,0.21,0,0,0,0
406.02,-90.69,0.21,0,0,0,0
406.04,-90.71,0.21,0,0,0,0
406.06,-90.72,0.21,0,0,0,0
406.08,-90.74,0.21,0,0,0,0
406.1,-90.75,0.21,0,0,0,0
406.12,-90.77,0.21,0,0,0,0
406.14,-90.78,0.21,0,0,0,0
406.16,-90.79,0.21,0,0,0,0
406.18,-90.81,0.21,0,0,0,0
406.2,-90.82,0.21,0,0,0,0
406.22,-90.84,0.21,0,0,0,0
406.24,-90.85,0.21,0,0,0,0
406.26,-90.87,0.21,0,0,0,0
406.28,-90.88,0.21,0,0,0,0
406.3,-90.9,0.21,0,0,0,0
406.32,-90.91,0.21,0,0,0,0
406.34,-90.93,0.21,0,0,0,0
406.36,-90.94,0.21,0,0,0,0
406.38,-90.96,0.21,0,0,0,0
406.4,-90.97,0.21,0,0,0,0
406.42,-90.99,0.21,0,0,0,0
406.44,-91,0.21,0,0,0,0
406.46,-91.02,0.21,0,0,0,0
406.48,-91.03,0.21,0,0,0,0
406.5,-91.05,0.21,0,0,0,0
406.52,-91.06,0.21,0,0,0,0
406.54,-91.08,0.21,0,0,0,0
406.56,-91.09,0.21,0,0,0,0
406.58,-91.1,0.21,0,0,0,0
406.6,-91.12,0.21,0,0,0,0
406.62,-91.13,0.21,0,0,0,0
406.64,-91.15,0.21,0,0,0,0
406.66,-91.16,0.21,0,0,0,0
406.68,-91.18,0.21,0,0,0,0
406.7,-91.19,0.21,0,0,0,0
406.72,-91.21,0.21,0,0,0,0
406.74,-91.22,0.21,0,0,0,0
406.76,-91.24,0.21,0,0,0,0
406.78,-91.25,0.21,0,0,0,0
406.8,-91.27,0.21,0,0,0,0
406.82,-91.28,0.21,0,0,0,0
406.84,-91.3,0.21,0,0,0,0
406.86,-91.31,0.21,0,0,0,0
406.88,-91.33,0.21,0,0,0,0
406.9,-91.34,0.21,0,0,0,0
406.92,-91.36,0.21,0,0,0,0
406.94,-91.37,0.21,0,0,0,0
406.96,-91.39,0.21,0,0,0,0
406.98,-91.4,0.21,0,0,0,0
407,-91.42,0.21,0,0,0,0
407.02,-91.43,0.21,0,0,0,0
407.04,-91.45,0.21,0,0,0,0
407.06,-91.46,0.21,0,0,0,0
407.08,-91.48,0.21,0,0,0,0
407.1,-91.49,0.21,0,0,0,0
407.12,-91.51,0.21,0,0,0,0
407.14,-91.52,0.21,0,0,0,0
407.16,-91.54,0.21,0,0,0,0
407.18,-91.55,0.21,0,0,0,0
407.2,-91.56,0.21,0,0,0,0
407.22,-91.58,0.21,0,0,0,0
407.24,-91.59,0.21,0,0,0,0
407.26,-91.61,0.21,0,0,0,0
407.28,-91.62,0.21,0,0,0,0
407.3,-91.64,0.21,0,0,0,0
407.32,-91.65,0.21,0,0,0,0
407.34,-91.67,0.21,0,0,0,0
407.36,-91.68,0.21,0,0,0,0
407.38,-91.7,0.21,0,0,0,0
407.4,-91.71,0.21,0,0,0,0
407.42,-91.73,0.21,0,0,0,0
407.44,-91.74,0.21,0,0,0,0
407.46,-91.76,0.21,0,0,0,0
407.48,-91.77,0.21,0,0,0,0
407.5,-91.79,0.21,0,0,0,0
407.52,-91.8,0.21,0,0,0,0
407.54,-91.82,0.21,0,0,0,0
407.56,-91.83,0.21,0,0,0,0
407.58,-91.85,0.21,0,0,0,0
407.6,-91.86,0.21,0,0,0,0
407.62,-91.88,0.21,0,0,0,0
407.64,-91.89,0.21,0,0,0,0
407.66,-91.91,0.21,0,0,0,0
407.68,-91.92,0.21,0,0,0,0
407.7,-91.94,0.21,0,0,0,0
407.72,-91.95,0.21,0,0,0,0
407.74,-91.97,0.21,0,0,0,0
407.76,-91.98,0.21,0,0,0,0
407.78,-92,0.21,0,0,0,0
407.8,-92.01,0.21,0,0,0,0
407.82,-92.03,0.21,0,0,0,0
407.84,-92.04,0.21,0,0,0,0
407.86,-92.06,0.21,0,0,0,0
407.88,-92.07,0.21,0,0,0,0
407.9,-92.09,0.21,0,0,0,0
407.92,-92.1,0.21,0,0,0,0
407.94,-92.12,0.21,0,0,0,0
407.96,-92.13,0.21,0,0,0,0
407.98,-92.15,0.21,0,0,0,0
408,-92.16,0.21,0,0,0,0
408.02,-92.18,0.21,0,0,0,0
408.04,-92.19,0.21,0,0,0,0
408.06,-92.21,0.21,0,0,0,0
408.08,-92.22,0.21,0,0,0,0
408.1,-92.24,0.21,0,0,0,0
408.12,-92.25,0.21,0,0,0,0
408.14,-92.27,0.21,0,0,0,0
408.16,-92.28,0.21,0,0,0,0
408.18,-92.3,0.21,0,0,0,0
408.2,-92.31,0.21,0,0,0,0
408.22,-92.33,0.21,0,0,0,0
408.24,-92.34,0.21,0,0,0,0
408.26,-92.36,0.21,0,0,0,0
408.28,-92.37,0.21,0,0,0,0
408.3,-92.39,0.21,0,0,0,0
408.32,-92.4,0.21,0,0,0,0
408.34,-92.42,0.21,0,0,0,0
408.36,-92.43,0.21,0,0,0,0
408.38,-92.45,0.21,0,0,0,0
408.4,-92.46,0.21,0,0,0,0
408.42,-92.48,0.21,0,0,0,0
408.44,-92.49,0.21,0,0,0,0
408.46,-92.51,0.21,0,0,0,0
408.48,-92.52,0.21,0,0,0,0
408.5,-92.54,0.21,0,0,0,0
408.52,-92.55,0.21,0,0,0,0
408.54,-92.57,0.21,0,0,0,0
408.56,-92.58,0.21,0,0,0,0
408.58,-92.6,0.21,0,0,0,0
408.6,-92.61,0.21,0,0,0,0
408.62,-92.63,0.21,0,0,0,0
408.64,-92.64,0.21,0,0,0,0
408.66,-92.66,0.21,0,0,0,0
408.68,-92.67,0.21,0,0,0,0
408.7,-92.69,0.21,0,0,0,0
408.72,-92.7,0.21,0,0,0,0
408.74,-92.72,0.21,0,0,0,0
408.76,-92.73,0.21,0,0,0,0
408.78,-92.75,0.21,0,0,0,0
408.8,-92.76,0.21,0,0,0,0
408.82,-92.78,0.21,0,0,0,0
408.84,-92.79,0.21,0,0,0,0
408.86,-92.81,0.21,0,0,0,0
408.88,-92.82,0.21,0,0,0,0
408.9,-92.84,0.21,0,0,0,0
408.92,-92.85,0.21,0,0,0,0
408.94,-92.87,0.21,0,0,0,0
408.96,-92.88,0.21,0,0,0,0
408.98,-92.9,0.21,0,0,0,0
409,-92.91,0.21,0,0,0,0
409.02,-92.93,0.21,0,0,0,0
409.04,-92.94,0.21,0,0,0,0
409.06,-92.96,0.21,0,0,0,0
409.08,-92.97,0.21,0,0,0,0
409.1,-92.99,0.21,0,0,0,0
409.12,-93,0.21,0,0,0,0
409.14,-93.02,0.21,0,0,0,0
409.16,-93.03,0.21,0,0,0,0
409.18,-93.05,0.21,0,0,0,0
409.2,-93.06,0.21,0,0,0,0
409.22,-93.08,0.21,0,0,0,0
409.24,-93.09,0.21,0,0,0,0
409.26,-93.11,0.21,0,0,0,0
409.28,-93.12,0.21,0,0,0,0
409.3,-93.14,0.21,0,0,0,0
409.32,-93.15,0.21,0,0,0,0
409.34,-93.17,0.21,0,0,0,0
409.36,-93.18,0.21,0,0,0,0
409.38,-93.2,0.21,0,0,0,0
409.4,-93.21,0.21,0,0,0,0
409.42,-93.23,0.21,0,0,0,0
409.44,-93.24,0.21,0,0,0,0
409.46,-93.26,0.21,0,0,0,0
409.48,-93.28,0.21,0,0,0,0
409.5,-93.29,0.21,0,0,0,0
409.52,-93.31,0.21,0,0,0,0
409.54,-93.32,0.21,0,0,0,0
409.56,-93.34,0.21,0,0,0,0
409.58,-93.35,0.21,0,0,0,0
409.6,-93.37,0.21,0,0,0,0
409.62,-93.38,0.21,0,0,0,0
409.64,-93.4,0.21,0,0,0,0
409.66,-93.41,0.21,0,0,0,0
409.68,-93.43,0.21,0,0,0,0
409.7,-93.44,0.21,0,0,0,0
409.72,-93.46,0.21,0,0,0,0
409.74,-93.47,0.21,0,0,0,0
409.76,-93.49,0.21,0,0,0,0
409.78,-93.5,0.21,0,0,0,0
409.8,-93.52,0.21,0,0,0,0
409.82,-93.53,0.21,0,0,0,0
409.84,-93.55,0.21,0,0,0,0
409.86,-93.56,0.21,0,0,0,0
409.88,-93.58,0.21,0,0,0,0
409.9,-93.59,0.21,0,0,0,0
409.92,-93.61,0.21,0,0,0,0
409.94,-93.62,0.21,0,0,0,0
409.96,-93.64,0.21,0,0,0,0
409.98,-93.65,0.21,0,0,0,0
410,-93.67,0.21,0,0,0,0
410.02,-93.68,0.21,0,0,0,0
410.04,-93.7,0.21,0,0,0,0
