wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty
403,-111.56,3.84,0,0,0,0
403.02,-111.84,3.84,0,0,0,0
403.04,-112.12,3.84,0,0,0,0
403.06,-112.4,3.84,0,0,0,0
403.08,-112.68,3.83,0,0,0,0
403.1,-112.96,3.83,0,0,0,0
403.12,-113.24,3.83,0,0,0,0
403.14,-113.52,3.83,0,0,0,0
403.16,-113.8,3.83,0,0,0,0
403.18,-114.08,3.82,0,0,0,0
403.2,-114.36,3.82,0,0,0,0
403.22,-114.65,3.82,0,0,0,0
403.24,-114.93,3.82,0,0,0,0
403.26,-115.21,3.81,0,0,0,0
403.28,-115.49,3.81,0,0,0,0
403.3,-115.77,3.81,0,0,0,0
403.32,-116.06,3.81,0,0,0,0
403.34,-116.34,3.81,0,0,0,0
403.36,-116.62,3.8,0,0,0,0
403.38,-116.91,3.8,0,0,0,0
403.4,-117.19,3.8,0,0,0,0
403.42,-117.47,3.8,0,0,0,0
403.44,-117.76,3.8,0,0,0,0
403.46,-118.04,3.79,0,0,0,0
403.48,-118.33,3.79,0,0,0,0
403.5,-118.61,3.79,0,0,0,0
403.52,-118.9,3.79,0,0,0,0
403.54,-119.18,3.79,0,0,0,0
403.56,-119.47,3.78,0,0,0,0
403.58,-119.75,3.78,0,0,0,0
403.6,-120.04,3.78,0,0,0,0
403.62,-120.33,3.78,0,0,0,0
403.64,-120.61,3.77,0,0,0,0
403.66,-120.9,3.77,0,0,0,0
403.68,-121.19,3.77,0,0,0,0
403.7,-121.48,3.77,0,0,0,0
403.72,-121.76,3.77,0,0,0,0
403.74,-122.05,3.76,0,0,0,0
403.76,-122.34,3.76,0,0,0,0
403.78,-122.63,3.76,0,0,0,0
403.8,-122.92,3.76,0,0,0,0
403.82,-123.21,3.76,0,0,0,0
403.84,-123.5,3.75,0,0,0,0
403.86,-123.79,3.75,0,0,0,0
403.88,-124.08,3.75,0,0,0,0
403.9,-124.37,3.75,0,0,0,0
403.92,-124.67,3.75,0,0,0,0
403.94,-124.96,3.74,0,0,0,0
403.96,-125.25,3.74,0,0,0,0
403.98,-125.55,3.74,0,0,0,0
404,-125.84,3.74,0,0,0,0
404.02,-126.13,3.74,0,0,0,0
404.04,-126.43,3.73,0,0,0,0
404.06,-126.72,3.73,0,0,0,0
404.08,-127.02,3.73,0,0,0,0
404.1,-127.32,3.73,0,0,0,0
404.12,-127.61,3.73,0,0,0,0
404.14,-127.91,3.72,0,0,0,0
404.16,-128.21,3.72,0,0,0,0
404.18,-128.51,3.72,0,0,0,0
404.2,-128.81,3.72,0,0,0,0
404.22,-129.11,3.71,0,0,0,0
404.24,-129.41,3.71,0,0,0,0
404.26,-129.71,3.71,0,0,0,0
404.28,-130.01,3.71,0,0,0,0
404.3,-130.31,3.71,0,0,0,0
404.32,-130.61,3.7,0,0,0,0
404.34,-130.91,3.7,0,0,0,0
404.36,-131.22,3.7,0,0,0,0
404.38,-131.52,3.7,0,0,0,0
404.4,-131.83,3.7,0,0,0,0
404.42,-132.13,3.69,0,0,0,0
404.44,-132.44,3.69,0,0,0,0
404.46,-132.74,3.69,0,0,0,0
404.48,-133.05,3.69,0,0,0,0
404.5,-133.36,3.69,0,0,0,0
404.52,-133.67,3.68,0,0,0,0
404.54,-133.98,3.68,0,0,0,0
404.56,-134.29,3.68,0,0,0,0
404.58,-134.6,3.68,0,0,0,0
404.6,-134.91,3.68,0,0,0,0
404.62,-135.22,3.67,0,0,0,0
404.64,-135.53,3.67,0,0,0,0
404.66,-135.85,3.67,0,0,0,0
404.68,-136.16,3.67,0,0,0,0
404.7,-136.47,3.67,0,0,0,0
404.72,-136.79,3.67,0,0,0,0
404.74,-137.11,3.66,0,0,0,0
404.76,-137.42,3.66,0,0,0,0
404.78,-137.74,3.66,0,0,0,0
404.8,-138.06,3.66,0,0,0,0
404.82,-138.38,3.66,0,0,0,0
404.84,-138.7,3.65,0,0,0,0
404.86,-139.02,3.65,0,0,0,0
404.88,-139.34,3.65,0,0,0,0
404.9,-139.66,3.65,0,0,0,0
404.92,-139.99,3.65,0,0,0,0
404.94,-140.31,3.64,0,0,0,0
404.96,-140.64,3.64,0,0,0,0
404.98,-140.96,3.64,0,0,0,0
405,-141.29,3.64,0,0,0,0
405.02,-141.62,3.64,0,0,0,0
405.04,-141.95,3.63,0,0,0,0
405.06,-142.28,3.63,0,0,0,0
405.08,-142.61,3.63,0,0,0,0
405.1,-142.94,3.63,0,0,0,0
405.12,-143.27,3.63,0,0,0,0
405.14,-143.6,3.62,0,0,0,0
405.16,-143.94,3.62,0,0,0,0
405.18,-144.27,3.62,0,0,0,0
405.2,-144.61,3.62,0,0,0,0
405.22,-144.94,3.62,0,0,0,0
405.24,-145.28,3.61,0,0,0,0
405.26,-145.62,3.61,0,0,0,0
405.28,-145.96,3.61,0,0,0,0
405.3,-146.3,3.61,0,0,0,0
405.32,-146.64,3.61,0,0,0,0
405.34,-146.99,3.61,0,0,0,0
405.36,-147.33,3.6,0,0,0,0
405.38,-147.67,3.6,0,0,0,0
405.4,-148.02,3.6,0,0,0,0
405.42,-148.37,3.6,0,0,0,0
405.44,-148.72,3.6,0,0,0,0
405.46,-149.06,3.59,0,0,0,0
405.48,-149.41,3.59,0,0,0,0
405.5,-149.77,3.59,0,0,0,0
405.52,-150.12,3.59,0,0,0,0
405.54,-150.47,3.59,0,0,0,0
405.56,-150.83,3.58,0,0,0,0
405.58,-151.18,3.58,0,0,0,0
405.6,-151.54,3.58,0,0,0,0
405.62,-151.9,3.58,0,0,0,0
405.64,-152.26,3.58,0,0,0,0
405.66,-152.62,3.58,0,0,0,0
405.68,-152.98,3.57,0,0,0,0
405.7,-153.34,3.57,0,0,0,0
405.72,-153.71,3.57,0,0,0,0
405.74,-154.07,3.57,0,0,0,0
405.76,-154.44,3.57,0,0,0,0
405.78,-154.81,3.56,0,0,0,0
405.8,-155.18,3.56,0,0,0,0
405.82,-155.55,3.56,0,0,0,0
405.84,-155.92,3.56,0,0,0,0
405.86,-156.29,3.56,0,0,0,0
405.88,-156.67,3.55,0,0,0,0
405.9,-157.05,3.55,0,0,0,0
405.92,-157.42,3.55,0,0,0,0
405.94,-157.8,3.55,0,0,0,0
405.96,-158.18,3.55,0,0,0,0
405.98,-158.56,3.55,0,0,0,0
406,-158.95,3.54,0,0,0,0
406.02,-159.33,3.54,0,0,0,0
406.04,-159.72,3.54,0,0,0,0
406.06,-160.1,3.54,0,0,0,0
406.08,-160.49,3.54,0,0,0,0
406.1,-160.88,3.53,0,0,0,0
406.12,-161.28,3.53,0,0,0,0
406.14,-161.67,3.53,0,0,0,0
406.16,-162.06,3.53,0,0,0,0
406.18,-162.46,3.53,0,0,0,0
406.2,-162.86,3.53,0,0,0,0
406.22,-163.26,3.52,0,0,0,0
406.24,-163.66,3.52,0,0,0,0
406.26,-164.06,3.52,0,0,0,0
406.28,-164.47,3.52,0,0,0,0
406.3,-164.87,3.52,0,0,0,0
406.32,-165.28,3.51,0,0,0,0
406.34,-165.69,3.51,0,0,0,0
406.36,-166.1,3.51,0,0,0,0
406.38,-166.51,3.51,0,0,0,0
406.4,-166.93,3.51,0,0,0,0
406.42,-167.34,3.51,0,0,0,0
406.44,-167.76,3.5,0,0,0,0
406.46,-168.18,3.5,0,0,0,0
406.48,-168.6,3.5,0,0,0,0
406.5,-169.02,3.5,0,0,0,0
406.52,-169.45,3.5,0,0,0,0
406.54,-169.88,3.5,0,0,0,0
406.56,-170.31,3.49,0,0,0,0
406.58,-170.74,3.49,0,0,0,0
406.6,-171.17,3.49,0,0,0,0
406.62,-171.6,3.49,0,0,0,0
406.64,-172.04,3.49,0,0,0,0
406.66,-172.48,3.48,0,0,0,0
406.68,-172.92,3.48,0,0,0,0
406.7,-173.36,3.48,0,0,0,0
406.72,-173.8,3.48,0,0,0,0
406.74,-174.25,3.48,0,0,0,0
406.76,-174.7,3.48,0,0,0,0
406.78,-175.15,3.47,0,0,0,0
406.8,-175.6,3.47,0,0,0,0
406.82,-176.06,3.47,0,0,0,0
406.84,-176.51,3.47,0,0,0,0
406.86,-176.97,3.47,0,0,0,0
406.88,-177.43,3.47,0,0,0,0
406.9,-177.9,3.46,0,0,0,0
406.92,-178.36,3.46,0,0,0,0
406.94,-178.83,3.46,0,0,0,0
406.96,-179.3,3.46,0,0,0,0
406.98,-179.77,3.46,0,0,0,0
407,-180.25,3.46,0,0,0,0
407.02,-180.72,3.45,0,0,0,0
407.04,-181.2,3.45,0,0,0,0
407.06,-181.68,3.45,0,0,0,0
407.08,-182.17,3.45,0,0,0,0
407.1,-182.66,3.45,0,0,0,0
407.12,-183.14,3.44,0,0,0,0
407.14,-183.64,3.44,0,0,0,0
407.16,-184.13,3.44,0,0,0,0
407.18,-184.63,3.44,0,0,0,0
407.2,-185.12,3.44,0,0,0,0
407.22,-185.63,3.44,0,0,0,0
407.24,-186.13,3.43,0,0,0,0
407.26,-186.64,3.43,0,0,0,0
407.28,-187.15,3.43,0,0,0,0
407.3,-187.66,3.43,0,0,0,0
407.32,-188.17,3.43,0,0,0,0
407.34,-188.69,3.43,0,0,0,0
407.36,-189.21,3.42,0,0,0,0
407.38,-189.74,3.42,0,0,0,0
407.4,-190.26,3.42,0,0,0,0
407.42,-190.79,3.42,0,0,0,0
407.44,-191.32,3.42,0,0,0,0
407.46,-191.86,3.42,0,0,0,0
407.48,-192.4,3.41,0,0,0,0
407.5,-192.94,3.41,0,0,0,0
407.52,-193.48,3.41,0,0,0,0
407.54,-194.03,3.41,0,0,0,0
407.56,-194.58,3.41,0,0,0,0
407.58,-195.13,3.41,0,0,0,0
407.6,-195.69,3.4,0,0,0,0
407.62,-196.25,3.4,0,0,0,0
407.64,-196.81,3.4,0,0,0,0
407.66,-197.37,3.4,0,0,0,0
407.68,-197.94,3.4,0,0,0,0
407.7,-198.52,3.4,0,0,0,0
407.72,-199.09,3.39,0,0,0,0
407.74,-199.67,3.39,0,0,0,0
407.76,-200.25,3.39,0,0,0,0
407.78,-200.84,3.39,0,0,0,0
407.8,-201.43,3.39,0,0,0,0
407.82,-202.02,3.39,0,0,0,0
407.84,-202.62,3.38,0,0,0,0
