Li1,2s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
402.86000,-88.39,0.21,0.00,0.00
402.88000,-88.41,0.21,0.00,0.00
402.90000,-88.42,0.21,0.00,0.00
402.92000,-88.44,0.21,0.00,0.00
402.94000,-88.45,0.21,0.00,0.00
402.96000,-88.46,0.21,0.00,0.00
402.98000,-88.48,0.21,0.00,0.00
403.00000,-88.49,0.21,0.00,0.00
403.02000,-88.51,0.21,0.00,0.00
403.04000,-88.52,0.21,0.00,0.00
403.06000,-88.54,0.21,0.00,0.00
403.08000,-88.55,0.21,0.00,0.00
403.10000,-88.56,0.21,0.00,0.00
403.12000,-88.58,0.21,0.00,0.00
403.14000,-88.59,0.21,0.00,0.00
403.16000,-88.61,0.21,0.00,0.00
403.18000,-88.62,0.21,0.00,0.00
403.20000,-88.64,0.21,0.00,0.00
403.22000,-88.65,0.21,0.00,0.00
403.24000,-88.67,0.21,0.00,0.00
403.26000,-88.68,0.21,0.00,0.00
403.28000,-88.69,0.21,0.00,0.00
403.30000,-88.71,0.21,0.00,0.00
403.32000,-88.72,0.21,0.00,0.00
403.34000,-88.74,0.21,0.00,0.00
403.36000,-88.75,0.21,0.00,0.00
403.38000,-88.77,0.21,0.00,0.00
403.40000,-88.78,0.21,0.00,0.00
403.42000,-88.80,0.21,0.00,0.00
403.44000,-88.81,0.21,0.00,0.00
403.46000,-88.82,0.21,0.00,0.00
403.48000,-88.84,0.21,0.00,0.00
403.50000,-88.85,0.21,0.00,0.00
403.52000,-88.87,0.21,0.00,0.00
403.54000,-88.88,0.21,0.00,0.00
403.56000,-88.90,0.21,0.00,0.00
403.58000,-88.91,0.21,0.00,0.00
403.60000,-88.93,0.21,0.00,0.00
403.62000,-88.94,0.21,0.00,0.00
403.64000,-88.95,0.21,0.00,0.00
403.66000,-88.97,0.21,0.00,0.00
403.68000,-88.98,0.21,0.00,0.00
403.70000,-89.00,0.21,0.00,0.00
403.72000,-89.01,0.21,0.00,0.00
403.74000,-89.03,0.21,0.00,0.00
403.76000,-89.04,0.21,0.00,0.00
403.78000,-89.06,0.21,0.00,0.00
403.80000,-89.07,0.21,0.00,0.00
403.82000,-89.08,0.21,0.00,0.00
403.84000,-89.10,0.21,0.00,0.00
